buildA,buildB,developmentLevel,battles,aWins,bWins,draws,aScoreRate,aDecisiveWinWilsonLow,aDecisiveWinWilsonHigh,roundLimitRate,mutualEliminationRate,medianRounds,p90Rounds,meanRound1RawDamageA,meanRound1RawDamageB,meanSurvivorsA,meanSurvivorsB,meanSummonFailuresA,meanSummonFailuresB,meanImmediateAttacksA,meanImmediateAttacksB,meanShieldBlocksA,meanShieldBlocksB,meanFurnaceTransfersA,meanFurnaceTransfersB,meanPermanentDeltaA,meanPermanentDeltaB,effectLimitHits,exceptions
B01_SHIELD,B02_BREAK,N,2000,1007,602,391,0.60125,0.601937,0.649173,0,0.1955,2,3,83.689,104.7785,0.842,0.405,0,0,0,0,7.373,6.348,2.983,2.741,2,5,0,0
B01_SHIELD,B03_SUMMON,N,2000,2000,0,0,1,0.998083,1,0,0,1,1,114.563,75.7345,3.4055,0,0,0,0,3.9875,6.869,0,2.998,0,2,4.499,0,0
B01_SHIELD,B04_DEATH,N,2000,1986,1,13,0.99625,0.997155,0.999911,0,0.0065,2,2,85.24,179.32,2.2455,0.0005,0,0,0,0,6.8595,0,2.985,0,2,17.681,0,0
B01_SHIELD,B05_SPELL,N,2000,1825,26,149,0.94975,0.979498,0.990396,0,0.0745,2,2,85.326,120.5085,1.786,0.014,0,0,0,0,7.307,2,2.982,0,2,0,0,0
B01_SHIELD,B06_REFRESH,N,2000,2000,0,0,1,0.998083,1,0,0,2,2,89.3115,91.9085,2.764,0,0,0,0,0,6.7795,2,2.998,0,2,0,0,0
B02_BREAK,B03_SUMMON,N,2000,1994,0,6,0.9985,0.998077,1,0,0.003,1,1,139.0035,70.629,2.8675,0,0,0,0,3.4385,5.51,0,2.477,0,5,3.95,0,0
B02_BREAK,B04_DEATH,N,2000,1978,1,21,0.99425,0.997143,0.999911,0,0.0105,2,2,91.263,155.1815,2.4835,0.0005,0,0,0,0,5.68,0,2.6975,0,5,16.143,0,0
B02_BREAK,B05_SPELL,N,2000,1811,48,141,0.94075,0.965934,0.98047,0,0.0705,2,2,101.5975,112.163,1.9455,0.0245,0,0,0,0,6.0465,2,2.757,0,5,0,0,0
B02_BREAK,B06_REFRESH,N,2000,1985,0,15,0.99625,0.998068,1,0,0.0075,2,2,101.075,84.1565,2.617,0,0,0,0,0,5.6995,2,2.758,0,5,0,0,0
B03_SUMMON,B04_DEATH,N,2000,0,1995,5,0.00125,0,0.001922,0,0.0025,1,1,63.7265,178.9205,0,2.0565,0,0,4.4525,0,0,0,0,0,4.748,17.724,0,0
B03_SUMMON,B05_SPELL,N,2000,0,2000,0,0,0,0.001917,0,0,1,1,61.7905,135.903,0,3.305,0,0,4.655,0,0,2,0,0,4.579,0,0,0
B03_SUMMON,B06_REFRESH,N,2000,3,1958,39,0.01125,0.00052,0.004488,0,0.0195,1,1,71.7145,111.6725,0.0025,1.9425,0,0,4.1,0,0,1.9665,0,0,4.416,0,0,0
B04_DEATH,B05_SPELL,N,2000,298,951,751,0.33675,0.215777,0.263007,0,0.3755,1,2,160.799,97.6585,0.15,0.575,0,0,0,0,0,2,0,0,17.528,0,0,0
B04_DEATH,B06_REFRESH,N,2000,1731,28,241,0.92575,0.97709,0.988964,0,0.1205,1,2,150.2465,76.9685,1.1655,0.014,0,0,0,0,0,2,0,0,17.762,0,0,0
B05_SPELL,B06_REFRESH,N,2000,1971,0,29,0.99275,0.998055,1,0,0.0145,1,2,112.3825,84.5365,2.1765,0,0,0,0,0,2,2,0,0,0,0,0,0
B01_SHIELD,B02_BREAK,H,2000,1718,175,107,0.88575,0.893668,0.91979,0,0.0535,2,3,168.61,209.557,2.4995,0.1185,0,0,0,0,9.784,6.17,5.194,2.743,3,9.9905,0,0
B01_SHIELD,B03_SUMMON,H,2000,2000,0,0,1,0.998083,1,0,0,1,1,230.3585,148.393,4.3595,0,0,0,0,3.953,9.0765,0,5.7405,0,3,9.01,0,0
B01_SHIELD,B04_DEATH,H,2000,2000,0,0,1,0.998083,1,0,0,1,2,166.7925,321.6025,3.752,0,0,0,0,0,7.5685,0,5.26,0,3,33.836,0,0
B01_SHIELD,B05_SPELL,H,2000,1976,9,15,0.99175,0.991405,0.997613,0,0.0075,2,2,173.6395,245.387,3.3665,0.0045,0,0,0,0,9.2185,2,5.338,0,3,0,0,0
B01_SHIELD,B06_REFRESH,H,2000,1994,1,5,0.99825,0.997166,0.999912,0,0.0025,2,2,185.0215,188.87,3.51,0.0005,0,0,0,0,9.7355,5,5.6015,0,3,0,0,0
B02_BREAK,B03_SUMMON,H,2000,1997,0,3,0.99925,0.99808,1,0,0.0015,1,1,273.176,141.282,2.917,0,0,0,0,3.4385,5.484,0,2.4845,0,9.9955,7.9,0,0
B02_BREAK,B04_DEATH,H,2000,1996,0,4,0.999,0.998079,1,0,0.002,1,2,177.212,299.384,2.8125,0,0,0,0,0,5.331,0,2.6975,0,10,31.426,0,0
B02_BREAK,B05_SPELL,H,2000,1873,17,110,0.964,0.985642,0.994377,0,0.055,2,2,200.765,222.943,2.154,0.0085,0,0,0,0,6.031,2,2.757,0,9.9935,0,0,0
B02_BREAK,B06_REFRESH,H,2000,1387,207,406,0.795,0.852742,0.885754,0,0.203,2,2,223.7835,178.956,1.0745,0.1195,0,0,0,0,6.0195,5,2.71,0,9.999,0,0,0
B03_SUMMON,B04_DEATH,H,2000,36,1826,138,0.0525,0.013998,0.026649,0,0.069,1,1,137.707,384.76,0.0265,1.258,0,0,4.272,0,0,0,0,0,9.379,34.361,0,0
B03_SUMMON,B05_SPELL,H,2000,0,2000,0,0,0,0.001917,0,0,1,1,123.581,271.574,0,3.2495,0,0,4.655,0,0,2,0,0,9.158,0,0,0
B03_SUMMON,B06_REFRESH,H,2000,0,1999,1,0.00025,0,0.001918,0,0.0005,1,1,145.279,222.641,0,2.95,0,0,4.1135,0,0,4.901,0,0,8.832,0,0,0
B04_DEATH,B05_SPELL,H,2000,53,1497,450,0.139,0.026236,0.044454,0,0.225,1,2,283.121,193.393,0.0265,1.0805,0,0,0,0,0,2,0,0,34.539,0,0,0
B04_DEATH,B06_REFRESH,H,2000,0,1983,17,0.00425,0,0.001933,0,0.0085,1,2,330.3445,157.236,0,2.081,0,0,0,0,0,4.908,0,0,34.377,0,0,0
B05_SPELL,B06_REFRESH,H,2000,653,400,947,0.56325,0.590431,0.648961,0,0.4735,2,2,241.5,177.825,0.352,0.213,0,0,0,0,2,5,0,0,0,0,0,0
