scenarioId,playerFixtureId,enemyFixtureId,developmentLevel,orientation,battles,playerWins,enemyWins,draws,playerScoreRate,roundLimitRate,meanRounds,p90Rounds,meanPlayerRound1RawDamage,meanEnemyRound1RawDamage,meanPlayerSurvivors,meanEnemySurvivors,meanPlayerSummonFailures,meanEnemySummonFailures,meanPlayerShieldBlocks,meanEnemyShieldBlocks,meanPlayerPermanentDelta,meanEnemyPermanentDelta,effectLimitHits,exceptions
B01_SHIELD_N__VS__B02_BREAK_N,B01_SHIELD_N,B02_BREAK_N,N,A_PLAYER,1000,549,264,187,0.6425,0,2.224,3,81.709,101.243,0.961,0.344,0,0,7.58,6.226,2,5,0,0
B02_BREAK_N__VS__B01_SHIELD_N,B02_BREAK_N,B01_SHIELD_N,N,B_PLAYER,1000,338,458,204,0.44,0,2.203,3,108.314,85.669,0.466,0.723,0,0,6.47,7.166,5,2,0,0
B01_SHIELD_N__VS__B03_SUMMON_N,B01_SHIELD_N,B03_SUMMON_N,N,A_PLAYER,1000,1000,0,0,1,0,1.107,2,114.109,74.571,3.396,0,0,0,6.872,0,2,4.503,0,0
B03_SUMMON_N__VS__B01_SHIELD_N,B03_SUMMON_N,B01_SHIELD_N,N,B_PLAYER,1000,0,1000,0,0,0,1.083,1,76.898,115.017,0,3.415,0,0,0,6.866,4.495,2,0,0
B01_SHIELD_N__VS__B04_DEATH_N,B01_SHIELD_N,B04_DEATH_N,N,A_PLAYER,1000,990,1,9,0.9945,0,1.788,2,85.356,176.63,2.045,0.001,0,0,6.938,0,2,17.93,0,0
B04_DEATH_N__VS__B01_SHIELD_N,B04_DEATH_N,B01_SHIELD_N,N,B_PLAYER,1000,0,996,4,0.002,0,1.675,2,182.01,85.124,0,2.446,0,0,0,6.781,17.432,2,0,0
B01_SHIELD_N__VS__B05_SPELL_N,B01_SHIELD_N,B05_SPELL_N,N,A_PLAYER,1000,916,13,71,0.9515,0,2.008,2,85.613,120.883,1.787,0.013,0,0,7.365,2,2,0,0,0
B05_SPELL_N__VS__B01_SHIELD_N,B05_SPELL_N,B01_SHIELD_N,N,B_PLAYER,1000,13,909,78,0.052,0,1.999,2,120.134,85.039,0.015,1.785,0,0,2,7.249,0,2,0,0
B01_SHIELD_N__VS__B06_REFRESH_N,B01_SHIELD_N,B06_REFRESH_N,N,A_PLAYER,1000,1000,0,0,1,0,1.887,2,88.487,90.905,2.756,0,0,0,6.806,2,2,0,0,0
B06_REFRESH_N__VS__B01_SHIELD_N,B06_REFRESH_N,B01_SHIELD_N,N,B_PLAYER,1000,0,1000,0,0,0,1.86,2,92.912,90.136,0,2.772,0,0,2,6.753,0,2,0,0
