scenarioId,playerFixtureId,enemyFixtureId,developmentLevel,orientation,battles,playerWins,enemyWins,draws,playerScoreRate,roundLimitRate,meanRounds,p90Rounds,meanPlayerRound1RawDamage,meanEnemyRound1RawDamage,meanPlayerSurvivors,meanEnemySurvivors,meanPlayerSummonFailures,meanEnemySummonFailures,meanPlayerShieldBlocks,meanEnemyShieldBlocks,meanPlayerPermanentDelta,meanEnemyPermanentDelta,effectLimitHits,exceptions
B01_SHIELD_N__VS__B02_BREAK_N,B01_SHIELD_N,B02_BREAK_N,N,A_PLAYER,100,59,21,20,0.69,0,2.23,3,81.63,101.48,0.96,0.26,0,0,7.67,6.25,2,5,0,0
B02_BREAK_N__VS__B01_SHIELD_N,B02_BREAK_N,B01_SHIELD_N,N,B_PLAYER,100,39,40,21,0.495,0,2.2,3,106.71,85.62,0.56,0.68,0,0,6.44,7.15,5,2,0,0
B01_SHIELD_N__VS__B03_SUMMON_N,B01_SHIELD_N,B03_SUMMON_N,N,A_PLAYER,100,100,0,0,1,0,1.14,2,113.56,74.47,3.38,0,0,0,6.84,0,2,4.49,0,0
B03_SUMMON_N__VS__B01_SHIELD_N,B03_SUMMON_N,B01_SHIELD_N,N,B_PLAYER,100,0,100,0,0,0,1.1,1,77.88,116.05,0,3.4,0,0,0,6.8,4.43,2,0,0
B01_SHIELD_N__VS__B04_DEATH_N,B01_SHIELD_N,B04_DEATH_N,N,A_PLAYER,100,100,0,0,1,0,1.78,2,85.59,178.92,2.09,0,0,0,6.96,0,2,18,0,0
B04_DEATH_N__VS__B01_SHIELD_N,B04_DEATH_N,B01_SHIELD_N,N,B_PLAYER,100,0,100,0,0,0,1.66,2,177.96,84.59,0,2.36,0,0,0,6.62,17.42,2,0,0
B01_SHIELD_N__VS__B05_SPELL_N,B01_SHIELD_N,B05_SPELL_N,N,A_PLAYER,100,95,0,5,0.975,0,2.01,2,86.13,120.48,1.72,0,0,0,7.47,2,2,0,0,0
B05_SPELL_N__VS__B01_SHIELD_N,B05_SPELL_N,B01_SHIELD_N,N,B_PLAYER,100,2,91,7,0.055,0,2,2,119.45,85.05,0.02,1.71,0,0,2,7.18,0,2,0,0
B01_SHIELD_N__VS__B06_REFRESH_N,B01_SHIELD_N,B06_REFRESH_N,N,A_PLAYER,100,100,0,0,1,0,1.89,2,88.5,90.22,2.74,0,0,0,6.81,2,2,0,0,0
B06_REFRESH_N__VS__B01_SHIELD_N,B06_REFRESH_N,B01_SHIELD_N,N,B_PLAYER,100,0,100,0,0,0,1.87,2,92.52,90.1,0,2.68,0,0,2,6.79,0,2,0,0
