buildA,buildB,developmentLevel,battles,aWins,bWins,draws,aScoreRate,aDecisiveWinWilsonLow,aDecisiveWinWilsonHigh,roundLimitRate,mutualEliminationRate,medianRounds,p90Rounds,meanRound1RawDamageA,meanRound1RawDamageB,meanSurvivorsA,meanSurvivorsB,meanSummonFailuresA,meanSummonFailuresB,meanImmediateAttacksA,meanImmediateAttacksB,meanShieldBlocksA,meanShieldBlocksB,meanFurnaceTransfersA,meanFurnaceTransfersB,meanPermanentDeltaA,meanPermanentDeltaB,effectLimitHits,exceptions
B01_SHIELD,B02_BREAK,N,200,88,68,44,0.55,0.485673,0.639451,0,0.22,2,3,82.91,106.7,0.71,0.45,0,0,0,0,6.495,5.56,2,2,2,5,0,0
B01_SHIELD,B03_SUMMON,N,200,200,0,0,1,0.981155,1,0,0,1,2,114.055,76.735,3.005,0,0,0,0,3.965,6.145,0,2,0,2,4.45,0,0
B01_SHIELD,B04_DEATH,N,200,186,0,14,0.965,0.979765,1,0,0.07,2,2,84.205,178.105,1.63,0,0,0,0,0,6.335,0,2,0,2,17.69,0,0
B01_SHIELD,B05_SPELL,N,200,139,21,40,0.795,0.807681,0.912527,0,0.2,2,2,84.54,119.645,1.125,0.11,0,0,0,0,6.65,2,2,0,2,0,0,0
B01_SHIELD,B06_REFRESH,N,200,200,0,0,1,0.981155,1,0,0,2,2,88.19,91.79,2.225,0,0,0,0,0,6.235,2,2,0,2,0,0,0
B02_BREAK,B03_SUMMON,N,200,200,0,0,1,0.981155,1,0,0,1,2,142.16,73.565,2.735,0,0,0,0,3.62,5.34,0,2,0,5,3.95,0,0
B02_BREAK,B04_DEATH,N,200,198,0,2,0.995,0.980968,1,0,0.01,2,2,91.57,154.055,2.295,0,0,0,0,0,5.375,0,2,0,5,16.08,0,0
B02_BREAK,B05_SPELL,N,200,169,8,23,0.9025,0.91336,0.976922,0,0.115,2,2,101.98,111.045,1.665,0.045,0,0,0,0,5.51,2,2,0,5,0,0,0
B02_BREAK,B06_REFRESH,N,200,195,0,5,0.9875,0.980681,1,0,0.025,2,2,102.14,83.735,2.23,0,0,0,0,0,5.22,2,2,0,5,0,0,0
B03_SUMMON,B04_DEATH,N,200,0,199,1,0.0025,0,0.018938,0,0.005,1,1,68.17,199.22,0,1.82,0,0,4.19,0,0,0,0,0,4.71,17.64,0,0
B03_SUMMON,B05_SPELL,N,200,0,200,0,0,0,0.018845,0,0,1,1,66.985,142.815,0,3.115,0,0,4.325,0,0,2,0,0,4.5,0,0,0
B03_SUMMON,B06_REFRESH,N,200,1,194,5,0.0175,0.000906,0.028472,0,0.025,1,1,73.895,114.035,0.005,1.885,0,0,3.83,0,0,1.985,0,0,4.315,0,0,0
B04_DEATH,B05_SPELL,N,200,31,95,74,0.34,0.179083,0.328008,0,0.37,1,2,159.665,97.695,0.155,0.585,0,0,0,0,0,2,0,0,17.53,0,0,0
B04_DEATH,B06_REFRESH,N,200,175,1,24,0.935,0.968523,0.998996,0,0.12,1,2,150.775,77.07,1.135,0.005,0,0,0,0,0,2,0,0,17.75,0,0,0
B05_SPELL,B06_REFRESH,N,200,197,0,3,0.9925,0.980873,1,0,0.015,1,2,112.485,85.095,2.12,0,0,0,0,0,2,2,0,0,0,0,0,0
B01_SHIELD,B02_BREAK,H,200,160,21,19,0.8475,0.829145,0.92285,0,0.095,2,3,169.17,210.76,1.93,0.115,0,0,0,0,9.065,6.225,3.855,2.745,3,10,0,0
B01_SHIELD,B03_SUMMON,H,200,200,0,0,1,0.981155,1,0,0,1,1,232.63,153.39,4.065,0,0,0,0,3.71,8.49,0,3.955,0,3,8.96,0,0
B01_SHIELD,B04_DEATH,H,200,200,0,0,1,0.981155,1,0,0,1,2,167.105,325.325,3.355,0,0,0,0,0,7.17,0,3.89,0,3,34.01,0,0
B01_SHIELD,B05_SPELL,H,200,199,0,1,0.9975,0.981062,1,0,0.005,2,2,173.56,245.32,2.99,0,0,0,0,0,8.61,2,3.91,0,3,0,0,0
B01_SHIELD,B06_REFRESH,H,200,200,0,0,1,0.981155,1,0,0,2,2,184.43,189.36,2.94,0,0,0,0,0,8.99,5,3.965,0,3,0,0,0
B02_BREAK,B03_SUMMON,H,200,200,0,0,1,0.981155,1,0,0,1,2,282.05,146.68,2.865,0,0,0,0,3.71,5.665,0,2.565,0,9.995,7.9,0,0
B02_BREAK,B04_DEATH,H,200,200,0,0,1,0.981155,1,0,0,1,2,177.485,297.585,2.8,0,0,0,0,0,5.33,0,2.7,0,10,31.37,0,0
B02_BREAK,B05_SPELL,H,200,189,2,9,0.9675,0.962631,0.997124,0,0.045,2,2,202.91,224.25,2.155,0.01,0,0,0,0,6.04,2,2.765,0,10,0,0,0
B02_BREAK,B06_REFRESH,H,200,136,19,45,0.7925,0.81648,0.920103,0,0.225,2,2,224.44,178.39,1.11,0.105,0,0,0,0,6.03,5,2.73,0,9.995,0,0,0
B03_SUMMON,B04_DEATH,H,200,11,164,25,0.1175,0.035458,0.109036,0,0.125,1,1,139.24,400.03,0.1,1.06,0,0,3.875,0,0,0,0,0,9.19,34.44,0,0
B03_SUMMON,B05_SPELL,H,200,0,200,0,0,0,0.018845,0,0,1,1,133.97,285.45,0,3.075,0,0,4.325,0,0,2,0,0,9,0,0,0
B03_SUMMON,B06_REFRESH,H,200,0,200,0,0,0,0.018845,0,0,1,1,148.95,227,0,2.915,0,0,3.83,0,0,4.955,0,0,8.63,0,0,0
