scenarioId,playerFixtureId,enemyFixtureId,developmentLevel,orientation,battles,playerWins,enemyWins,draws,playerScoreRate,roundLimitRate,meanRounds,p90Rounds,meanPlayerRound1RawDamage,meanEnemyRound1RawDamage,meanPlayerSurvivors,meanEnemySurvivors,meanPlayerSummonFailures,meanEnemySummonFailures,meanPlayerShieldBlocks,meanEnemyShieldBlocks,meanPlayerPermanentDelta,meanEnemyPermanentDelta,effectLimitHits,exceptions
B01_SHIELD_N__VS__B02_BREAK_N,B01_SHIELD_N,B02_BREAK_N,N,A_PLAYER,100,45,32,23,0.565,0,2.12,3,80.88,103.11,0.74,0.48,0,0,6.59,5.5,2,4,0,0
B02_BREAK_N__VS__B01_SHIELD_N,B02_BREAK_N,B01_SHIELD_N,N,B_PLAYER,100,36,43,21,0.465,0,2.13,3,108.89,84.94,0.42,0.68,0,0,5.62,6.4,4,2,0,0
B01_SHIELD_N__VS__B03_SUMMON_N,B01_SHIELD_N,B03_SUMMON_N,N,A_PLAYER,100,100,0,0,1,0,1.16,2,114.69,76.22,3.06,0,0,0,6.2,0,2,4.44,0,0
B03_SUMMON_N__VS__B01_SHIELD_N,B03_SUMMON_N,B01_SHIELD_N,N,B_PLAYER,100,0,100,0,0,0,1.15,2,77.25,113.42,0,2.95,0,0,0,6.09,4.46,2,0,0
B01_SHIELD_N__VS__B04_DEATH_N,B01_SHIELD_N,B04_DEATH_N,N,A_PLAYER,100,90,0,10,0.95,0,1.8,2,84.95,176.55,1.46,0,0,0,6.41,0,2,17.88,0,0
B04_DEATH_N__VS__B01_SHIELD_N,B04_DEATH_N,B01_SHIELD_N,N,B_PLAYER,100,0,96,4,0.02,0,1.79,2,179.66,83.46,0,1.8,0,0,0,6.26,17.5,2,0,0
B01_SHIELD_N__VS__B05_SPELL_N,B01_SHIELD_N,B05_SPELL_N,N,A_PLAYER,100,75,7,18,0.84,0,2.02,2,85.73,119.42,1.28,0.08,0,0,6.8,2,2,0,0,0
B05_SPELL_N__VS__B01_SHIELD_N,B05_SPELL_N,B01_SHIELD_N,N,B_PLAYER,100,6,81,13,0.125,0,2,2,117.38,83.7,0.06,1.48,0,0,2,6.63,0,2,0,0
B01_SHIELD_N__VS__B06_REFRESH_N,B01_SHIELD_N,B06_REFRESH_N,N,A_PLAYER,100,100,0,0,1,0,1.94,2,87.17,90.61,2.16,0,0,0,6.32,2,2,0,0,0
B06_REFRESH_N__VS__B01_SHIELD_N,B06_REFRESH_N,B01_SHIELD_N,N,B_PLAYER,100,0,100,0,0,0,1.87,2,92.97,89.21,0,2.29,0,0,2,6.15,0,2,0,0
B02_BREAK_N__VS__B03_SUMMON_N,B02_BREAK_N,B03_SUMMON_N,N,A_PLAYER,100,100,0,0,1,0,1.21,2,138.16,73.28,2.78,0,0,0,5.43,0,4,3.9,0,0
B03_SUMMON_N__VS__B02_BREAK_N,B03_SUMMON_N,B02_BREAK_N,N,B_PLAYER,100,0,100,0,0,0,1.14,2,73.85,144.24,0,2.69,0,0,0,5.25,4,4,0,0
B02_BREAK_N__VS__B04_DEATH_N,B02_BREAK_N,B04_DEATH_N,N,A_PLAYER,100,99,0,1,0.995,0,1.56,2,89.99,147.78,2.27,0,0,0,5.5,0,4,14.66,0,0
