buildA,buildB,developmentLevel,battles,aWins,bWins,draws,aScoreRate,aDecisiveWinWilsonLow,aDecisiveWinWilsonHigh,roundLimitRate,mutualEliminationRate,medianRounds,p90Rounds,meanRound1RawDamageA,meanRound1RawDamageB,meanSurvivorsA,meanSurvivorsB,meanSummonFailuresA,meanSummonFailuresB,meanImmediateAttacksA,meanImmediateAttacksB,meanShieldBlocksA,meanShieldBlocksB,meanFurnaceTransfersA,meanFurnaceTransfersB,meanPermanentDeltaA,meanPermanentDeltaB,effectLimitHits,exceptions
B01_SHIELD,B02_BREAK,N,200,88,68,44,0.55,0.485673,0.639451,0,0.22,2,3,82.91,106,0.71,0.45,0,0,0,0,6.495,5.56,2,2,2,4,0,0
B01_SHIELD,B03_SUMMON,N,200,200,0,0,1,0.981155,1,0,0,1,2,114.055,76.735,3.005,0,0,0,0,3.965,6.145,0,2,0,2,4.45,0,0
B01_SHIELD,B04_DEATH,N,200,186,0,14,0.965,0.979765,1,0,0.07,2,2,84.205,178.105,1.63,0,0,0,0,0,6.335,0,2,0,2,17.69,0,0
B01_SHIELD,B05_SPELL,N,200,156,13,31,0.8575,0.872851,0.954497,0,0.155,2,2,84.715,118.4,1.38,0.07,0,0,0,0,6.715,2,2,0,2,0,0,0
B01_SHIELD,B06_REFRESH,N,200,179,0,21,0.9475,0.97899,1,0,0.105,2,2,89.28,93.28,1.615,0,0,0,0,0,6.43,3,2,0,2,0,0,0
B02_BREAK,B03_SUMMON,N,200,200,0,0,1,0.981155,1,0,0,1,2,141.2,73.565,2.735,0,0,0,0,3.62,5.34,0,2,0,4,3.95,0,0
B02_BREAK,B04_DEATH,N,200,198,0,2,0.995,0.980968,1,0,0.01,2,2,91.07,154.055,2.295,0,0,0,0,0,5.375,0,2,0,4,16.08,0,0
B02_BREAK,B05_SPELL,N,200,171,8,21,0.9075,0.914301,0.977182,0,0.105,2,2,101.47,108.905,1.76,0.045,0,0,0,0,5.51,2,2,0,4,0,0,0
B02_BREAK,B06_REFRESH,N,200,179,2,19,0.9425,0.960613,0.996965,0,0.095,2,2,105.78,86.73,1.695,0.01,0,0,0,0,5.29,3,2,0,4,0,0,0
B03_SUMMON,B04_DEATH,N,200,0,199,1,0.0025,0,0.018938,0,0.005,1,1,68.17,199.22,0,1.82,0,0,4.19,0,0,0,0,0,4.71,17.64,0,0
B03_SUMMON,B05_SPELL,N,200,0,200,0,0,0,0.018845,0,0,1,1,66.985,140.265,0,3.115,0,0,4.325,0,0,2,0,0,4.5,0,0,0
B03_SUMMON,B06_REFRESH,N,200,0,200,0,0,0,0.018845,0,0,1,1,74.155,114.64,0,2.23,0,0,3.83,0,0,2.97,0,0,4.315,0,0,0
B04_DEATH,B05_SPELL,N,200,38,86,76,0.38,0.232141,0.392394,0,0.38,1,2,160.76,96.48,0.19,0.52,0,0,0,0,0,2,0,0,17.53,0,0,0
B04_DEATH,B06_REFRESH,N,200,117,14,69,0.7575,0.828595,0.935265,0,0.345,1,2,168.7,81.275,0.645,0.075,0,0,0,0,0,3,0,0,17.75,0,0,0
B05_SPELL,B06_REFRESH,N,200,179,0,21,0.9475,0.97899,1,0,0.105,2,2,114.43,87.675,1.605,0,0,0,0,0,2,3,0,0,0,0,0,0
B01_SHIELD,B02_BREAK,H,200,160,21,19,0.8475,0.829145,0.92285,0,0.095,2,3,169.17,210.385,1.93,0.115,0,0,0,0,9.065,6.225,3.855,2.745,3,9,0,0
B01_SHIELD,B03_SUMMON,H,200,200,0,0,1,0.981155,1,0,0,1,1,232.63,153.39,4.065,0,0,0,0,3.71,8.49,0,3.955,0,3,8.96,0,0
