buildA,buildB,developmentLevel,battles,aWins,bWins,draws,aScoreRate,aDecisiveWinWilsonLow,aDecisiveWinWilsonHigh,roundLimitRate,mutualEliminationRate,medianRounds,p90Rounds,meanRound1RawDamageA,meanRound1RawDamageB,meanSurvivorsA,meanSurvivorsB,meanSummonFailuresA,meanSummonFailuresB,meanImmediateAttacksA,meanImmediateAttacksB,meanShieldBlocksA,meanShieldBlocksB,meanFurnaceTransfersA,meanFurnaceTransfersB,meanPermanentDeltaA,meanPermanentDeltaB,effectLimitHits,exceptions
B01_SHIELD,B02_BREAK,N,2000,915,665,420,0.5625,0.554607,0.603237,0,0.21,2,3,82.5555,103.7935,0.744,0.4555,0,0,0,0,6.4235,5.5465,2,2,2,4,0,0
B01_SHIELD,B03_SUMMON,N,2000,1997,0,3,0.99925,0.99808,1,0,0.0015,1,2,114.9105,77.2495,2.959,0,0,0,0,3.9035,6.2005,0,1.9995,0,2,4.4725,0,0
B01_SHIELD,B04_DEATH,N,2000,1856,7,137,0.96225,0.992264,0.998179,0,0.0685,2,2,84.195,177.2075,1.691,0.0035,0,0,0,0,6.3295,0,2,0,2,17.706,0,0
B01_SHIELD,B05_SPELL,N,2000,1620,100,280,0.88,0.929785,0.951966,0,0.14,2,2,84.9725,118.62,1.438,0.053,0,0,0,0,6.6695,2,2,0,2,0,0,0
B01_SHIELD,B06_REFRESH,N,2000,1857,6,137,0.96275,0.992991,0.998523,0,0.0685,2,2,89.826,93.4225,1.7365,0.003,0,0,0,0,6.436,3,2,0,2,0,0,0
B02_BREAK,B03_SUMMON,N,2000,1993,0,7,0.99825,0.998076,1,0,0.0035,1,2,140.3285,73.686,2.709,0,0,0,0,3.536,5.3065,0,2,0,4,3.95,0,0
B02_BREAK,B04_DEATH,N,2000,1966,1,33,0.99125,0.997126,0.99991,0,0.0165,2,2,90.6475,154.8395,2.1885,0.0005,0,0,0,0,5.358,0,2,0,4,16.14,0,0
B02_BREAK,B05_SPELL,N,2000,1687,107,206,0.895,0.928428,0.950403,0,0.103,2,2,100.763,109.737,1.6775,0.0625,0,0,0,0,5.5115,2,2,0,4,0,0,0
B02_BREAK,B06_REFRESH,N,2000,1811,22,167,0.94725,0.981894,0.992061,0,0.0835,2,2,104.4705,86.8275,1.73,0.011,0,0,0,0,5.319,3,2,0,4,0,0,0
B03_SUMMON,B04_DEATH,N,2000,0,1989,11,0.00275,0,0.001928,0,0.0055,1,1,67.7205,198.5655,0,1.8515,0,0,4.1285,0,0,0,0,0,4.699,17.716,0,0
B03_SUMMON,B05_SPELL,N,2000,0,2000,0,0,0,0.001917,0,0,1,1,67.263,141.002,0,3.0095,0,0,4.3775,0,0,2,0,0,4.5085,0,0,0
B03_SUMMON,B06_REFRESH,N,2000,0,1985,15,0.00375,0,0.001932,0,0.0075,1,1,74.2295,114.6415,0,2.136,0,0,3.89,0,0,2.959,0,0,4.3215,0,0,0
B04_DEATH,B05_SPELL,N,2000,370,875,755,0.37375,0.272458,0.323167,0,0.3775,1,2,162.4705,96.7035,0.1895,0.5145,0,0,0,0,0,2,0,0,17.528,0,0,0
B04_DEATH,B06_REFRESH,N,2000,1198,162,640,0.759,0.862585,0.897034,0,0.32,1,2,169.5165,81.6635,0.683,0.0855,0,0,0,0,0,3,0,0,17.762,0,0,0
B05_SPELL,B06_REFRESH,N,2000,1834,18,148,0.954,0.984689,0.993843,0,0.074,2,2,114.2035,87.467,1.626,0.009,0,0,0,0,2,3,0,0,0,0,0,0
B01_SHIELD,B02_BREAK,H,2000,1590,237,173,0.83825,0.854092,0.884912,0,0.0865,2,3,167.4725,208.4515,1.9255,0.1535,0,0,0,0,9.13,6.226,3.824,2.743,3,9,0,0
B01_SHIELD,B03_SUMMON,H,2000,2000,0,0,1,0.998083,1,0,0,1,1,233.272,154.282,3.9675,0,0,0,0,3.8315,8.4285,0,3.9595,0,3,8.976,0,0
B01_SHIELD,B04_DEATH,H,2000,2000,0,0,1,0.998083,1,0,0,1,2,166.1685,321.6965,3.3915,0,0,0,0,0,7.218,0,3.857,0,3,33.813,0,0
B01_SHIELD,B05_SPELL,H,2000,1978,5,17,0.99325,0.994111,0.998923,0,0.0085,2,2,172.9075,242.741,3.013,0.0025,0,0,0,0,8.5615,2,3.861,0,3,0,0,0
B01_SHIELD,B06_REFRESH,H,2000,1990,1,9,0.99725,0.99716,0.999911,0,0.0045,2,2,183.6575,188.701,2.908,0.0005,0,0,0,0,8.962,5,3.95,0,3,0,0,0
B02_BREAK,B03_SUMMON,H,2000,1997,0,3,0.99925,0.99808,1,0,0.0015,1,2,277.904,146.774,2.89,0,0,0,0,3.536,5.6535,0,2.567,0,9,7.9,0,0
B02_BREAK,B04_DEATH,H,2000,1996,0,4,0.999,0.998079,1,0,0.002,1,2,176.9875,299.384,2.8125,0,0,0,0,0,5.331,0,2.6975,0,9,31.426,0,0
B02_BREAK,B05_SPELL,H,2000,1881,14,105,0.96675,0.987637,0.995594,0,0.0525,2,2,200.4855,219.3835,2.167,0.007,0,0,0,0,6.03,2,2.757,0,9,0,0,0
B02_BREAK,B06_REFRESH,H,2000,1387,207,406,0.795,0.852742,0.885754,0,0.203,2,2,223.2985,178.956,1.0745,0.1195,0,0,0,0,6.0195,5,2.71,0,9,0,0,0
B03_SUMMON,B04_DEATH,H,2000,82,1729,189,0.08825,0.036627,0.055855,0,0.0945,1,1,139.627,409.6775,0.06,1.1385,0,0,3.88,0,0,0,0,0,9.166,34.339,0,0
B03_SUMMON,B05_SPELL,H,2000,0,2000,0,0,0,0.001917,0,0,1,1,134.4,282.265,0,2.944,0,0,4.3775,0,0,2,0,0,9.017,0,0,0
B03_SUMMON,B06_REFRESH,H,2000,0,1999,1,0.00025,0,0.001918,0,0.0005,1,1,150.039,228.1,0,2.9025,0,0,3.8945,0,0,4.9315,0,0,8.643,0,0,0
B04_DEATH,B05_SPELL,H,2000,54,1497,449,0.13925,0.026782,0.045149,0,0.2245,1,2,283.121,190.368,0.027,1.0805,0,0,0,0,0,2,0,0,34.539,0,0,0
B04_DEATH,B06_REFRESH,H,2000,0,1983,17,0.00425,0,0.001933,0,0.0085,1,2,330.3445,157.236,0,2.081,0,0,0,0,0,4.908,0,0,34.377,0,0,0
B05_SPELL,B06_REFRESH,H,2000,429,651,920,0.4445,0.368453,0.42672,0,0.46,2,2,238.0565,177.654,0.2255,0.357,0,0,0,0,2,5,0,0,0,0,0,0
