scenarioId,playerFixtureId,enemyFixtureId,developmentLevel,orientation,battles,playerWins,enemyWins,draws,playerScoreRate,roundLimitRate,meanRounds,p90Rounds,meanPlayerRound1RawDamage,meanEnemyRound1RawDamage,meanPlayerSurvivors,meanEnemySurvivors,meanPlayerSummonFailures,meanEnemySummonFailures,meanPlayerShieldBlocks,meanEnemyShieldBlocks,meanPlayerPermanentDelta,meanEnemyPermanentDelta,meanPlayerFlourishGained,meanEnemyFlourishGained,effectLimitHits,exceptions
B01_SHIELD_N__VS__B02_BREAK_N,B01_SHIELD_N,B02_BREAK_N,N,A_PLAYER,100,45,32,23,0.565,0,2.12,3,80.88,103.11,0.74,0.48,0,0,6.59,5.5,2,4,0,0,0,0
B02_BREAK_N__VS__B01_SHIELD_N,B02_BREAK_N,B01_SHIELD_N,N,B_PLAYER,100,36,43,21,0.465,0,2.13,3,108.89,84.94,0.42,0.68,0,0,5.62,6.4,4,2,0,0,0,0
B01_SHIELD_N__VS__B03_SUMMON_N,B01_SHIELD_N,B03_SUMMON_N,N,A_PLAYER,100,99,0,1,0.995,0,1.34,2,115.91,97.27,2.31,0,0,0,6.62,0,2,3.78,0,0.96,0,0
B03_SUMMON_N__VS__B01_SHIELD_N,B03_SUMMON_N,B01_SHIELD_N,N,B_PLAYER,100,0,97,3,0.015,0,1.37,2,98.48,116.38,0,2.09,0,0,0,6.45,3.72,2,0.98,0,0,0
B01_SHIELD_N__VS__B04_DEATH_N,B01_SHIELD_N,B04_DEATH_N,N,A_PLAYER,100,90,0,10,0.95,0,1.8,2,84.95,176.55,1.46,0,0,0,6.41,0,2,17.88,0,0,0,0
B04_DEATH_N__VS__B01_SHIELD_N,B04_DEATH_N,B01_SHIELD_N,N,B_PLAYER,100,0,96,4,0.02,0,1.79,2,179.66,83.46,0,1.8,0,0,0,6.26,17.5,2,0,0,0,0
B01_SHIELD_N__VS__B05_SPELL_N,B01_SHIELD_N,B05_SPELL_N,N,A_PLAYER,100,75,7,18,0.84,0,2.02,2,85.73,119.42,1.28,0.08,0,0,6.8,2,2,0,0,0,0,0
B05_SPELL_N__VS__B01_SHIELD_N,B05_SPELL_N,B01_SHIELD_N,N,B_PLAYER,100,6,81,13,0.125,0,2,2,117.38,83.7,0.06,1.48,0,0,2,6.63,0,2,0,0,0,0
B01_SHIELD_N__VS__B06_REFRESH_N,B01_SHIELD_N,B06_REFRESH_N,N,A_PLAYER,100,88,0,12,0.94,0,1.97,2,88.28,92.1,1.46,0,0,0,6.51,3,2,0,0,0,0,0
B06_REFRESH_N__VS__B01_SHIELD_N,B06_REFRESH_N,B01_SHIELD_N,N,B_PLAYER,100,0,91,9,0.045,0,1.93,2,94.46,90.28,0,1.77,0,0,3,6.35,0,2,0,0,0,0
