buildA,buildB,developmentLevel,battles,aWins,bWins,draws,aScoreRate,aDecisiveWinWilsonLow,aDecisiveWinWilsonHigh,roundLimitRate,mutualEliminationRate,medianRounds,p90Rounds,meanRound1RawDamageA,meanRound1RawDamageB,meanSurvivorsA,meanSurvivorsB,meanSummonFailuresA,meanSummonFailuresB,meanImmediateAttacksA,meanImmediateAttacksB,meanShieldBlocksA,meanShieldBlocksB,meanFurnaceTransfersA,meanFurnaceTransfersB,meanPermanentDeltaA,meanPermanentDeltaB,meanFlourishGainedA,meanFlourishGainedB,effectLimitHits,exceptions
B01_SHIELD,B02_BREAK,N,2000,915,665,420,0.5625,0.554607,0.603237,0,0.21,2,3,82.5555,103.7935,0.744,0.4555,0,0,0,0,6.4235,5.5465,2,2,2,4,0,0,0,0
B01_SHIELD,B03_SUMMON,N,2000,1918,4,78,0.9785,0.994661,0.99919,0,0.039,1,2,115.0825,96.5415,2.194,0.002,0,0,0,3.9485,6.493,0,1.9845,0,2,3.733,0,0.9655,0,0
B01_SHIELD,B04_DEATH,N,2000,1856,7,137,0.96225,0.992264,0.998179,0,0.0685,2,2,84.195,177.2075,1.691,0.0035,0,0,0,0,6.3295,0,2,0,2,17.706,0,0,0,0
B01_SHIELD,B05_SPELL,N,2000,1620,100,280,0.88,0.929785,0.951966,0,0.14,2,2,84.9725,118.62,1.438,0.053,0,0,0,0,6.6695,2,2,0,2,0,0,0,0,0
B01_SHIELD,B06_REFRESH,N,2000,1857,6,137,0.96275,0.992991,0.998523,0,0.0685,2,2,89.826,93.4225,1.7365,0.003,0,0,0,0,6.436,3,2,0,2,0,0,0,0,0
B02_BREAK,B03_SUMMON,N,2000,1734,43,223,0.92275,0.967565,0.981986,0,0.1115,1,2,154.4255,87.8075,1.6365,0.0245,0,0,0,3.6255,5.6475,0,2,0,4,3.201,0,0.8005,0,0
B02_BREAK,B04_DEATH,N,2000,1966,1,33,0.99125,0.997126,0.99991,0,0.0165,2,2,90.6475,154.8395,2.1885,0.0005,0,0,0,0,5.358,0,2,0,4,16.14,0,0,0,0
B02_BREAK,B05_SPELL,N,2000,1687,107,206,0.895,0.928428,0.950403,0,0.103,2,2,100.763,109.737,1.6775,0.0625,0,0,0,0,5.5115,2,2,0,4,0,0,0,0,0
B02_BREAK,B06_REFRESH,N,2000,1811,22,167,0.94725,0.981894,0.992061,0,0.0835,2,2,104.4705,86.8275,1.73,0.011,0,0,0,0,5.319,3,2,0,4,0,0,0,0,0
B03_SUMMON,B04_DEATH,N,2000,418,940,642,0.3695,0.283826,0.332869,0,0.321,1,1,84.84,215.6245,0.2465,0.5605,0,0,4.4555,0,0,0,0,0,3.946,17.134,0.9785,0,0,0
B03_SUMMON,B05_SPELL,N,2000,2,1924,74,0.0195,0.000285,0.003778,0,0.037,1,1,86.4585,140.0625,0.001,1.81,0,0,4.6865,0,0,2,0,0,3.733,0,0.87,0,0,0
B03_SUMMON,B06_REFRESH,N,2000,94,1570,336,0.131,0.046385,0.068639,0,0.168,1,2,93.953,115.379,0.0535,1.139,0,0,4.1375,0,0,2.998,0,0,3.611,0,0.987,0,0,0
