scenarioId,playerFixtureId,enemyFixtureId,developmentLevel,orientation,battles,playerWins,enemyWins,draws,playerScoreRate,roundLimitRate,meanRounds,p90Rounds,meanPlayerRound1RawDamage,meanEnemyRound1RawDamage,meanPlayerSurvivors,meanEnemySurvivors,meanPlayerSummonFailures,meanEnemySummonFailures,meanPlayerShieldBlocks,meanEnemyShieldBlocks,meanPlayerPermanentDelta,meanEnemyPermanentDelta,meanPlayerFlourishGained,meanEnemyFlourishGained,effectLimitHits,exceptions
B01_SHIELD_N__VS__B02_BREAK_N,B01_SHIELD_N,B02_BREAK_N,N,A_PLAYER,1000,522,277,201,0.6225,0,2.129,3,80.809,100.767,0.86,0.39,0,0,6.623,5.421,2,4,0,0,0,0
B02_BREAK_N__VS__B01_SHIELD_N,B02_BREAK_N,B01_SHIELD_N,N,B_PLAYER,1000,388,393,219,0.4975,0,2.098,2,106.82,84.302,0.521,0.628,0,0,5.672,6.224,4,2,0,0,0,0
B01_SHIELD_N__VS__B03_SUMMON_N,B01_SHIELD_N,B03_SUMMON_N,N,A_PLAYER,1000,967,2,31,0.9825,0,1.38,2,114.868,96.371,2.244,0.002,0,0,6.551,0,2,3.79,0,0.966,0,0
B03_SUMMON_N__VS__B01_SHIELD_N,B03_SUMMON_N,B01_SHIELD_N,N,B_PLAYER,1000,2,951,47,0.0255,0,1.349,2,96.712,115.297,0.002,2.144,0,0,0,6.435,3.676,2,0.965,0,0,0
B01_SHIELD_N__VS__B04_DEATH_N,B01_SHIELD_N,B04_DEATH_N,N,A_PLAYER,1000,902,4,94,0.949,0,1.804,2,84.614,175.326,1.522,0.004,0,0,6.418,0,2,17.942,0,0,0,0
B04_DEATH_N__VS__B01_SHIELD_N,B04_DEATH_N,B01_SHIELD_N,N,B_PLAYER,1000,3,954,43,0.0245,0,1.759,2,179.089,83.776,0.003,1.86,0,0,0,6.241,17.47,2,0,0,0,0
B01_SHIELD_N__VS__B05_SPELL_N,B01_SHIELD_N,B05_SPELL_N,N,A_PLAYER,1000,802,52,146,0.875,0,2.013,2,85.476,119.483,1.391,0.058,0,0,6.714,2,2,0,0,0,0,0
B05_SPELL_N__VS__B01_SHIELD_N,B05_SPELL_N,B01_SHIELD_N,N,B_PLAYER,1000,48,818,134,0.115,0,2.005,2,117.757,84.469,0.048,1.485,0,0,2,6.625,0,2,0,0,0,0
B01_SHIELD_N__VS__B06_REFRESH_N,B01_SHIELD_N,B06_REFRESH_N,N,A_PLAYER,1000,924,5,71,0.9595,0,1.979,2,89.617,93.146,1.677,0.005,0,0,6.453,3,2,0,0,0,0,0
B06_REFRESH_N__VS__B01_SHIELD_N,B06_REFRESH_N,B01_SHIELD_N,N,B_PLAYER,1000,1,933,66,0.034,0,1.959,2,93.699,90.035,0.001,1.796,0,0,3,6.419,0,2,0,0,0,0
B02_BREAK_N__VS__B03_SUMMON_N,B02_BREAK_N,B03_SUMMON_N,N,A_PLAYER,1000,908,3,89,0.9525,0,1.422,2,149.305,87.745,1.675,0.003,0,0,5.789,0,4,3.202,0,0.8,0,0
B03_SUMMON_N__VS__B02_BREAK_N,B03_SUMMON_N,B02_BREAK_N,N,B_PLAYER,1000,40,826,134,0.107,0,1.354,2,87.87,159.546,0.046,1.598,0,0,0,5.506,3.2,4,0.801,0,0,0
B02_BREAK_N__VS__B04_DEATH_N,B02_BREAK_N,B04_DEATH_N,N,A_PLAYER,1000,977,1,22,0.988,0,1.597,2,89.225,148.636,2.207,0.001,0,0,5.543,0,4,14.778,0,0,0,0
B04_DEATH_N__VS__B02_BREAK_N,B04_DEATH_N,B02_BREAK_N,N,B_PLAYER,1000,0,989,11,0.0055,0,1.618,2,161.043,92.07,0,2.17,0,0,0,5.173,17.502,4,0,0,0,0
B02_BREAK_N__VS__B05_SPELL_N,B02_BREAK_N,B05_SPELL_N,N,A_PLAYER,1000,860,55,85,0.9025,0,1.927,2,105.367,113.999,1.782,0.066,0,0,5.574,2,4,0,0,0,0,0
B05_SPELL_N__VS__B02_BREAK_N,B05_SPELL_N,B02_BREAK_N,N,B_PLAYER,1000,52,827,121,0.1125,0,1.997,2,105.475,96.159,0.059,1.573,0,0,2,5.449,0,4,0,0,0,0
B02_BREAK_N__VS__B06_REFRESH_N,B02_BREAK_N,B06_REFRESH_N,N,A_PLAYER,1000,921,6,73,0.9575,0,1.812,2,109.731,90.514,1.761,0.006,0,0,5.358,3,4,0,0,0,0,0
B06_REFRESH_N__VS__B02_BREAK_N,B06_REFRESH_N,B02_BREAK_N,N,B_PLAYER,1000,16,890,94,0.063,0,1.95,2,83.141,99.21,0.016,1.699,0,0,3,5.28,0,4,0,0,0,0
B03_SUMMON_N__VS__B04_DEATH_N,B03_SUMMON_N,B04_DEATH_N,N,A_PLAYER,1000,302,453,245,0.4245,0,1.065,1,82.406,211.473,0.373,0.61,0,0,0,0,3.892,16.434,0.957,0,0,0
B04_DEATH_N__VS__B03_SUMMON_N,B04_DEATH_N,B03_SUMMON_N,N,B_PLAYER,1000,487,116,397,0.6855,0,1.002,1,219.776,87.274,0.511,0.12,0,0,0,0,17.834,4,0,1,0,0
B03_SUMMON_N__VS__B05_SPELL_N,B03_SUMMON_N,B05_SPELL_N,N,A_PLAYER,1000,0,972,28,0.014,0,1.007,1,88.265,139.789,0,1.714,0,0,0,2,3.918,0,0.958,0,0,0
B05_SPELL_N__VS__B03_SUMMON_N,B05_SPELL_N,B03_SUMMON_N,N,B_PLAYER,1000,952,2,46,0.975,0,1.022,1,140.336,84.652,1.906,0.002,0,0,2,0,0,3.548,0,0.782,0,0
B03_SUMMON_N__VS__B06_REFRESH_N,B03_SUMMON_N,B06_REFRESH_N,N,A_PLAYER,1000,41,793,166,0.124,0,1.191,2,94.443,115.642,0.048,1.155,0,0,0,2.997,3.766,0,1,0,0,0
B06_REFRESH_N__VS__B03_SUMMON_N,B06_REFRESH_N,B03_SUMMON_N,N,B_PLAYER,1000,777,53,170,0.862,0,1.187,2,115.116,93.463,1.123,0.059,0,0,2.999,0,0,3.456,0,0.974,0,0
B04_DEATH_N__VS__B05_SPELL_N,B04_DEATH_N,B05_SPELL_N,N,A_PLAYER,1000,211,354,435,0.4285,0,1.226,2,169.651,99.692,0.217,0.395,0,0,0,2,17.972,0,0,0,0,0
B05_SPELL_N__VS__B04_DEATH_N,B05_SPELL_N,B04_DEATH_N,N,B_PLAYER,1000,521,159,320,0.681,0,1.263,2,93.715,155.29,0.634,0.162,0,0,2,0,0,17.084,0,0,0,0
B04_DEATH_N__VS__B06_REFRESH_N,B04_DEATH_N,B06_REFRESH_N,N,A_PLAYER,1000,640,61,299,0.7895,0,1.333,2,171.35,82.163,0.735,0.065,0,0,0,3,17.96,0,0,0,0,0
B06_REFRESH_N__VS__B04_DEATH_N,B06_REFRESH_N,B04_DEATH_N,N,B_PLAYER,1000,101,558,341,0.2715,0,1.376,2,81.164,167.683,0.106,0.631,0,0,3,0,0,17.564,0,0,0,0
B05_SPELL_N__VS__B06_REFRESH_N,B05_SPELL_N,B06_REFRESH_N,N,A_PLAYER,1000,920,8,72,0.956,0,1.669,2,112.912,86.552,1.681,0.008,0,0,2,3,0,0,0,0,0,0
B06_REFRESH_N__VS__B05_SPELL_N,B06_REFRESH_N,B05_SPELL_N,N,B_PLAYER,1000,10,914,76,0.048,0,1.662,2,88.382,115.495,0.01,1.571,0,0,3,2,0,0,0,0,0,0
B01_SHIELD_H__VS__B02_BREAK_H,B01_SHIELD_H,B02_BREAK_H,H,A_PLAYER,1000,757,148,95,0.8045,0,2.186,3,161.5,198.815,1.935,0.19,0,0,9.146,6.15,3,9,0,0,0,0
B02_BREAK_H__VS__B01_SHIELD_H,B02_BREAK_H,B01_SHIELD_H,H,B_PLAYER,1000,89,833,78,0.128,0,2.194,3,218.088,173.445,0.117,1.916,0,0,6.302,9.114,9,3,0,0,0,0
