buildA,buildB,developmentLevel,battles,aWins,bWins,draws,aScoreRate,aDecisiveWinWilsonLow,aDecisiveWinWilsonHigh,roundLimitRate,mutualEliminationRate,medianRounds,p90Rounds,meanRound1RawDamageA,meanRound1RawDamageB,meanSurvivorsA,meanSurvivorsB,meanSummonFailuresA,meanSummonFailuresB,meanImmediateAttacksA,meanImmediateAttacksB,meanShieldBlocksA,meanShieldBlocksB,meanFurnaceTransfersA,meanFurnaceTransfersB,meanPermanentDeltaA,meanPermanentDeltaB,meanFlourishGainedA,meanFlourishGainedB,effectLimitHits,exceptions
B01_SHIELD,B02_BREAK,N,200,16,145,39,0.1775,0.0621,0.15533,0,0.195,2,2,83.435,103.28,0.085,1.28,0,0,0,0,3.985,5.465,1.985,2,2,4,0,0,0,0
B01_SHIELD,B03_SUMMON,N,200,120,33,47,0.7175,0.712606,0.842094,0,0.235,1,2,115.25,94.615,0.905,0.21,0,0,0,4.045,3.985,0,1.99,0,2,3.69,0,0.96,0,0
B01_SHIELD,B04_DEATH,N,200,64,51,85,0.5325,0.465358,0.644032,0,0.425,2,2,83.33,169.105,0.365,0.26,0,0,0,0,3.97,0,1.985,0,2,17.66,0,0,0,0
B01_SHIELD,B05_SPELL,N,200,46,88,66,0.395,0.268267,0.427035,0,0.33,2,2,83.955,114.165,0.275,0.6,0,0,0,0,3.99,2,1.995,0,2,0,0,0,0,0
B01_SHIELD,B06_REFRESH,N,200,105,20,75,0.7125,0.765754,0.893972,0,0.375,2,2,89.49,91.425,0.67,0.105,0,0,0,0,3.985,3,1.995,0,2,0,0,0,0,0
B02_BREAK,B03_SUMMON,N,200,176,6,18,0.925,0.929953,0.984805,0,0.09,1,2,153.17,87.14,1.705,0.045,0,0,0,3.665,5.665,0,2,0,4,3.21,0,0.8,0,0
B02_BREAK,B04_DEATH,N,200,198,0,2,0.995,0.980968,1,0,0.01,2,2,91.07,154.055,2.295,0,0,0,0,0,5.375,0,2,0,4,16.08,0,0,0,0
B02_BREAK,B05_SPELL,N,200,171,8,21,0.9075,0.914301,0.977182,0,0.105,2,2,101.47,108.905,1.76,0.045,0,0,0,0,5.51,2,2,0,4,0,0,0,0,0
B02_BREAK,B06_REFRESH,N,200,179,2,19,0.9425,0.960613,0.996965,0,0.095,2,2,105.78,86.73,1.695,0.01,0,0,0,0,5.29,3,2,0,4,0,0,0,0,0
B03_SUMMON,B04_DEATH,N,200,42,98,60,0.36,0.230262,0.38042,0,0.3,1,1,84.545,213.535,0.26,0.595,0,0,4.46,0,0,0,0,0,3.97,17.02,0.97,0,0,0
