buildA,buildB,developmentLevel,battles,aWins,bWins,draws,aScoreRate,aDecisiveWinWilsonLow,aDecisiveWinWilsonHigh,roundLimitRate,mutualEliminationRate,medianRounds,p90Rounds,meanRound1RawDamageA,meanRound1RawDamageB,meanSurvivorsA,meanSurvivorsB,meanSummonFailuresA,meanSummonFailuresB,meanImmediateAttacksA,meanImmediateAttacksB,meanShieldBlocksA,meanShieldBlocksB,meanFurnaceTransfersA,meanFurnaceTransfersB,meanPermanentDeltaA,meanPermanentDeltaB,meanFlourishGainedA,meanFlourishGainedB,effectLimitHits,exceptions
B01_SHIELD,B02_BREAK,N,200,43,105,52,0.345,0.223432,0.368248,0,0.26,2,2,85.335,91.07,0.27,0.82,0,0,0,0,3.995,5.555,1.995,2,2,7,0,0,0,0
B01_SHIELD,B03_SUMMON,N,200,120,33,47,0.7175,0.712606,0.842094,0,0.235,1,2,115.25,94.615,0.905,0.21,0,0,0,4.045,3.985,0,1.99,0,2,3.69,0,0.96,0,0
B01_SHIELD,B04_DEATH,N,200,101,22,77,0.6975,0.744013,0.878811,0,0.385,2,2,82.445,161.34,0.59,0.115,0,0,0,0,3.95,0,1.985,0,2,25.76,0,0,0,0
B01_SHIELD,B05_SPELL,N,200,46,88,66,0.395,0.268267,0.427035,0,0.33,2,2,83.955,114.165,0.275,0.6,0,0,0,0,3.99,2,1.995,0,2,0,0,0,0,0
B01_SHIELD,B06_REFRESH,N,200,105,20,75,0.7125,0.765754,0.893972,0,0.375,2,2,89.49,91.425,0.67,0.105,0,0,0,0,3.985,3,1.995,0,2,0,0,0,0,0
B02_BREAK,B03_SUMMON,N,200,168,11,21,0.8925,0.893325,0.965343,0,0.105,1,2,126.77,86.975,1.465,0.07,0,0,0,3.665,5.675,0,2,0,7,3.21,0,0.8,0,0
B02_BREAK,B04_DEATH,N,200,198,0,2,0.995,0.980968,1,0,0.01,1,2,81.37,166.685,2.28,0,0,0,0,0,5.215,0,2,0,7,23.31,0,0,0,0
B02_BREAK,B05_SPELL,N,200,114,46,40,0.67,0.638037,0.776999,0,0.2,2,2,89.325,110.91,0.945,0.29,0,0,0,0,5.645,2,2,0,7,0,0,0,0,0
B02_BREAK,B06_REFRESH,N,200,132,29,39,0.7575,0.753285,0.871558,0,0.195,2,2,92.955,88.05,0.945,0.17,0,0,0,0,5.385,3,2,0,7,0,0,0,0,0
B03_SUMMON,B04_DEATH,N,200,69,67,64,0.505,0.424289,0.590013,0,0.32,1,1,83.53,207.635,0.46,0.42,0,0,4.28,0,0,0,0,0,3.9,24.75,0.96,0,0,0
