scenarioId,playerFixtureId,enemyFixtureId,developmentLevel,orientation,battles,playerWins,enemyWins,draws,playerScoreRate,roundLimitRate,meanRounds,p90Rounds,meanPlayerRound1RawDamage,meanEnemyRound1RawDamage,meanPlayerSurvivors,meanEnemySurvivors,meanPlayerSummonFailures,meanEnemySummonFailures,meanPlayerShieldBlocks,meanEnemyShieldBlocks,meanPlayerPermanentDelta,meanEnemyPermanentDelta,meanPlayerFlourishGained,meanEnemyFlourishGained,effectLimitHits,exceptions
B01_SHIELD_N__VS__B02_BREAK_N,B01_SHIELD_N,B02_BREAK_N,N,A_PLAYER,100,16,49,35,0.335,0,2.04,2,84.12,87.34,0.19,0.78,0,0,3.99,5.44,2,7,0,0,0,0
B02_BREAK_N__VS__B01_SHIELD_N,B02_BREAK_N,B01_SHIELD_N,N,B_PLAYER,100,56,27,17,0.645,0,2.1,2,94.8,86.55,0.86,0.35,0,0,5.67,4,7,2,0,0,0,0
B01_SHIELD_N__VS__B03_SUMMON_N,B01_SHIELD_N,B03_SUMMON_N,N,A_PLAYER,100,57,17,26,0.7,0,1.41,2,115.52,94.06,0.9,0.24,0,0,4,0,2,3.68,0,0.96,0,0
B03_SUMMON_N__VS__B01_SHIELD_N,B03_SUMMON_N,B01_SHIELD_N,N,B_PLAYER,100,16,63,21,0.265,0,1.34,2,95.17,114.98,0.18,0.91,0,0,0,3.97,3.7,2,0.96,0,0,0
B01_SHIELD_N__VS__B04_DEATH_N,B01_SHIELD_N,B04_DEATH_N,N,A_PLAYER,100,47,15,38,0.66,0,1.76,2,82.67,160.25,0.52,0.16,0,0,3.95,0,2,26.08,0,0,0,0
B04_DEATH_N__VS__B01_SHIELD_N,B04_DEATH_N,B01_SHIELD_N,N,B_PLAYER,100,7,54,39,0.265,0,1.67,2,162.43,82.22,0.07,0.66,0,0,0,3.95,25.44,2,0,0,0,0
B01_SHIELD_N__VS__B05_SPELL_N,B01_SHIELD_N,B05_SPELL_N,N,A_PLAYER,100,27,47,26,0.4,0,1.96,2,84.12,113.78,0.32,0.63,0,0,3.99,2,2,0,0,0,0,0
B05_SPELL_N__VS__B01_SHIELD_N,B05_SPELL_N,B01_SHIELD_N,N,B_PLAYER,100,41,19,40,0.61,0,1.99,2,114.55,83.79,0.57,0.23,0,0,2,3.99,0,2,0,0,0,0
B01_SHIELD_N__VS__B06_REFRESH_N,B01_SHIELD_N,B06_REFRESH_N,N,A_PLAYER,100,54,9,37,0.725,0,2.02,2,89.32,91.28,0.66,0.09,0,0,3.99,3,2,0,0,0,0,0
B06_REFRESH_N__VS__B01_SHIELD_N,B06_REFRESH_N,B01_SHIELD_N,N,B_PLAYER,100,11,51,38,0.3,0,1.96,2,91.57,89.66,0.12,0.68,0,0,3,3.98,0,2,0,0,0,0
B02_BREAK_N__VS__B03_SUMMON_N,B02_BREAK_N,B03_SUMMON_N,N,A_PLAYER,100,87,2,11,0.925,0,1.45,2,125.01,87.68,1.46,0.02,0,0,5.82,0,7,3.22,0,0.8,0,0
B03_SUMMON_N__VS__B02_BREAK_N,B03_SUMMON_N,B02_BREAK_N,N,B_PLAYER,100,9,81,10,0.14,0,1.4,2,86.27,128.53,0.12,1.47,0,0,0,5.53,3.2,7,0.8,0,0,0
B02_BREAK_N__VS__B04_DEATH_N,B02_BREAK_N,B04_DEATH_N,N,A_PLAYER,100,100,0,0,1,0,1.4,2,82.35,162.85,2.33,0,0,0,5.36,0,7,21.84,0,0,0,0
B04_DEATH_N__VS__B02_BREAK_N,B04_DEATH_N,B02_BREAK_N,N,B_PLAYER,100,0,98,2,0.01,0,1.48,2,170.52,80.39,0,2.23,0,0,0,5.07,24.78,7,0,0,0,0
