scenarioId,playerFixtureId,enemyFixtureId,developmentLevel,orientation,battles,playerWins,enemyWins,draws,playerScoreRate,roundLimitRate,meanRounds,p90Rounds,meanPlayerRound1RawDamage,meanEnemyRound1RawDamage,meanPlayerSurvivors,meanEnemySurvivors,meanPlayerSummonFailures,meanEnemySummonFailures,meanPlayerShieldBlocks,meanEnemyShieldBlocks,meanPlayerPermanentDelta,meanEnemyPermanentDelta,meanPlayerFlourishGained,meanEnemyFlourishGained,effectLimitHits,exceptions
B01_SHIELD_N__VS__B02_BREAK_N,B01_SHIELD_N,B02_BREAK_N,N,A_PLAYER,100,55,21,24,0.67,0,2.09,2,113.74,120.76,0.78,0.26,0,0,5.32,5.29,10.12,7.21,0,0,0,0
B02_BREAK_N__VS__B01_SHIELD_N,B02_BREAK_N,B01_SHIELD_N,N,B_PLAYER,100,17,59,24,0.29,0,2.06,2,126.5,121.45,0.21,0.87,0,0,5.41,5.4,7.35,10.79,0,0,0,0
B01_SHIELD_N__VS__B03_SUMMON_N,B01_SHIELD_N,B03_SUMMON_N,N,A_PLAYER,100,59,12,29,0.735,0,1.25,2,158.22,159.36,0.74,0.12,0,0,5.22,0,10.87,3.26,0,2.29,0,0
B03_SUMMON_N__VS__B01_SHIELD_N,B03_SUMMON_N,B01_SHIELD_N,N,B_PLAYER,100,14,64,22,0.25,0,1.17,2,155.13,154.19,0.14,0.8,0,0,0,5.04,4,10.77,2.33,0,0,0
B01_SHIELD_N__VS__B04_DEATH_N,B01_SHIELD_N,B04_DEATH_N,N,A_PLAYER,100,73,7,20,0.83,0,1.95,2,112.87,208.5,1.25,0.07,0,0,5.19,0,10,21.79,0,0,0,0
B04_DEATH_N__VS__B01_SHIELD_N,B04_DEATH_N,B01_SHIELD_N,N,B_PLAYER,100,8,73,19,0.175,0,2.01,2,199.84,108.16,0.08,1.14,0,0,0,4.97,22.43,9.87,0,0,0,0
B01_SHIELD_N__VS__B05_SPELL_N,B01_SHIELD_N,B05_SPELL_N,N,A_PLAYER,100,63,10,27,0.765,0,2,2,108.35,138.77,1.13,0.11,0,0,5.2,2,10.2,0,0,0,0,0
B05_SPELL_N__VS__B01_SHIELD_N,B05_SPELL_N,B01_SHIELD_N,N,B_PLAYER,100,3,66,31,0.185,0,1.97,2,139.16,109.72,0.05,1.05,0,0,2,5.16,0,10.56,0,0,0,0
B01_SHIELD_N__VS__B06_REFRESH_N,B01_SHIELD_N,B06_REFRESH_N,N,A_PLAYER,100,84,6,10,0.89,0,1.97,2,114.07,119.38,1.63,0.06,0,0,5.23,1,10.36,0,0,0,0,0
B06_REFRESH_N__VS__B01_SHIELD_N,B06_REFRESH_N,B01_SHIELD_N,N,B_PLAYER,100,3,88,9,0.075,0,1.93,2,117.28,112.21,0.03,1.52,0,0,1,4.89,0,10.67,0,0,0,0
B02_BREAK_N__VS__B03_SUMMON_N,B02_BREAK_N,B03_SUMMON_N,N,A_PLAYER,100,54,7,39,0.735,0,1.22,2,163.38,173,0.62,0.07,0,0,5.52,0,7.55,3.6,0,2.31,0,0
B03_SUMMON_N__VS__B02_BREAK_N,B03_SUMMON_N,B02_BREAK_N,N,B_PLAYER,100,23,33,44,0.45,0,1.22,2,166.27,158.93,0.26,0.33,0,0,0,4.73,4,6.75,2.28,0,0,0
