buildA,buildB,developmentLevel,battles,aWins,bWins,draws,aScoreRate,aDecisiveWinWilsonLow,aDecisiveWinWilsonHigh,roundLimitRate,mutualEliminationRate,medianRounds,p90Rounds,meanRound1RawDamageA,meanRound1RawDamageB,meanSurvivorsA,meanSurvivorsB,meanSummonFailuresA,meanSummonFailuresB,meanImmediateAttacksA,meanImmediateAttacksB,meanShieldBlocksA,meanShieldBlocksB,meanFurnaceTransfersA,meanFurnaceTransfersB,meanPermanentDeltaA,meanPermanentDeltaB,meanFlourishGainedA,meanFlourishGainedB,effectLimitHits,exceptions
B01_SHIELD,B02_BREAK,N,200,114,38,48,0.69,0.675575,0.8121,0,0.24,2,2,117.595,123.63,0.825,0.235,0,0,0,0,5.36,5.35,1.94,2,10.455,7.28,0,0,0,0
B01_SHIELD,B03_SUMMON,N,200,123,26,51,0.7425,0.756599,0.878046,0,0.255,1,2,156.205,157.245,0.77,0.13,0,0,0,4.205,5.13,0,1.925,0,10.82,3.63,0,2.31,0,0
B01_SHIELD,B04_DEATH,N,200,146,15,39,0.8275,0.851978,0.942725,0,0.195,2,2,110.515,204.17,1.195,0.075,0,0,0,0,5.08,0,1.94,0,9.935,22.11,0,0,0,0
B01_SHIELD,B05_SPELL,N,200,129,13,58,0.79,0.849667,0.945717,0,0.29,2,2,109.035,138.965,1.09,0.08,0,0,0,0,5.18,2,1.95,0,10.38,0,0,0,0,0
B01_SHIELD,B06_REFRESH,N,200,193,2,5,0.9775,0.963381,0.997183,0,0.025,2,2,110.305,107.175,2.005,0.01,0,0,0,0,4.845,1,1.95,0,10.46,0,0,0,0,0
B02_BREAK,B03_SUMMON,N,200,87,30,83,0.6425,0.657609,0.814083,0,0.415,1,2,161.155,169.635,0.475,0.165,0,0,0,4.325,5.125,0,1.5,0,7.15,3.8,0,2.295,0,0
B02_BREAK,B04_DEATH,N,200,165,1,34,0.91,0.966671,0.998936,0,0.17,2,2,125.085,237.675,1.05,0.005,0,0,0,0,5.06,0,2,0,7.1,23.7,0,0,0,0
B02_BREAK,B05_SPELL,N,200,56,71,73,0.4625,0.357587,0.52777,0,0.365,2,2,114.845,143.5,0.345,0.465,0,0,0,0,5.13,2,2,0,7.12,0,0,0,0,0
B02_BREAK,B06_REFRESH,N,200,200,0,0,1,0.981155,1,0,0,1,2,122.365,115.33,2.08,0,0,0,0,0,4.9,1,2,0,7.04,0,0,0,0,0
B03_SUMMON,B04_DEATH,N,200,154,2,44,0.88,0.954465,0.996477,0,0.22,1,1,142.805,260.755,1.055,0.01,0,0,4.595,0,0,0,0,0,4,23.01,2.5,0,0,0
B03_SUMMON,B05_SPELL,N,200,73,43,84,0.575,0.538593,0.711738,0,0.42,1,1,151.245,177.925,0.38,0.225,0,0,4.1,0,0,2,0,0,3.63,0,2.345,0,0,0
B03_SUMMON,B06_REFRESH,N,200,195,0,5,0.9875,0.980681,1,0,0.025,1,1,124.59,119.68,2.105,0,0,0,4.245,0,0,1,0,0,3.8,0,2.03,0,0,0
B04_DEATH,B05_SPELL,N,200,28,89,83,0.3475,0.171081,0.324126,0,0.415,1,2,217.885,133.91,0.15,0.5,0,0,0,0,0,2,0,0,23.185,0,0,0,0,0
B04_DEATH,B06_REFRESH,N,200,196,0,4,0.99,0.980777,1,0,0.02,1,2,183.915,104.965,1.63,0,0,0,0,0,0,1,0,0,23.895,0,0,0,0,0
B05_SPELL,B06_REFRESH,N,200,200,0,0,1,0.981155,1,0,0,1,2,123.66,96.62,2.28,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
B01_SHIELD,B02_BREAK,H,200,101,65,34,0.59,0.532534,0.679429,0,0.17,2,3,226.61,227.9,0.755,0.605,0,0,0,0,6.095,6.125,3.375,2.76,20.19,16.3,0,0,0,0
B01_SHIELD,B03_SUMMON,H,200,71,113,16,0.395,0.318549,0.457858,0,0.08,1,1,306.81,308.13,0.39,1.09,0,0,0,5.74,5.685,0,2.77,0,20.31,7.26,0,4.37,0,0
B01_SHIELD,B04_DEATH,H,200,78,61,61,0.5425,0.47811,0.640903,0,0.305,2,3,220.755,392.805,0.575,0.355,0,0,0,0,6.15,0,3.295,0,21.25,43.23,0,0,0,0
B01_SHIELD,B05_SPELL,H,200,67,79,54,0.47,0.380164,0.539751,0,0.27,2,2,212.495,270.575,0.475,0.525,0,0,0,0,6.26,3,3.33,0,21.94,0,0,0,0,0
B01_SHIELD,B06_REFRESH,H,200,93,50,57,0.6075,0.569188,0.723645,0,0.285,2,2,217.215,255.355,0.81,0.3,0,0,0,0,6.195,2,3.33,0,21.87,0,0,0,0,0
B02_BREAK,B03_SUMMON,H,200,0,194,6,0.015,0,0.019417,0,0.03,1,1,268.395,275.19,0,1.95,0,0,0,5.685,5.02,0,1.5,0,13.84,7.26,0,4.355,0,0
B02_BREAK,B04_DEATH,H,200,2,172,26,0.075,0.003158,0.040935,0,0.13,2,2,222.87,397.96,0.01,0.965,0,0,0,0,5.495,0,2.37,0,14.9,44.82,0,0,0,0
B02_BREAK,B05_SPELL,H,200,17,143,40,0.185,0.067402,0.163562,0,0.2,2,2,221.46,277.655,0.085,1.1,0,0,0,0,5.395,3,2.355,0,14.72,0,0,0,0,0
B02_BREAK,B06_REFRESH,H,200,5,169,26,0.09,0.012335,0.065495,0,0.13,2,2,224.945,265.14,0.03,1.225,0,0,0,0,5.435,2,2.355,0,14.73,0,0,0,0,0
B03_SUMMON,B04_DEATH,H,200,182,1,17,0.9525,0.969701,0.999035,0,0.085,1,1,323.185,773.015,1.205,0.005,0,0,6.25,0,0,0,0,0,7.81,42.36,5.025,0,0,0
B03_SUMMON,B05_SPELL,H,200,146,10,44,0.84,0.886032,0.964811,0,0.22,1,1,294.295,342.235,1.075,0.06,0,0,6.13,0,0,3,0,0,7.26,0,4.695,0,0,0
B03_SUMMON,B06_REFRESH,H,200,58,0,142,0.645,0.937882,1,0,0.71,1,1,333.84,365.865,0.295,0,0,0,6.16,0,0,2,0,0,7.26,0,4.74,0,0,0
B04_DEATH,B05_SPELL,H,200,141,10,49,0.8275,0.882393,0.963633,0,0.245,2,2,436.255,279.1,0.85,0.05,0,0,0,0,0,3,0,0,41.82,0,0,0,0,0
B04_DEATH,B06_REFRESH,H,200,160,4,36,0.89,0.938973,0.990475,0,0.18,2,2,449.525,269.615,0.94,0.02,0,0,0,0,0,2,0,0,42.4,0,0,0,0,0
B05_SPELL,B06_REFRESH,H,200,5,147,48,0.145,0.014131,0.074687,0,0.24,2,2,273.375,245.87,0.025,0.915,0,0,0,0,3,2,0,0,0,0,0,0,0,0
