buildA,buildB,developmentLevel,battles,aWins,bWins,draws,aScoreRate,aDecisiveWinWilsonLow,aDecisiveWinWilsonHigh,roundLimitRate,mutualEliminationRate,medianRounds,p90Rounds,meanRound1RawDamageA,meanRound1RawDamageB,meanSurvivorsA,meanSurvivorsB,meanSummonFailuresA,meanSummonFailuresB,meanImmediateAttacksA,meanImmediateAttacksB,meanShieldBlocksA,meanShieldBlocksB,meanFurnaceTransfersA,meanFurnaceTransfersB,meanPermanentDeltaA,meanPermanentDeltaB,meanFlourishGainedA,meanFlourishGainedB,effectLimitHits,exceptions
B01_SHIELD,B02_BREAK,N,200,84,66,50,0.545,0.480049,0.636955,0,0.25,2,2,117.515,123.79,0.525,0.39,0,0,0,0,4.905,5.375,1.93,2,9.985,7.29,0,0,0,0
B01_SHIELD,B03_SUMMON,N,200,87,30,83,0.6425,0.657609,0.814083,0,0.415,1,2,158.335,158.255,0.465,0.15,0,0,0,4.175,4.81,0,1.92,0,10.33,3.63,0,2.4,0,0
B01_SHIELD,B04_DEATH,N,200,127,17,56,0.775,0.819069,0.924972,0,0.28,2,2,112.285,196.975,0.895,0.095,0,0,0,0,4.765,0,1.93,0,9.6,21.705,0,0,0,0
B01_SHIELD,B05_SPELL,N,200,122,17,61,0.7625,0.812859,0.922221,0,0.305,2,2,109.205,138.125,0.83,0.105,0,0,0,0,4.82,2,1.935,0,9.985,0,0,0,0,0
B01_SHIELD,B06_REFRESH,N,200,66,66,68,0.5,0.415918,0.584082,0,0.34,2,2,115.775,144.775,0.39,0.4,0,0,0,0,4.885,1,1.93,0,10,0,0,0,0,0
B02_BREAK,B03_SUMMON,N,200,87,30,83,0.6425,0.657609,0.814083,0,0.415,1,2,161.155,169.635,0.475,0.165,0,0,0,4.325,5.125,0,1.5,0,7.15,3.8,0,2.295,0,0
B02_BREAK,B04_DEATH,N,200,56,31,113,0.5625,0.538932,0.736273,0,0.565,2,2,120.54,245.07,0.28,0.155,0,0,0,0,5.02,0,2,0,7,25.12,0,0,0,0
B02_BREAK,B05_SPELL,N,200,56,71,73,0.4625,0.357587,0.52777,0,0.365,2,2,114.845,143.5,0.345,0.465,0,0,0,0,5.13,2,2,0,7.12,0,0,0,0,0
B02_BREAK,B06_REFRESH,N,200,2,162,36,0.1,0.003351,0.043369,0,0.18,2,2,120.225,149.75,0.01,0.95,0,0,0,0,5.055,1,2,0,7,0,0,0,0,0
B03_SUMMON,B04_DEATH,N,200,122,9,69,0.7825,0.874584,0.963437,0,0.345,1,1,152.245,279.82,0.81,0.045,0,0,4.7,0,0,0,0,0,4,21.225,2.51,0,0,0
B03_SUMMON,B05_SPELL,N,200,73,43,84,0.575,0.538593,0.711738,0,0.42,1,1,151.245,177.925,0.38,0.225,0,0,4.1,0,0,2,0,0,3.63,0,2.345,0,0,0
