buildA,buildB,developmentLevel,battles,aWins,bWins,draws,aScoreRate,aDecisiveWinWilsonLow,aDecisiveWinWilsonHigh,roundLimitRate,mutualEliminationRate,medianRounds,p90Rounds,meanRound1RawDamageA,meanRound1RawDamageB,meanSurvivorsA,meanSurvivorsB,meanSummonFailuresA,meanSummonFailuresB,meanImmediateAttacksA,meanImmediateAttacksB,meanShieldBlocksA,meanShieldBlocksB,meanFurnaceTransfersA,meanFurnaceTransfersB,meanPermanentDeltaA,meanPermanentDeltaB,meanFlourishGainedA,meanFlourishGainedB,effectLimitHits,exceptions
B01_SHIELD,B02_BREAK,N,200,109,42,49,0.6675,0.645559,0.787142,0,0.245,2,2,117.595,123.63,0.78,0.255,0,0,0,0,5.355,5.35,1.94,2,10.44,7.28,0,0,0,0
B01_SHIELD,B03_SUMMON,N,200,119,26,55,0.7325,0.750232,0.874594,0,0.275,1,2,156.085,157.055,0.72,0.13,0,0,0,4.205,5.135,0,1.925,0,10.775,3.63,0,2.31,0,0
B01_SHIELD,B04_DEATH,N,200,140,16,44,0.81,0.839891,0.935877,0,0.22,2,2,112.45,199.435,1.095,0.09,0,0,0,0,5.105,0,1.945,0,9.95,21.58,0,0,0,0
B01_SHIELD,B05_SPELL,N,200,128,14,58,0.785,0.841311,0.94036,0,0.29,2,2,109.025,138.965,1.05,0.085,0,0,0,0,5.175,2,1.95,0,10.365,0,0,0,0,0
B01_SHIELD,B06_REFRESH,N,200,94,47,59,0.6175,0.585349,0.739144,0,0.295,2,2,115.785,145.27,0.67,0.27,0,0,0,0,5.27,1,1.945,0,10.395,0,0,0,0,0
B02_BREAK,B03_SUMMON,N,200,87,30,83,0.6425,0.657609,0.814083,0,0.415,1,2,161.155,169.635,0.475,0.165,0,0,0,4.325,5.125,0,1.5,0,7.15,3.8,0,2.295,0,0
B02_BREAK,B04_DEATH,N,200,56,31,113,0.5625,0.538932,0.736273,0,0.565,2,2,120.54,245.07,0.28,0.155,0,0,0,0,5.02,0,2,0,7,25.12,0,0,0,0
B02_BREAK,B05_SPELL,N,200,56,71,73,0.4625,0.357587,0.52777,0,0.365,2,2,114.845,143.5,0.345,0.465,0,0,0,0,5.13,2,2,0,7.12,0,0,0,0,0
B02_BREAK,B06_REFRESH,N,200,2,162,36,0.1,0.003351,0.043369,0,0.18,2,2,120.225,149.75,0.01,0.95,0,0,0,0,5.055,1,2,0,7,0,0,0,0,0
B03_SUMMON,B04_DEATH,N,200,122,9,69,0.7825,0.874584,0.963437,0,0.345,1,1,152.245,279.82,0.81,0.045,0,0,4.7,0,0,0,0,0,4,21.225,2.51,0,0,0
B03_SUMMON,B05_SPELL,N,200,73,43,84,0.575,0.538593,0.711738,0,0.42,1,1,151.245,177.925,0.38,0.225,0,0,4.1,0,0,2,0,0,3.63,0,2.345,0,0,0
B03_SUMMON,B06_REFRESH,N,200,42,61,97,0.4525,0.317843,0.504324,0,0.485,1,1,155.5,182.08,0.23,0.305,0,0,4.1,0,0,1,0,0,3.63,0,2.335,0,0,0
B04_DEATH,B05_SPELL,N,200,54,58,88,0.49,0.39174,0.57373,0,0.44,1,2,215.185,133.04,0.305,0.355,0,0,0,0,0,2,0,0,21.25,0,0,0,0,0
B04_DEATH,B06_REFRESH,N,200,35,82,83,0.3825,0.223642,0.387418,0,0.415,1,2,231.55,139.16,0.18,0.485,0,0,0,0,0,1,0,0,23.885,0,0,0,0,0
B05_SPELL,B06_REFRESH,N,200,20,105,75,0.2875,0.106028,0.234246,0,0.375,2,2,132.99,132.33,0.1,0.595,0,0,0,0,2,1,0,0,0,0,0,0,0,0
B01_SHIELD,B02_BREAK,H,200,68,97,35,0.4275,0.339849,0.488392,0,0.175,2,3,219,224.24,0.525,0.885,0,0,0,0,6.06,6.135,3.325,2.755,20.02,18.12,0,0,0,0
B01_SHIELD,B03_SUMMON,H,200,112,37,51,0.6875,0.676567,0.814138,0,0.255,1,2,328.38,270.955,0.775,0.28,0,0,0,6.19,5.735,0,3.235,0,20.06,7.02,0,3.21,0,0
B01_SHIELD,B04_DEATH,H,200,78,61,61,0.5425,0.47811,0.640903,0,0.305,2,3,220.755,392.805,0.575,0.355,0,0,0,0,6.15,0,3.295,0,21.25,43.23,0,0,0,0
B01_SHIELD,B05_SPELL,H,200,67,79,54,0.47,0.380164,0.539751,0,0.27,2,2,212.495,270.575,0.475,0.525,0,0,0,0,6.26,3,3.33,0,21.94,0,0,0,0,0
B01_SHIELD,B06_REFRESH,H,200,118,39,43,0.6975,0.678537,0.81263,0,0.215,2,2,218.785,270.825,0.985,0.26,0,0,0,0,6.09,1,3.33,0,21.97,0,0,0,0,0
B02_BREAK,B03_SUMMON,H,200,82,48,70,0.585,0.545171,0.708861,0,0.35,1,1,339.695,276.35,0.455,0.255,0,0,0,6.28,5.2,0,1.5,0,15.86,7.26,0,3.31,0,0
B02_BREAK,B04_DEATH,H,200,7,167,26,0.1,0.019622,0.080701,0,0.13,2,2,224.17,400.065,0.035,0.92,0,0,0,0,5.505,0,2.37,0,15.25,45.05,0,0,0,0
B02_BREAK,B05_SPELL,H,200,26,116,58,0.275,0.128126,0.254766,0,0.29,2,2,223.69,276.68,0.145,0.81,0,0,0,0,5.405,3,2.355,0,14.85,0,0,0,0,0
B02_BREAK,B06_REFRESH,H,200,30,102,68,0.32,0.164092,0.305878,0,0.34,2,2,225.44,279.535,0.17,0.52,0,0,0,0,5.48,1,2.355,0,15.03,0,0,0,0,0
B03_SUMMON,B04_DEATH,H,200,19,85,96,0.335,0.120194,0.267796,0,0.48,1,1,292.935,812.625,0.095,0.475,0,0,6.31,0,0,0,0,0,7.81,41.64,3.435,0,0,0
B03_SUMMON,B05_SPELL,H,200,4,105,91,0.2475,0.014362,0.090577,0,0.455,1,1,266.445,375.165,0.02,0.675,0,0,6.16,0,0,3,0,0,7.26,0,3.27,0,0,0
B03_SUMMON,B06_REFRESH,H,200,58,34,108,0.56,0.52843,0.721984,0,0.54,1,1,264.6,385.785,0.315,0.2,0,0,6.16,0,0,1,0,0,7.26,0,3.275,0,0,0
B04_DEATH,B05_SPELL,H,200,141,10,49,0.8275,0.882393,0.963633,0,0.245,2,2,436.255,279.1,0.85,0.05,0,0,0,0,0,3,0,0,41.82,0,0,0,0,0
B04_DEATH,B06_REFRESH,H,200,170,1,29,0.9225,0.967623,0.998967,0,0.145,2,2,457.11,284.635,1.085,0.005,0,0,0,0,0,1,0,0,45.98,0,0,0,0,0
B05_SPELL,B06_REFRESH,H,200,23,85,92,0.345,0.14631,0.299334,0,0.46,2,2,278.72,264.19,0.115,0.47,0,0,0,0,3,1,0,0,0,0,0,0,0,0
