buildA,buildB,developmentLevel,battles,aWins,bWins,draws,aScoreRate,aDecisiveWinWilsonLow,aDecisiveWinWilsonHigh,roundLimitRate,mutualEliminationRate,medianRounds,p90Rounds,meanRound1RawDamageA,meanRound1RawDamageB,meanSurvivorsA,meanSurvivorsB,meanSummonFailuresA,meanSummonFailuresB,meanImmediateAttacksA,meanImmediateAttacksB,meanShieldBlocksA,meanShieldBlocksB,meanFurnaceTransfersA,meanFurnaceTransfersB,meanPermanentDeltaA,meanPermanentDeltaB,meanFlourishGainedA,meanFlourishGainedB,effectLimitHits,exceptions
B01_SHIELD,B02_BREAK,N,200,109,42,49,0.6675,0.645559,0.787142,0,0.245,2,2,117.595,123.63,0.78,0.255,0,0,0,0,5.355,5.35,1.94,2,10.44,7.28,0,0,0,0
B01_SHIELD,B03_SUMMON,N,200,119,26,55,0.7325,0.750232,0.874594,0,0.275,1,2,156.085,157.055,0.72,0.13,0,0,0,4.205,5.135,0,1.925,0,10.775,3.63,0,2.31,0,0
B01_SHIELD,B04_DEATH,N,200,140,16,44,0.81,0.839891,0.935877,0,0.22,2,2,112.45,199.435,1.095,0.09,0,0,0,0,5.105,0,1.945,0,9.95,21.58,0,0,0,0
B01_SHIELD,B05_SPELL,N,200,128,14,58,0.785,0.841311,0.94036,0,0.29,2,2,109.025,138.965,1.05,0.085,0,0,0,0,5.175,2,1.95,0,10.365,0,0,0,0,0
B01_SHIELD,B06_REFRESH,N,200,141,22,37,0.7975,0.804102,0.90915,0,0.185,2,2,114.215,143.12,1.14,0.115,0,0,0,0,5.15,0,1.945,0,10.39,0,0,0,0,0
B02_BREAK,B03_SUMMON,N,200,87,30,83,0.6425,0.657609,0.814083,0,0.415,1,2,161.155,169.635,0.475,0.165,0,0,0,4.325,5.125,0,1.5,0,7.15,3.8,0,2.295,0,0
B02_BREAK,B04_DEATH,N,200,56,31,113,0.5625,0.538932,0.736273,0,0.565,2,2,120.54,245.07,0.28,0.155,0,0,0,0,5.02,0,2,0,7,25.12,0,0,0,0
B02_BREAK,B05_SPELL,N,200,56,71,73,0.4625,0.357587,0.52777,0,0.365,2,2,114.845,143.5,0.345,0.465,0,0,0,0,5.13,2,2,0,7.12,0,0,0,0,0
B02_BREAK,B06_REFRESH,N,200,40,29,131,0.5275,0.462074,0.688939,0,0.655,2,2,119.465,148.24,0.21,0.145,0,0,0,0,5.12,0,2,0,7.05,0,0,0,0,0
B03_SUMMON,B04_DEATH,N,200,122,9,69,0.7825,0.874584,0.963437,0,0.345,1,1,152.245,279.82,0.81,0.045,0,0,4.7,0,0,0,0,0,4,21.225,2.51,0,0,0
B03_SUMMON,B05_SPELL,N,200,73,43,84,0.575,0.538593,0.711738,0,0.42,1,1,151.245,177.925,0.38,0.225,0,0,4.1,0,0,2,0,0,3.63,0,2.345,0,0,0
B03_SUMMON,B06_REFRESH,N,200,139,2,59,0.8425,0.94976,0.996101,0,0.295,1,1,143.875,169.9,0.91,0.01,0,0,4.1,0,0,0,0,0,3.63,0,2.32,0,0,0
B04_DEATH,B05_SPELL,N,200,54,58,88,0.49,0.39174,0.57373,0,0.44,1,2,215.185,133.04,0.305,0.355,0,0,0,0,0,2,0,0,21.25,0,0,0,0,0
B04_DEATH,B06_REFRESH,N,200,95,36,69,0.6475,0.643154,0.794397,0,0.345,1,2,219.565,134.775,0.53,0.195,0,0,0,0,0,0,0,0,23.98,0,0,0,0,0
B05_SPELL,B06_REFRESH,N,200,106,23,71,0.7075,0.746652,0.878153,0,0.355,2,2,128.56,127.55,0.63,0.115,0,0,0,0,2,0,0,0,0,0,0,0,0,0
B01_SHIELD,B02_BREAK,H,200,68,97,35,0.4275,0.339849,0.488392,0,0.175,2,3,219,224.24,0.525,0.885,0,0,0,0,6.06,6.135,3.325,2.755,20.02,18.12,0,0,0,0
B01_SHIELD,B03_SUMMON,H,200,112,37,51,0.6875,0.676567,0.814138,0,0.255,1,2,328.38,270.955,0.775,0.28,0,0,0,6.19,5.735,0,3.235,0,20.06,7.02,0,3.21,0,0
B01_SHIELD,B04_DEATH,H,200,78,61,61,0.5425,0.47811,0.640903,0,0.305,2,3,220.755,392.805,0.575,0.355,0,0,0,0,6.15,0,3.295,0,21.25,43.23,0,0,0,0
B01_SHIELD,B05_SPELL,H,200,67,79,54,0.47,0.380164,0.539751,0,0.27,2,2,212.495,270.575,0.475,0.525,0,0,0,0,6.26,3,3.33,0,21.94,0,0,0,0,0
B01_SHIELD,B06_REFRESH,H,200,153,15,32,0.845,0.857921,0.945145,0,0.16,2,2,214.705,266.525,1.395,0.095,0,0,0,0,5.835,0,3.33,0,21.67,0,0,0,0,0
B02_BREAK,B03_SUMMON,H,200,82,48,70,0.585,0.545171,0.708861,0,0.35,1,1,339.695,276.35,0.455,0.255,0,0,0,6.28,5.2,0,1.5,0,15.86,7.26,0,3.31,0,0
B02_BREAK,B04_DEATH,H,200,7,167,26,0.1,0.019622,0.080701,0,0.13,2,2,224.17,400.065,0.035,0.92,0,0,0,0,5.505,0,2.37,0,15.25,45.05,0,0,0,0
B02_BREAK,B05_SPELL,H,200,26,116,58,0.275,0.128126,0.254766,0,0.29,2,2,223.69,276.68,0.145,0.81,0,0,0,0,5.405,3,2.355,0,14.85,0,0,0,0,0
B02_BREAK,B06_REFRESH,H,200,89,5,106,0.71,0.881464,0.977068,0,0.53,2,2,224.655,278.38,0.49,0.025,0,0,0,0,5.49,0,2.355,0,15.32,0,0,0,0,0
B03_SUMMON,B04_DEATH,H,200,19,85,96,0.335,0.120194,0.267796,0,0.48,1,1,292.935,812.625,0.095,0.475,0,0,6.31,0,0,0,0,0,7.81,41.64,3.435,0,0,0
B03_SUMMON,B05_SPELL,H,200,4,105,91,0.2475,0.014362,0.090577,0,0.455,1,1,266.445,375.165,0.02,0.675,0,0,6.16,0,0,3,0,0,7.26,0,3.27,0,0,0
B03_SUMMON,B06_REFRESH,H,200,164,0,36,0.91,0.977113,1,0,0.18,1,1,239.085,361.005,1.105,0,0,0,6.16,0,0,0,0,0,7.26,0,3.275,0,0,0
B04_DEATH,B05_SPELL,H,200,141,10,49,0.8275,0.882393,0.963633,0,0.245,2,2,436.255,279.1,0.85,0.05,0,0,0,0,0,3,0,0,41.82,0,0,0,0,0
B04_DEATH,B06_REFRESH,H,200,196,0,4,0.99,0.980777,1,0,0.02,1,2,435.1,278.475,1.36,0,0,0,0,0,0,0,0,0,46.12,0,0,0,0,0
B05_SPELL,B06_REFRESH,H,200,83,14,103,0.6725,0.772206,0.912036,0,0.515,2,2,268.45,257.195,0.445,0.07,0,0,0,0,3,0,0,0,0,0,0,0,0,0
