buildA,buildB,developmentLevel,battles,aWins,bWins,draws,aScoreRate,aDecisiveWinWilsonLow,aDecisiveWinWilsonHigh,roundLimitRate,mutualEliminationRate,medianRounds,p90Rounds,meanRound1RawDamageA,meanRound1RawDamageB,meanSurvivorsA,meanSurvivorsB,meanSummonFailuresA,meanSummonFailuresB,meanImmediateAttacksA,meanImmediateAttacksB,meanShieldBlocksA,meanShieldBlocksB,meanFurnaceTransfersA,meanFurnaceTransfersB,meanPermanentDeltaA,meanPermanentDeltaB,meanFlourishGainedA,meanFlourishGainedB,effectLimitHits,exceptions
B01_SHIELD,B02_BREAK,N,2000,1017,535,448,0.6205,0.631281,0.678519,0,0.224,2,3,120.744,122.6005,0.6835,0.32,0,0,0,0,4.933,5.249,1.932,2,9.434,7.1675,0,0,0,0
B01_SHIELD,B03_SUMMON,N,2000,1288,197,515,0.77275,0.849136,0.883648,0,0.2575,1,2,163.1905,164.751,0.735,0.1195,0,0,0,4.168,4.749,0,1.944,0,10.0855,3.725,0,2.222,0,0
B01_SHIELD,B04_DEATH,N,2000,1253,233,514,0.755,0.823834,0.860803,0,0.257,2,2,118.222,213.0475,0.8625,0.1245,0,0,0,0,4.7625,0,1.936,0,9.3605,22.517,0,0,0,0
B01_SHIELD,B05_SPELL,N,2000,1135,418,447,0.67925,0.708235,0.752313,0,0.2235,2,2,109.46,135.293,0.8965,0.285,0,0,0,0,4.7815,2,1.9425,0,9.9745,0,0,0,0,0
B01_SHIELD,B06_REFRESH,N,2000,1017,521,462,0.624,0.637219,0.684474,0,0.231,2,2,116.322,142.8875,0.75,0.342,0,0,0,0,4.741,1,1.9325,0,9.9585,0,0,0,0,0
B02_BREAK,B03_SUMMON,N,2000,827,327,846,0.625,0.689953,0.741885,0,0.423,1,2,161.746,170.084,0.4615,0.1845,0,0,0,4.3265,5.1205,0,1.5,0,7.142,3.8,0,2.325,0,0
B02_BREAK,B04_DEATH,N,2000,598,309,1093,0.57225,0.627859,0.68943,0,0.5465,2,2,121.2865,247.5305,0.3055,0.1555,0,0,0,0,5.022,0,2,0,7,24.8765,0,0,0,0
B02_BREAK,B05_SPELL,N,2000,603,742,655,0.46525,0.421934,0.475015,0,0.3275,2,2,115.005,143.799,0.3675,0.4705,0,0,0,0,5.148,2,2,0,7.126,0,0,0,0,0
B02_BREAK,B06_REFRESH,N,2000,176,1115,709,0.26525,0.118686,0.156128,0,0.3545,2,2,120.374,149.768,0.0885,0.623,0,0,0,0,5.038,1,2,0,7.0005,0,0,0,0,0
B03_SUMMON,B04_DEATH,N,2000,1211,110,679,0.77525,0.900595,0.930448,0,0.3395,1,1,151.549,278.777,0.808,0.055,0,0,4.7285,0,0,0,0,0,4,21.277,2.4285,0,0,0
B03_SUMMON,B05_SPELL,N,2000,700,499,801,0.55025,0.555695,0.61141,0,0.4005,1,1,150.8315,177.3165,0.3795,0.2635,0,0,4.127,0,0,2,0,0,3.602,0,2.2805,0,0,0
B03_SUMMON,B06_REFRESH,N,2000,559,482,959,0.51925,0.506613,0.567082,0,0.4795,1,1,153.655,180.36,0.2995,0.2425,0,0,4.127,0,0,1,0,0,3.602,0,2.2835,0,0,0
B04_DEATH,B05_SPELL,N,2000,555,572,873,0.49575,0.463345,0.521622,0,0.4365,1,2,213.0135,133.6485,0.3015,0.334,0,0,0,0,0,2,0,0,21.528,0,0,0,0,0
