scenarioId,playerFixtureId,enemyFixtureId,developmentLevel,orientation,battles,playerWins,enemyWins,draws,playerScoreRate,roundLimitRate,meanRounds,p90Rounds,meanPlayerRound1RawDamage,meanEnemyRound1RawDamage,meanPlayerSurvivors,meanEnemySurvivors,meanPlayerSummonFailures,meanEnemySummonFailures,meanPlayerShieldBlocks,meanEnemyShieldBlocks,meanPlayerPermanentDelta,meanEnemyPermanentDelta,meanPlayerFlourishGained,meanEnemyFlourishGained,effectLimitHits,exceptions
B01_SHIELD_N__VS__B02_BREAK_N,B01_SHIELD_N,B02_BREAK_N,N,A_PLAYER,1000,550,259,191,0.6455,0,2.068,2,119.203,121.042,0.718,0.315,0,0,4.92,5.156,9.214,7.111,0,0,0,0
B02_BREAK_N__VS__B01_SHIELD_N,B02_BREAK_N,B01_SHIELD_N,N,B_PLAYER,1000,276,467,257,0.4045,0,2.146,3,124.159,122.285,0.325,0.649,0,0,5.342,4.946,7.224,9.654,0,0,0,0
B01_SHIELD_N__VS__B03_SUMMON_N,B01_SHIELD_N,B03_SUMMON_N,N,A_PLAYER,1000,642,95,263,0.7735,0,1.208,2,164.188,165.733,0.727,0.114,0,0,4.785,0,10.022,3.552,0,2.246,0,0
B03_SUMMON_N__VS__B01_SHIELD_N,B03_SUMMON_N,B01_SHIELD_N,N,B_PLAYER,1000,102,646,252,0.228,0,1.257,2,163.769,162.193,0.125,0.743,0,0,0,4.713,3.898,10.149,2.198,0,0,0
B01_SHIELD_N__VS__B04_DEATH_N,B01_SHIELD_N,B04_DEATH_N,N,A_PLAYER,1000,613,127,260,0.743,0,1.902,2,119.369,210.603,0.88,0.131,0,0,4.801,0,9.296,22.357,0,0,0,0
B04_DEATH_N__VS__B01_SHIELD_N,B04_DEATH_N,B01_SHIELD_N,N,B_PLAYER,1000,106,640,254,0.233,0,1.936,2,215.492,117.075,0.118,0.845,0,0,0,4.724,22.677,9.425,0,0,0,0
B01_SHIELD_N__VS__B05_SPELL_N,B01_SHIELD_N,B05_SPELL_N,N,A_PLAYER,1000,580,204,216,0.688,0,1.94,2,110.225,135.774,0.975,0.266,0,0,4.813,2,9.784,0,0,0,0,0
B05_SPELL_N__VS__B01_SHIELD_N,B05_SPELL_N,B01_SHIELD_N,N,B_PLAYER,1000,214,555,231,0.3295,0,1.95,2,134.812,108.695,0.304,0.818,0,0,2,4.75,0,10.165,0,0,0,0
B01_SHIELD_N__VS__B06_REFRESH_N,B01_SHIELD_N,B06_REFRESH_N,N,A_PLAYER,1000,515,255,230,0.63,0,1.843,2,117.989,144.612,0.794,0.324,0,0,4.787,1,9.781,0,0,0,0,0
B06_REFRESH_N__VS__B01_SHIELD_N,B06_REFRESH_N,B01_SHIELD_N,N,B_PLAYER,1000,266,502,232,0.382,0,1.874,2,141.163,114.655,0.36,0.706,0,0,1,4.695,0,10.136,0,0,0,0
B02_BREAK_N__VS__B03_SUMMON_N,B02_BREAK_N,B03_SUMMON_N,N,A_PLAYER,1000,529,97,374,0.716,0,1.178,2,163.785,173.083,0.623,0.098,0,0,5.502,0,7.534,3.6,0,2.378,0,0
B03_SUMMON_N__VS__B02_BREAK_N,B03_SUMMON_N,B02_BREAK_N,N,B_PLAYER,1000,230,298,472,0.466,0,1.15,2,167.085,159.707,0.271,0.3,0,0,0,4.739,4,6.75,2.272,0,0,0
B02_BREAK_N__VS__B04_DEATH_N,B02_BREAK_N,B04_DEATH_N,N,A_PLAYER,1000,277,178,545,0.5495,0,1.942,2,120.152,229.983,0.284,0.179,0,0,5.041,0,7,24.894,0,0,0,0
B04_DEATH_N__VS__B02_BREAK_N,B04_DEATH_N,B02_BREAK_N,N,B_PLAYER,1000,131,321,548,0.405,0,1.836,2,265.078,122.421,0.132,0.327,0,0,0,5.003,24.859,7,0,0,0,0
B02_BREAK_N__VS__B05_SPELL_N,B02_BREAK_N,B05_SPELL_N,N,A_PLAYER,1000,359,316,325,0.5215,0,1.957,2,113.183,141.145,0.454,0.372,0,0,5.197,2,7.154,0,0,0,0,0
B05_SPELL_N__VS__B02_BREAK_N,B05_SPELL_N,B02_BREAK_N,N,B_PLAYER,1000,426,244,330,0.591,0,1.934,2,146.453,116.827,0.569,0.281,0,0,2,5.099,0,7.098,0,0,0,0
B02_BREAK_N__VS__B06_REFRESH_N,B02_BREAK_N,B06_REFRESH_N,N,A_PLAYER,1000,127,476,397,0.3255,0,1.992,2,120.121,149.172,0.128,0.527,0,0,5.069,1,7.001,0,0,0,0,0
B06_REFRESH_N__VS__B02_BREAK_N,B06_REFRESH_N,B02_BREAK_N,N,B_PLAYER,1000,639,49,312,0.795,0,2,2,150.364,120.627,0.719,0.049,0,0,1,5.007,0,7,0,0,0,0
B03_SUMMON_N__VS__B04_DEATH_N,B03_SUMMON_N,B04_DEATH_N,N,A_PLAYER,1000,586,51,363,0.7675,0,1.003,1,151.099,270.494,0.794,0.051,0,0,0,0,4,20.772,2.42,0,0,0
B04_DEATH_N__VS__B03_SUMMON_N,B04_DEATH_N,B03_SUMMON_N,N,B_PLAYER,1000,59,625,316,0.217,0,1.006,1,287.06,151.999,0.059,0.822,0,0,0,0,21.782,4,0,2.437,0,0
B03_SUMMON_N__VS__B05_SPELL_N,B03_SUMMON_N,B05_SPELL_N,N,A_PLAYER,1000,373,209,418,0.582,0,1.05,1,151.943,176.466,0.404,0.217,0,0,0,2,4,0,2.305,0,0,0
B05_SPELL_N__VS__B03_SUMMON_N,B05_SPELL_N,B03_SUMMON_N,N,B_PLAYER,1000,290,327,383,0.4815,0,1.066,1,178.167,149.72,0.31,0.355,0,0,2,0,0,3.204,0,2.256,0,0
B03_SUMMON_N__VS__B06_REFRESH_N,B03_SUMMON_N,B06_REFRESH_N,N,A_PLAYER,1000,270,214,516,0.528,0,1.033,1,155.091,179.872,0.296,0.214,0,0,0,1,4,0,2.321,0,0,0
B06_REFRESH_N__VS__B03_SUMMON_N,B06_REFRESH_N,B03_SUMMON_N,N,B_PLAYER,1000,268,289,443,0.4895,0,1.046,1,180.848,152.219,0.271,0.303,0,0,1,0,0,3.204,0,2.246,0,0
B04_DEATH_N__VS__B05_SPELL_N,B04_DEATH_N,B05_SPELL_N,N,A_PLAYER,1000,304,246,450,0.529,0,1.434,2,214.756,132.771,0.331,0.291,0,0,0,2,22.983,0,0,0,0,0
