scenarioId,playerFixtureId,enemyFixtureId,developmentLevel,orientation,battles,playerWins,enemyWins,draws,playerScoreRate,roundLimitRate,meanRounds,p90Rounds,meanPlayerRound1RawDamage,meanEnemyRound1RawDamage,meanPlayerSurvivors,meanEnemySurvivors,meanPlayerSummonFailures,meanEnemySummonFailures,meanPlayerShieldBlocks,meanEnemyShieldBlocks,meanPlayerPermanentDelta,meanEnemyPermanentDelta,meanPlayerFlourishGained,meanEnemyFlourishGained,effectLimitHits,exceptions
B01_SHIELD_N__VS__B02_BREAK_N,B01_SHIELD_N,B02_BREAK_N,N,A_PLAYER,100,53,30,17,0.615,0,2.09,2,117.66,121.06,0.68,0.34,0,0,4.83,5.17,9.05,7.11,0,0,0,0
B02_BREAK_N__VS__B01_SHIELD_N,B02_BREAK_N,B01_SHIELD_N,N,B_PLAYER,100,29,44,27,0.425,0,2.13,3,123.67,121.36,0.38,0.68,0,0,5.3,4.85,7.24,9.71,0,0,0,0
B01_SHIELD_N__VS__B03_SUMMON_N,B01_SHIELD_N,B03_SUMMON_N,N,A_PLAYER,100,64,5,31,0.795,0,1.19,2,163.6,165.21,0.76,0.05,0,0,4.83,0,9.95,3.54,0,2.34,0,0
B03_SUMMON_N__VS__B01_SHIELD_N,B03_SUMMON_N,B01_SHIELD_N,N,B_PLAYER,100,7,63,30,0.22,0,1.31,2,161.91,160.09,0.1,0.75,0,0,0,4.62,3.92,9.94,2.24,0,0,0
B01_SHIELD_N__VS__B04_DEATH_N,B01_SHIELD_N,B04_DEATH_N,N,A_PLAYER,100,62,10,28,0.76,0,1.86,2,120.24,209.61,0.86,0.1,0,0,4.75,0,9.14,22.42,0,0,0,0
B04_DEATH_N__VS__B01_SHIELD_N,B04_DEATH_N,B01_SHIELD_N,N,B_PLAYER,100,9,61,30,0.24,0,1.91,2,215.78,118.48,0.09,0.81,0,0,0,4.74,22.78,9.4,0,0,0,0
B01_SHIELD_N__VS__B05_SPELL_N,B01_SHIELD_N,B05_SPELL_N,N,A_PLAYER,100,53,21,26,0.66,0,1.92,2,109.23,135.15,0.92,0.29,0,0,4.88,2,9.86,0,0,0,0,0
B05_SPELL_N__VS__B01_SHIELD_N,B05_SPELL_N,B01_SHIELD_N,N,B_PLAYER,100,15,60,25,0.275,0,1.97,2,134.86,110.01,0.24,0.83,0,0,2,4.71,0,9.99,0,0,0,0
B01_SHIELD_N__VS__B06_REFRESH_N,B01_SHIELD_N,B06_REFRESH_N,N,A_PLAYER,100,54,26,20,0.64,0,1.87,2,116.51,144.17,0.83,0.33,0,0,4.89,1,9.87,0,0,0,0,0
B06_REFRESH_N__VS__B01_SHIELD_N,B06_REFRESH_N,B01_SHIELD_N,N,B_PLAYER,100,28,49,23,0.395,0,1.85,2,143.16,117.76,0.42,0.65,0,0,1,4.67,0,10.03,0,0,0,0
B02_BREAK_N__VS__B03_SUMMON_N,B02_BREAK_N,B03_SUMMON_N,N,A_PLAYER,100,54,7,39,0.735,0,1.22,2,163.38,173,0.62,0.07,0,0,5.52,0,7.55,3.6,0,2.31,0,0
B03_SUMMON_N__VS__B02_BREAK_N,B03_SUMMON_N,B02_BREAK_N,N,B_PLAYER,100,23,33,44,0.45,0,1.22,2,166.27,158.93,0.26,0.33,0,0,0,4.73,4,6.75,2.28,0,0,0
B02_BREAK_N__VS__B04_DEATH_N,B02_BREAK_N,B04_DEATH_N,N,A_PLAYER,100,29,17,54,0.56,0,1.89,2,119.34,226.18,0.29,0.17,0,0,5.04,0,7,25.02,0,0,0,0
B04_DEATH_N__VS__B02_BREAK_N,B04_DEATH_N,B02_BREAK_N,N,B_PLAYER,100,14,27,59,0.435,0,1.86,2,263.96,121.74,0.14,0.27,0,0,0,5,25.22,7,0,0,0,0
B02_BREAK_N__VS__B05_SPELL_N,B02_BREAK_N,B05_SPELL_N,N,A_PLAYER,100,33,34,33,0.495,0,1.93,2,113.67,141.91,0.42,0.4,0,0,5.15,2,7.14,0,0,0,0,0
B05_SPELL_N__VS__B02_BREAK_N,B05_SPELL_N,B02_BREAK_N,N,B_PLAYER,100,37,23,40,0.57,0,1.96,2,145.09,116.02,0.53,0.27,0,0,2,5.11,0,7.1,0,0,0,0
B02_BREAK_N__VS__B06_REFRESH_N,B02_BREAK_N,B06_REFRESH_N,N,A_PLAYER,100,14,45,41,0.345,0,2,2,119.38,148.29,0.14,0.52,0,0,5.07,1,7,0,0,0,0,0
