buildA,buildB,developmentLevel,battles,aWins,bWins,draws,aScoreRate,aDecisiveWinWilsonLow,aDecisiveWinWilsonHigh,roundLimitRate,mutualEliminationRate,medianRounds,p90Rounds,meanRound1RawDamageA,meanRound1RawDamageB,meanSurvivorsA,meanSurvivorsB,meanSummonFailuresA,meanSummonFailuresB,meanImmediateAttacksA,meanImmediateAttacksB,meanShieldBlocksA,meanShieldBlocksB,meanFurnaceTransfersA,meanFurnaceTransfersB,meanPermanentDeltaA,meanPermanentDeltaB,meanFlourishGainedA,meanFlourishGainedB,effectLimitHits,exceptions
B01_SHIELD,B02_BREAK,N,200,97,59,44,0.595,0.543633,0.694103,0,0.22,2,3,119.51,122.365,0.68,0.36,0,0,0,0,4.84,5.235,1.9,2,9.38,7.175,0,0,0,0
B01_SHIELD,B03_SUMMON,N,200,127,12,61,0.7875,0.855162,0.949926,0,0.305,1,2,161.845,163.56,0.755,0.075,0,0,0,4.195,4.725,0,1.92,0,9.945,3.73,0,2.29,0,0
B01_SHIELD,B04_DEATH,N,200,123,19,58,0.76,0.800464,0.912639,0,0.29,2,2,119.36,212.695,0.835,0.095,0,0,0,0,4.745,0,1.94,0,9.27,22.64,0,0,0,0
B01_SHIELD,B05_SPELL,N,200,113,36,51,0.6925,0.683722,0.820068,0,0.255,2,2,109.62,135.005,0.875,0.265,0,0,0,0,4.795,2,1.935,0,9.925,0,0,0,0,0
B01_SHIELD,B06_REFRESH,N,200,103,54,43,0.6225,0.578818,0.72583,0,0.215,2,2,117.135,143.665,0.74,0.375,0,0,0,0,4.78,1,1.935,0,9.95,0,0,0,0,0
B02_BREAK,B03_SUMMON,N,200,87,30,83,0.6425,0.657609,0.814083,0,0.415,1,2,161.155,169.635,0.475,0.165,0,0,0,4.325,5.125,0,1.5,0,7.15,3.8,0,2.295,0,0
B02_BREAK,B04_DEATH,N,200,56,31,113,0.5625,0.538932,0.736273,0,0.565,2,2,120.54,245.07,0.28,0.155,0,0,0,0,5.02,0,2,0,7,25.2,0,0,0,0
B02_BREAK,B05_SPELL,N,200,56,71,73,0.4625,0.357587,0.52777,0,0.365,2,2,114.845,143.5,0.345,0.465,0,0,0,0,5.13,2,2,0,7.12,0,0,0,0,0
B02_BREAK,B06_REFRESH,N,200,21,110,69,0.2775,0.107305,0.23266,0,0.345,2,2,119.775,149.3,0.105,0.63,0,0,0,0,5.045,1,2,0,7,0,0,0,0,0
B03_SUMMON,B04_DEATH,N,200,122,9,69,0.7825,0.874584,0.963437,0,0.345,1,1,152.245,279.82,0.81,0.045,0,0,4.7,0,0,0,0,0,4,21.235,2.51,0,0,0
