buildA,buildB,developmentLevel,battles,aWins,bWins,draws,aScoreRate,aDecisiveWinWilsonLow,aDecisiveWinWilsonHigh,roundLimitRate,mutualEliminationRate,medianRounds,p90Rounds,meanRound1RawDamageA,meanRound1RawDamageB,meanSurvivorsA,meanSurvivorsB,meanSummonFailuresA,meanSummonFailuresB,meanImmediateAttacksA,meanImmediateAttacksB,meanShieldBlocksA,meanShieldBlocksB,meanFurnaceTransfersA,meanFurnaceTransfersB,meanPermanentDeltaA,meanPermanentDeltaB,meanFlourishGainedA,meanFlourishGainedB,effectLimitHits,exceptions
B01_SHIELD,B02_BREAK,N,200,0,199,1,0.0025,0,0.018938,0,0.005,2,2,90.175,106.585,0,2.775,0,0,0,0,3.975,5.29,1.975,2,2,7,0,0,0,0
B01_SHIELD,B03_SUMMON,N,200,132,35,33,0.7425,0.722509,0.845269,0,0.165,1,2,117.845,83.69,1.1,0.195,0,0,0,4.34,3.965,0,1.985,0,2,3.76,0,2.84,0,0
B01_SHIELD,B04_DEATH,N,200,61,72,67,0.4725,0.376312,0.543303,0,0.335,2,2,87.115,146.345,0.355,0.385,0,0,0,0,3.975,0,1.975,0,2,23.61,0,0,0,0
B01_SHIELD,B05_SPELL,N,200,0,200,0,0,0,0.018845,0,0,2,2,88.715,118.87,0,2.15,0,0,0,0,3.965,2,1.965,0,2,0,0,0,0,0
B01_SHIELD,B06_REFRESH,N,200,2,189,9,0.0325,0.002876,0.037369,0,0.045,2,2,92.2,104.9,0.01,1.74,0,0,0,0,3.96,3,1.96,0,2,0,0,0,0,0
B02_BREAK,B03_SUMMON,N,200,200,0,0,1,0.981155,1,0,0,1,1,131.23,74.95,3.215,0,0,0,0,4.745,4.735,0,1.5,0,7,3.61,0,2.55,0,0
B02_BREAK,B04_DEATH,N,200,200,0,0,1,0.981155,1,0,0,2,2,98.885,147.885,2.605,0,0,0,0,0,5.16,0,2,0,7,22.8,0,0,0,0
B02_BREAK,B05_SPELL,N,200,145,11,44,0.835,0.878157,0.960174,0,0.22,2,2,103.145,115.455,1.085,0.055,0,0,0,0,5.25,2,2,0,7,0,0,0,0,0
B02_BREAK,B06_REFRESH,N,200,183,7,10,0.94,0.925917,0.982041,0,0.05,2,2,114.16,107.975,2.055,0.035,0,0,0,0,5.345,3,2,0,7,0,0,0,0,0
B03_SUMMON,B04_DEATH,N,200,10,171,19,0.0975,0.030283,0.0987,0,0.095,1,1,77.14,167.045,0.05,1.465,0,0,3.86,0,0,0,0,0,3.63,21.74,2.685,0,0,0
B03_SUMMON,B05_SPELL,N,200,0,200,0,0,0,0.018845,0,0,1,1,70.425,142.495,0,3.345,0,0,4.745,0,0,2,0,0,3.61,0,2.495,0,0,0
B03_SUMMON,B06_REFRESH,N,200,0,200,0,0,0,0.018845,0,0,1,1,77.695,133.05,0,2.885,0,0,4.745,0,0,2.925,0,0,3.61,0,2.56,0,0,0
B04_DEATH,B05_SPELL,N,200,2,172,26,0.075,0.003158,0.040935,0,0.13,1,2,149.92,109.11,0.01,1.4,0,0,0,0,0,2,0,0,23.22,0,0,0,0,0
B04_DEATH,B06_REFRESH,N,200,0,183,17,0.0425,0,0.02056,0,0.085,1,2,152.725,94.2,0,1.555,0,0,0,0,0,2.93,0,0,22.25,0,0,0,0,0
B05_SPELL,B06_REFRESH,N,200,111,19,70,0.73,0.782987,0.904394,0,0.35,2,2,120.95,98.45,0.62,0.095,0,0,0,0,2,3,0,0,0,0,0,0,0,0
B01_SHIELD,B02_BREAK,H,200,1,192,7,0.0225,0.000915,0.028761,0,0.035,2,2,151.115,160.035,0.005,2.34,0,0,0,0,5.61,6.02,3.61,2.75,3,9.975,0,0,0,0
B01_SHIELD,B03_SUMMON,H,200,151,22,27,0.8225,0.814967,0.9145,0,0.135,1,2,193.245,147.06,1.2,0.155,0,0,0,4.7,5.765,0,3.8,0,3,7.86,0,2.965,0,0
B01_SHIELD,B04_DEATH,H,200,86,66,48,0.55,0.486332,0.642003,0,0.24,2,2,144.26,217.49,0.64,0.355,0,0,0,0,5.46,0,3.555,0,3,44.31,0,0,0,0
