buildA,buildB,developmentLevel,battles,aWins,bWins,draws,aScoreRate,aDecisiveWinWilsonLow,aDecisiveWinWilsonHigh,roundLimitRate,mutualEliminationRate,medianRounds,p90Rounds,meanRound1RawDamageA,meanRound1RawDamageB,meanSurvivorsA,meanSurvivorsB,meanSummonFailuresA,meanSummonFailuresB,meanImmediateAttacksA,meanImmediateAttacksB,meanShieldBlocksA,meanShieldBlocksB,meanFurnaceTransfersA,meanFurnaceTransfersB,meanPermanentDeltaA,meanPermanentDeltaB,meanFlourishGainedA,meanFlourishGainedB,effectLimitHits,exceptions
B01_SHIELD,B03_SUMMON,N,200,92,68,40,0.56,0.497527,0.648957,0,0.2,1,2,115.91,89.35,0.695,0.445,0,0,0,4.285,3.905,0,1.915,0,2,3.76,0,0,0,0
B02_BREAK,B03_SUMMON,N,200,200,0,0,1,0.981155,1,0,0,1,1,133.815,80.95,3.03,0,0,0,0,4.745,4.94,0,1.5,0,7,3.61,0,0,0,0
B03_SUMMON,B04_DEATH,N,200,20,152,28,0.17,0.076546,0.172778,0,0.14,1,1,82.67,169.905,0.12,1.105,0,0,3.87,0,0,0,0,0,3.63,21.39,0,0,0,0
B03_SUMMON,B05_SPELL,N,200,0,200,0,0,0,0.018845,0,0,1,1,76.53,142.51,0,2.98,0,0,4.745,0,0,2,0,0,3.61,0,0,0,0,0
B03_SUMMON,B06_REFRESH,N,200,0,200,0,0,0,0.018845,0,0,1,1,83.765,132.825,0,2.555,0,0,4.745,0,0,2.93,0,0,3.61,0,0,0,0,0
B01_SHIELD,B03_SUMMON,H,200,74,98,28,0.44,0.358562,0.504952,0,0.14,1,1,180.025,174.34,0.525,0.93,0,0,0,4.71,5.615,0,3.625,0,3,7.86,0,0,0,0
B02_BREAK,B03_SUMMON,H,200,195,1,4,0.985,0.971671,0.999099,0,0.02,1,1,210.19,158.52,2.475,0.005,0,0,0,3.395,6.985,0,3.565,0,9.88,6.04,0,0,0,0
B03_SUMMON,B04_DEATH,H,200,84,94,22,0.475,0.399943,0.545064,0,0.11,1,2,154.83,328.99,0.735,0.7,0,0,3.29,0,0,0,0,0,6.44,36.88,0,0,0,0
B03_SUMMON,B05_SPELL,H,200,33,120,47,0.2825,0.157906,0.287394,0,0.235,1,1,176.365,249.355,0.19,1.175,0,0,4.745,0,0,2,0,0,7.19,0,0,0,0,0
B03_SUMMON,B06_REFRESH,H,200,3,181,16,0.055,0.00556,0.046832,0,0.08,1,1,181.02,207.995,0.015,1.995,0,0,4.745,0,0,4.975,0,0,7.19,0,0,0,0,0
