scenarioId,playerFixtureId,enemyFixtureId,developmentLevel,orientation,battles,playerWins,enemyWins,draws,playerScoreRate,roundLimitRate,meanRounds,p90Rounds,meanPlayerRound1RawDamage,meanEnemyRound1RawDamage,meanPlayerSurvivors,meanEnemySurvivors,meanPlayerSummonFailures,meanEnemySummonFailures,meanPlayerShieldBlocks,meanEnemyShieldBlocks,meanPlayerPermanentDelta,meanEnemyPermanentDelta,effectLimitHits,exceptions
B01_SHIELD_N__VS__B03_SUMMON_N,B01_SHIELD_N,B03_SUMMON_N,N,A_PLAYER,100,48,31,21,0.585,0,1.25,2,117.33,89.87,0.72,0.38,0,0,3.99,0,2,3.66,0,0
B03_SUMMON_N__VS__B01_SHIELD_N,B03_SUMMON_N,B01_SHIELD_N,N,B_PLAYER,100,37,44,19,0.465,0,1.26,2,88.83,114.49,0.51,0.67,0,0,0,3.82,3.86,2,0,0
B02_BREAK_N__VS__B03_SUMMON_N,B02_BREAK_N,B03_SUMMON_N,N,A_PLAYER,100,100,0,0,1,0,1.01,1,132.72,78.47,3.22,0,0,0,5.23,0,7,3.22,0,0
B03_SUMMON_N__VS__B02_BREAK_N,B03_SUMMON_N,B02_BREAK_N,N,B_PLAYER,100,0,100,0,0,0,1.01,1,83.43,134.91,0,2.84,0,0,0,4.65,4,7,0,0
B03_SUMMON_N__VS__B04_DEATH_N,B03_SUMMON_N,B04_DEATH_N,N,A_PLAYER,100,12,74,14,0.19,0,1.08,1,82.54,165.7,0.15,1.14,0,0,0,0,3.76,21.02,0,0
B04_DEATH_N__VS__B03_SUMMON_N,B04_DEATH_N,B03_SUMMON_N,N,B_PLAYER,100,78,8,14,0.85,0,1.12,2,174.11,82.8,1.07,0.09,0,0,0,0,21.76,3.5,0,0
B03_SUMMON_N__VS__B05_SPELL_N,B03_SUMMON_N,B05_SPELL_N,N,A_PLAYER,100,0,100,0,0,0,1,1,79.56,142.6,0,2.9,0,0,0,2,4,0,0,0
B05_SPELL_N__VS__B03_SUMMON_N,B05_SPELL_N,B03_SUMMON_N,N,B_PLAYER,100,100,0,0,1,0,1,1,142.42,73.5,3.06,0,0,0,2,0,0,3.22,0,0
B03_SUMMON_N__VS__B06_REFRESH_N,B03_SUMMON_N,B06_REFRESH_N,N,A_PLAYER,100,0,100,0,0,0,1.03,1,86.03,132.65,0,2.5,0,0,0,2.94,4,0,0,0
B06_REFRESH_N__VS__B03_SUMMON_N,B06_REFRESH_N,B03_SUMMON_N,N,B_PLAYER,100,100,0,0,1,0,1.08,1,133,81.5,2.61,0,0,0,2.92,0,0,3.22,0,0
B01_SHIELD_H__VS__B03_SUMMON_H,B01_SHIELD_H,B03_SUMMON_H,H,A_PLAYER,100,35,55,10,0.4,0,1.07,1,180.97,175.85,0.53,1.03,0,0,5.76,0,3,7.88,0,0
B03_SUMMON_H__VS__B01_SHIELD_H,B03_SUMMON_H,B01_SHIELD_H,H,B_PLAYER,100,43,39,18,0.52,0,1.11,2,172.83,179.08,0.83,0.52,0,0,0,5.47,7.84,3,0,0
B02_BREAK_H__VS__B03_SUMMON_H,B02_BREAK_H,B03_SUMMON_H,H,A_PLAYER,100,99,0,1,0.995,0,1.03,1,204.09,159.59,2.38,0,0,0,7.07,0,9.89,5.68,0,0
B03_SUMMON_H__VS__B02_BREAK_H,B03_SUMMON_H,B02_BREAK_H,H,B_PLAYER,100,1,96,3,0.025,0,1,1,157.45,216.29,0.01,2.57,0,0,0,6.9,6.4,9.87,0,0
B03_SUMMON_H__VS__B04_DEATH_H,B03_SUMMON_H,B04_DEATH_H,H,A_PLAYER,100,45,47,8,0.49,0,1.32,2,153.54,322.98,0.81,0.69,0,0,0,0,6.32,36.8,0,0
B04_DEATH_H__VS__B03_SUMMON_H,B04_DEATH_H,B03_SUMMON_H,H,B_PLAYER,100,47,39,14,0.54,0,1.27,2,335,156.12,0.71,0.66,0,0,0,0,36.96,6.56,0,0
B03_SUMMON_H__VS__B05_SPELL_H,B03_SUMMON_H,B05_SPELL_H,H,A_PLAYER,100,13,57,30,0.28,0,1,1,187.77,250.06,0.15,0.8,0,0,0,2,8,0,0,0
B05_SPELL_H__VS__B03_SUMMON_H,B05_SPELL_H,B03_SUMMON_H,H,B_PLAYER,100,63,20,17,0.715,0,1,1,248.65,164.96,1.55,0.23,0,0,2,0,0,6.38,0,0
B03_SUMMON_H__VS__B06_REFRESH_H,B03_SUMMON_H,B06_REFRESH_H,H,A_PLAYER,100,1,91,8,0.05,0,1,1,192.41,207.91,0.01,1.74,0,0,0,5,8,0,0,0
B06_REFRESH_H__VS__B03_SUMMON_H,B06_REFRESH_H,B03_SUMMON_H,H,B_PLAYER,100,90,2,8,0.94,0,1,1,208.08,169.63,2.25,0.02,0,0,4.95,0,0,6.38,0,0
B03_SUMMON_N__VS__D00_OUTPUT_DUMMY,B03_SUMMON_N,D00_OUTPUT_DUMMY,N,OUTPUT_DUMMY,100,0,0,100,0.5,1,30,30,74.15,0,5,4.62,0,0,0,0,0,0,0,0
B03_SUMMON_N__VS__D01_MECHANIC_PRESSURE_N,B03_SUMMON_N,D01_MECHANIC_PRESSURE_N,N,MECHANIC_PRESSURE,100,0,100,0,0,0,1.08,1,92.34,103.36,0,5,0,0,0,0,3.6,0,0,0
B03_SUMMON_H__VS__D00_OUTPUT_DUMMY,B03_SUMMON_H,D00_OUTPUT_DUMMY,H,OUTPUT_DUMMY,100,100,0,0,1,0,24.12,25,108.93,0,5,0,0,0,0,0,0,0,0,0
B03_SUMMON_H__VS__D01_MECHANIC_PRESSURE_H,B03_SUMMON_H,D01_MECHANIC_PRESSURE_H,H,MECHANIC_PRESSURE,100,0,100,0,0,0,1,1,209.38,176,0,5,0,0,0,0,8,0,0,0
