buildA,buildB,developmentLevel,battles,aWins,bWins,draws,aScoreRate,aDecisiveWinWilsonLow,aDecisiveWinWilsonHigh,roundLimitRate,mutualEliminationRate,medianRounds,p90Rounds,meanRound1RawDamageA,meanRound1RawDamageB,meanSurvivorsA,meanSurvivorsB,meanSummonFailuresA,meanSummonFailuresB,meanImmediateAttacksA,meanImmediateAttacksB,meanShieldBlocksA,meanShieldBlocksB,meanFurnaceTransfersA,meanFurnaceTransfersB,meanPermanentDeltaA,meanPermanentDeltaB,meanFlourishGainedA,meanFlourishGainedB,effectLimitHits,exceptions
B01_SHIELD,B02_BREAK,N,200,6,177,17,0.0725,0.015111,0.069674,0,0.085,2,2,98.455,79.555,0.03,1.63,0,0,0,0,3.985,5.34,1.985,2,3.945,2,0,0,0,0
B01_SHIELD,B03_SUMMON,N,200,5,177,18,0.07,0.01179,0.062689,0,0.09,1,1,113.915,120.915,0.025,1.395,0,0,0,4.2,3.905,0,1.905,0,3.885,3.48,0,3.99,0,0
B01_SHIELD,B04_DEATH,N,200,121,21,58,0.75,0.784483,0.901193,0,0.29,2,2,90.71,140.53,0.77,0.11,0,0,0,0,3.95,0,1.985,0,3.94,21.15,0,0,0,0
B01_SHIELD,B05_SPELL,N,200,1,179,20,0.055,0.000981,0.030793,0,0.1,2,2,94.7,119.005,0.005,1.44,0,0,0,0,3.98,2,1.98,0,3.925,0,0,0,0,0
B01_SHIELD,B06_REFRESH,N,200,89,46,65,0.6075,0.575893,0.733813,0,0.325,2,2,93.74,100.025,0.56,0.24,0,0,0,0,3.975,1,1.98,0,3.935,0,0,0,0,0
B02_BREAK,B03_SUMMON,N,200,24,115,61,0.2725,0.118862,0.244068,0,0.305,1,2,105.845,134.465,0.155,0.72,0,0,0,3.215,5.375,0,2,0,2,3.51,0,4.285,0,0
B02_BREAK,B04_DEATH,N,200,146,10,44,0.84,0.886032,0.964811,0,0.22,2,2,80.53,127.81,1.145,0.05,0,0,0,0,5.115,0,2,0,2,21.49,0,0,0,0
B02_BREAK,B05_SPELL,N,200,0,200,0,0,0,0.018845,0,0,2,2,79.755,120.865,0,2.235,0,0,0,0,5.025,2,2,0,2,0,0,0,0,0
B02_BREAK,B06_REFRESH,N,200,168,2,30,0.915,0.958125,0.996768,0,0.15,2,2,82.775,107.5,1.175,0.01,0,0,0,0,5.14,1,2,0,2,0,0,0,0,0
B03_SUMMON,B04_DEATH,N,200,190,1,9,0.9725,0.970944,0.999075,0,0.045,1,1,108.53,163.445,1.615,0.005,0,0,3.99,0,0,0,0,0,3.67,24.07,4.18,0,0,0
B03_SUMMON,B05_SPELL,N,200,0,178,22,0.055,0,0.021125,0,0.11,1,1,121.49,142.485,0,1.32,0,0,4.745,0,0,2,0,0,3.61,0,4.135,0,0,0
B03_SUMMON,B06_REFRESH,N,200,140,11,49,0.8225,0.874271,0.958839,0,0.245,1,1,121.215,119.925,0.94,0.055,0,0,4.74,0,0,1,0,0,3.61,0,4.31,0,0,0
B04_DEATH,B05_SPELL,N,200,2,172,26,0.075,0.003158,0.040935,0,0.13,1,2,149.92,109.11,0.01,1.4,0,0,0,0,0,2,0,0,23.22,0,0,0,0,0
B04_DEATH,B06_REFRESH,N,200,31,82,87,0.3725,0.200514,0.362997,0,0.435,2,2,146.51,91.725,0.16,0.53,0,0,0,0,0,1,0,0,22.28,0,0,0,0,0
B05_SPELL,B06_REFRESH,N,200,200,0,0,1,0.981155,1,0,0,2,2,115.465,94.825,1.915,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
B01_SHIELD,B02_BREAK,H,200,86,90,24,0.49,0.415822,0.561936,0,0.12,2,3,191.615,131.065,0.645,0.67,0,0,0,0,5.765,6.325,3.79,2.75,11.47,4,0,0,0,0
B01_SHIELD,B03_SUMMON,H,200,27,141,32,0.215,0.112866,0.223732,0,0.16,1,1,213.68,215.1,0.195,1.225,0,0,0,4.7,5.49,0,3.525,0,10.73,7.2,0,3.99,0,0
B01_SHIELD,B04_DEATH,H,200,170,14,16,0.89,0.876349,0.954138,0,0.08,2,2,177.465,266,1.49,0.07,0,0,0,0,5.005,0,3.475,0,10.37,43.54,0,0,0,0
B01_SHIELD,B05_SPELL,H,200,39,100,61,0.3475,0.212563,0.360391,0,0.305,2,2,182.995,208.3,0.21,0.76,0,0,0,0,5.345,2,3.355,0,9.94,0,0,0,0,0
B01_SHIELD,B06_REFRESH,H,200,117,42,41,0.6875,0.662342,0.798229,0,0.205,2,2,182.3,170.325,0.755,0.26,0,0,0,0,5.295,2,3.37,0,10.13,0,0,0,0,0
B02_BREAK,B03_SUMMON,H,200,70,107,23,0.4075,0.326402,0.468998,0,0.115,1,2,168.75,241.695,0.57,0.825,0,0,0,3.51,7.195,0,3.58,0,4,6.42,0,3.385,0,0
