buildA,buildB,developmentLevel,battles,aWins,bWins,draws,aScoreRate,aDecisiveWinWilsonLow,aDecisiveWinWilsonHigh,roundLimitRate,mutualEliminationRate,medianRounds,p90Rounds,meanRound1RawDamageA,meanRound1RawDamageB,meanSurvivorsA,meanSurvivorsB,meanSummonFailuresA,meanSummonFailuresB,meanImmediateAttacksA,meanImmediateAttacksB,meanShieldBlocksA,meanShieldBlocksB,meanFurnaceTransfersA,meanFurnaceTransfersB,meanPermanentDeltaA,meanPermanentDeltaB,meanFlourishGainedA,meanFlourishGainedB,effectLimitHits,exceptions
B01_SHIELD,B02_BREAK,N,200,109,53,38,0.64,0.597317,0.740355,0,0.19,2,3,113.67,99.85,0.845,0.32,0,0,0,0,5.19,5.35,1.93,2,9.485,5,0,0,0,0
B01_SHIELD,B03_SUMMON,N,200,38,84,78,0.385,0.236115,0.398346,0,0.39,1,2,149.965,195.18,0.19,0.665,0,0,0,3.785,5.115,0,1.855,0,10.195,3.3,0,3.475,0,0
B01_SHIELD,B04_DEATH,N,200,139,20,41,0.7975,0.813695,0.917077,0,0.205,2,2,114.2,197.29,1.125,0.115,0,0,0,0,4.86,0,1.93,0,9.16,18.365,0,0,0,0
B01_SHIELD,B05_SPELL,N,200,155,6,39,0.8725,0.921089,0.98281,0,0.195,2,2,107.655,116.7,1.16,0.035,0,0,0,0,4.655,2,1.915,0,8.32,0,0,0,0,0
B01_SHIELD,B06_REFRESH,N,200,149,10,41,0.8475,0.888109,0.965482,0,0.205,2,2,111.225,115.86,1.085,0.05,0,0,0,0,4.645,1,1.92,0,8.27,0,0,0,0,0
B02_BREAK,B03_SUMMON,N,200,2,178,20,0.06,0.003052,0.039601,0,0.1,1,2,122.53,193.11,0.01,1.455,0,0,0,3.455,5.34,0,2,0,5,3.44,0,3.025,0,0
B02_BREAK,B04_DEATH,N,200,41,76,83,0.4125,0.269984,0.44038,0,0.415,2,2,102.16,187.52,0.25,0.415,0,0,0,0,5.17,0,2,0,5,19.185,0,0,0,0
B02_BREAK,B05_SPELL,N,200,33,109,58,0.31,0.170534,0.308352,0,0.29,2,2,101.165,125.7,0.18,0.695,0,0,0,0,5.1,2,2,0,5,0,0,0,0,0
B02_BREAK,B06_REFRESH,N,200,72,52,76,0.55,0.49265,0.663794,0,0.38,2,2,100.14,118.74,0.39,0.27,0,0,0,0,5.155,1,2,0,5,0,0,0,0,0
B03_SUMMON,B04_DEATH,N,200,200,0,0,1,0.981155,1,0,0,1,1,151.87,231.455,2.53,0,0,0,3.52,0,0,0,0,0,3.71,18.9,3.225,0,0,0
