aggregate_id,source,map_id,map_name,floor,node_id,node_type,combat_index,route_tag,event_id,event_name,encounter_id,encounter_name,threat_rating,development_level,scenario_count,battles,player_wins,enemy_wins,draws,player_win_rate,player_score_rate,win_ci95_low,win_ci95_high,build_score_spread,weakest_build_id,strongest_build_id,average_rounds,p90_rounds,round_limit_count,round_limit_rate,effect_limit_hits,exceptions,average_player_survivors,average_enemy_survivors,enemy_cleave_hits_per_battle,enemy_summon_attempts_per_battle,enemy_summon_successes_per_battle,enemy_shields_granted_per_battle,enemy_shield_blocks_per_battle,enemy_furnace_transfers_per_battle,enemy_flourish_gained_per_battle
Map:map_wilderness:f1_opening_normal:f1_opening_encounter:H,Map,map_wilderness,荒野,1,f1_opening_normal,Normal,1,,,,f1_opening_encounter,幼灵初啼,1,H,6,600,600,0,0,1,1,0.993638,1,0,B01_SHIELD,B06_REFRESH,1,1,0,0,0,0,5,0,0,1,1,0,0,0,0
Map:map_wilderness:f1_opening_normal:f1_opening_encounter:N,Map,map_wilderness,荒野,1,f1_opening_normal,Normal,1,,,,f1_opening_encounter,幼灵初啼,1,N,6,600,600,0,0,1,1,0.993638,1,0,B01_SHIELD,B06_REFRESH,1,1,0,0,0,0,5,0,0,1,1,0,0,0,0
Map:map_wilderness:f1_early_summon:f1_early_summon_encounter:H,Map,map_wilderness,荒野,1,f1_early_summon,Normal,2,,,,f1_early_summon_encounter,幼灵巡游者,1,H,6,600,600,0,0,1,1,0.993638,1,0,B01_SHIELD,B06_REFRESH,1,1,0,0,0,0,5,0,0,2,2,0,0,0,0
Map:map_wilderness:f1_early_summon:f1_early_summon_encounter:N,Map,map_wilderness,荒野,1,f1_early_summon,Normal,2,,,,f1_early_summon_encounter,幼灵巡游者,1,N,6,600,600,0,0,1,1,0.993638,1,0,B01_SHIELD,B06_REFRESH,1,1,0,0,0,0,4.998333,0,0,2,2,0,0,0,0
Map:map_wilderness:f1_safe_normal:f1_safe_normal_encounter:H,Map,map_wilderness,荒野,1,f1_safe_normal,Normal,2,,,,f1_safe_normal_encounter,苔痕幼群,1,H,6,600,600,0,0,1,1,0.993638,1,0,B01_SHIELD,B06_REFRESH,1,1,0,0,0,0,5,0,0,1,1,0,0,0,0
Map:map_wilderness:f1_safe_normal:f1_safe_normal_encounter:N,Map,map_wilderness,荒野,1,f1_safe_normal,Normal,2,,,,f1_safe_normal_encounter,苔痕幼群,1,N,6,600,600,0,0,1,1,0.993638,1,0,B01_SHIELD,B06_REFRESH,1,1,0,0,0,0,5,0,0,1,1,0,0,0,0
Map:map_wilderness:f1_mid_mechanic:f1_mid_mechanic_encounter:H,Map,map_wilderness,荒野,1,f1_mid_mechanic,Normal,3,,,,f1_mid_mechanic_encounter,盘根育巢,2,H,6,600,600,0,0,1,1,0.993638,1,0,B01_SHIELD,B06_REFRESH,1,1,0,0,0,0,5,0,0,2,2,0,0,0,0
Map:map_wilderness:f1_mid_mechanic:f1_mid_mechanic_encounter:N,Map,map_wilderness,荒野,1,f1_mid_mechanic,Normal,3,,,,f1_mid_mechanic_encounter,盘根育巢,2,N,6,600,600,0,0,1,1,0.993638,1,0,B01_SHIELD,B06_REFRESH,1,1,0,0,0,0,4.923333,0,0,2,2,0,0,0,0
Map:map_wilderness:f1_route_normal:f1_route_normal_encounter:H,Map,map_wilderness,荒野,1,f1_route_normal,Normal,4,Adventure,,,f1_route_normal_encounter,狐影繁生队,3,H,6,600,600,0,0,1,1,0.993638,1,0,B01_SHIELD,B06_REFRESH,1,1,0,0,0,0,4.995,0,0,2,2,0,0,0,0
Map:map_wilderness:f1_route_normal:f1_route_normal_encounter:N,Map,map_wilderness,荒野,1,f1_route_normal,Normal,4,Adventure,,,f1_route_normal_encounter,狐影繁生队,3,N,6,600,600,0,0,1,1,0.993638,1,0,B01_SHIELD,B06_REFRESH,1,1,0,0,0,0,4.881667,0,0,2,2,0,0,0,0
