scenario_id,source,map_id,map_name,floor,node_id,node_type,combat_index,route_tag,event_id,event_name,encounter_id,encounter_name,threat_rating,build_id,development_level,battles,player_wins,enemy_wins,draws,player_win_rate,player_score_rate,win_ci95_low,win_ci95_high,average_rounds,p90_rounds,round_limit_count,effect_limit_hits,exceptions,average_player_survivors,average_enemy_survivors,enemy_cleave_hits_per_battle,enemy_summon_attempts_per_battle,enemy_summon_successes_per_battle,enemy_shields_granted_per_battle,enemy_shield_blocks_per_battle,enemy_furnace_transfers_per_battle,enemy_flourish_gained_per_battle
Map:map_wilderness:f1_opening_normal:f1_opening_encounter:B01_SHIELD_N,Map,map_wilderness,荒野,1,f1_opening_normal,Normal,1,,,,f1_opening_encounter,幼灵初啼,1,B01_SHIELD,N,100,100,0,0,1,1,0.963007,1,1,1,0,0,0,5,0,0,1,1,0,0,0,0
Map:map_wilderness:f1_opening_normal:f1_opening_encounter:B02_BREAK_N,Map,map_wilderness,荒野,1,f1_opening_normal,Normal,1,,,,f1_opening_encounter,幼灵初啼,1,B02_BREAK,N,100,100,0,0,1,1,0.963007,1,1,1,0,0,0,5,0,0,1,1,0,0,0,0
Map:map_wilderness:f1_opening_normal:f1_opening_encounter:B03_SUMMON_N,Map,map_wilderness,荒野,1,f1_opening_normal,Normal,1,,,,f1_opening_encounter,幼灵初啼,1,B03_SUMMON,N,100,100,0,0,1,1,0.963007,1,1,1,0,0,0,5,0,0,1,1,0,0,0,0
Map:map_wilderness:f1_opening_normal:f1_opening_encounter:B04_DEATH_N,Map,map_wilderness,荒野,1,f1_opening_normal,Normal,1,,,,f1_opening_encounter,幼灵初啼,1,B04_DEATH,N,100,100,0,0,1,1,0.963007,1,1,1,0,0,0,5,0,0,1,1,0,0,0,0
Map:map_wilderness:f1_opening_normal:f1_opening_encounter:B05_SPELL_N,Map,map_wilderness,荒野,1,f1_opening_normal,Normal,1,,,,f1_opening_encounter,幼灵初啼,1,B05_SPELL,N,100,100,0,0,1,1,0.963007,1,1,1,0,0,0,5,0,0,1,1,0,0,0,0
Map:map_wilderness:f1_opening_normal:f1_opening_encounter:B06_REFRESH_N,Map,map_wilderness,荒野,1,f1_opening_normal,Normal,1,,,,f1_opening_encounter,幼灵初啼,1,B06_REFRESH,N,100,100,0,0,1,1,0.963007,1,1,1,0,0,0,5,0,0,1,1,0,0,0,0
Map:map_wilderness:f1_opening_normal:f1_opening_encounter:B01_SHIELD_H,Map,map_wilderness,荒野,1,f1_opening_normal,Normal,1,,,,f1_opening_encounter,幼灵初啼,1,B01_SHIELD,H,100,100,0,0,1,1,0.963007,1,1,1,0,0,0,5,0,0,1,1,0,0,0,0
Map:map_wilderness:f1_opening_normal:f1_opening_encounter:B02_BREAK_H,Map,map_wilderness,荒野,1,f1_opening_normal,Normal,1,,,,f1_opening_encounter,幼灵初啼,1,B02_BREAK,H,100,100,0,0,1,1,0.963007,1,1,1,0,0,0,5,0,0,1,1,0,0,0,0
Map:map_wilderness:f1_opening_normal:f1_opening_encounter:B03_SUMMON_H,Map,map_wilderness,荒野,1,f1_opening_normal,Normal,1,,,,f1_opening_encounter,幼灵初啼,1,B03_SUMMON,H,100,100,0,0,1,1,0.963007,1,1,1,0,0,0,5,0,0,1,1,0,0,0,0
Map:map_wilderness:f1_opening_normal:f1_opening_encounter:B04_DEATH_H,Map,map_wilderness,荒野,1,f1_opening_normal,Normal,1,,,,f1_opening_encounter,幼灵初啼,1,B04_DEATH,H,100,100,0,0,1,1,0.963007,1,1,1,0,0,0,5,0,0,1,1,0,0,0,0
