scope_type,scope_id,floor,development_level,encounter_count,battles,player_wins,enemy_wins,draws,player_win_rate,player_score_rate,win_ci95_low,win_ci95_high,average_rounds,round_limit_count,effect_limit_hits,exceptions
Boss,f1_c6_boss_encounter,1,H,1,600,600,0,0,1,1,0.993638,1,1.001667,0,0,0
C4Route,Adventure,1,H,1,600,600,0,0,1,1,0.993638,1,1,0,0,0
C4Route,Aggressive,1,H,1,600,600,0,0,1,1,0.993638,1,1,0,0,0
C4Route,Conservative,1,H,1,600,600,0,0,1,1,0.993638,1,1,0,0,0
ChapterMap,F1,1,H,10,6000,6000,0,0,1,1,0.99936,1,1.000167,0,0,0
ChapterOfficial,F1,1,H,11,6600,6600,0,0,1,1,0.999418,1,1.000152,0,0,0
Event,f1_c4_event_ambush_encounter,1,H,1,600,600,0,0,1,1,0.993638,1,1,0,0,0
Boss,f1_c6_boss_encounter,1,N,1,600,600,0,0,1,1,0.993638,1,1.083333,0,0,0
C4Route,Adventure,1,N,1,600,600,0,0,1,1,0.993638,1,1,0,0,0
C4Route,Aggressive,1,N,1,600,600,0,0,1,1,0.993638,1,1,0,0,0
C4Route,Conservative,1,N,1,600,600,0,0,1,1,0.993638,1,1,0,0,0
ChapterMap,F1,1,N,10,6000,6000,0,0,1,1,0.99936,1,1.0085,0,0,0
ChapterOfficial,F1,1,N,11,6600,6600,0,0,1,1,0.999418,1,1.007727,0,0,0
Event,f1_c4_event_ambush_encounter,1,N,1,600,600,0,0,1,1,0.993638,1,1,0,0,0
Boss,f2_c6_boss_encounter,2,H,1,600,600,0,0,1,1,0.993638,1,1.136667,0,0,0
C4Route,Adventure,2,H,1,600,600,0,0,1,1,0.993638,1,1,0,0,0
C4Route,Aggressive,2,H,1,600,600,0,0,1,1,0.993638,1,1.028333,0,0,0
C4Route,Conservative,2,H,1,600,600,0,0,1,1,0.993638,1,1,0,0,0
ChapterMap,F2,2,H,10,6000,6000,0,0,1,1,0.99936,1,1.040333,0,0,0
ChapterOfficial,F2,2,H,11,6600,6600,0,0,1,1,0.999418,1,1.036667,0,0,0
Event,f2_c4_event_ambush_encounter,2,H,1,600,600,0,0,1,1,0.993638,1,1,0,0,0
Boss,f2_c6_boss_encounter,2,N,1,600,565,10,25,0.941667,0.9625,0.919953,0.957761,1.41,0,0,0
C4Route,Adventure,2,N,1,600,600,0,0,1,1,0.993638,1,1.006667,0,0,0
C4Route,Aggressive,2,N,1,600,600,0,0,1,1,0.993638,1,1.073333,0,0,0
C4Route,Conservative,2,N,1,600,600,0,0,1,1,0.993638,1,1.058333,0,0,0
ChapterMap,F2,2,N,10,6000,5965,10,25,0.994167,0.99625,0.991898,0.995803,1.095,0,0,0
ChapterOfficial,F2,2,N,11,6600,6565,10,25,0.994697,0.996591,0.992634,0.996184,1.088636,0,0,0
Event,f2_c4_event_ambush_encounter,2,N,1,600,600,0,0,1,1,0.993638,1,1.025,0,0,0
Boss,f3_c6_boss_encounter,3,H,1,600,1,593,6,0.001667,0.006667,0.000294,0.00938,1.658333,0,0,0
C4Route,Adventure,3,H,1,600,166,326,108,0.276667,0.366667,0.242378,0.313796,2.113333,0,0,0
C4Route,Aggressive,3,H,1,600,302,201,97,0.503333,0.584167,0.463433,0.543191,1.941667,0,0,0
C4Route,Conservative,3,H,1,600,371,139,90,0.618333,0.693333,0.578826,0.656335,2.048333,0,0,0
ChapterMap,F3,3,H,10,6000,2797,2479,724,0.466167,0.5265,0.45357,0.478807,1.987167,0,0,0
ChapterOfficial,F3,3,H,11,6600,2954,2812,834,0.447576,0.510758,0.435613,0.459599,1.997727,0,0,0
Event,f3_c4_event_ambush_encounter,3,H,1,600,157,333,110,0.261667,0.353333,0.228092,0.298274,2.103333,0,0,0
Boss,f3_c6_boss_encounter,3,N,1,600,0,600,0,0,0,0,0.006362,1.025,0,0,0
C4Route,Adventure,3,N,1,600,0,600,0,0,0,0,0.006362,1.411667,0,0,0
C4Route,Aggressive,3,N,1,600,0,600,0,0,0,0,0.006362,1.315,0,0,0
C4Route,Conservative,3,N,1,600,0,600,0,0,0,0,0.006362,1.515,0,0,0
ChapterMap,F3,3,N,10,6000,3,5974,23,0.0005,0.002417,0.00017,0.001469,1.4705,0,0,0
ChapterOfficial,F3,3,N,11,6600,3,6574,23,0.000455,0.002197,0.000155,0.001336,1.464545,0,0,0
Event,f3_c4_event_ambush_encounter,3,N,1,600,0,600,0,0,0,0,0.006362,1.405,0,0,0
