aggregate_id,source,map_id,map_name,floor,node_id,node_type,combat_index,route_tag,event_id,event_name,encounter_id,encounter_name,threat_rating,development_level,scenario_count,battles,player_wins,enemy_wins,draws,player_win_rate,player_score_rate,win_ci95_low,win_ci95_high,build_score_spread,weakest_build_id,strongest_build_id,average_rounds,p90_rounds,round_limit_count,round_limit_rate,effect_limit_hits,exceptions,average_player_survivors,average_enemy_survivors,enemy_cleave_hits_per_battle,enemy_summon_attempts_per_battle,enemy_summon_successes_per_battle,enemy_shields_granted_per_battle,enemy_shield_blocks_per_battle,enemy_furnace_transfers_per_battle,enemy_flourish_gained_per_battle
Map:map_wilderness:f1_opening_normal:f1_opening_encounter:C2,Map,map_wilderness,荒野,1,f1_opening_normal,Normal,1,,,,f1_opening_encounter,幼灵初啼,1,C2,6,600,600,0,0,1,1,0.993638,1,0,B01_SHIELD,B06_REFRESH,1,1,0,0,0,0,1.583333,0,0,1,1,0,0,0,0
Map:map_wilderness:f1_early_summon:f1_early_summon_encounter:C2,Map,map_wilderness,荒野,1,f1_early_summon,Normal,2,,,,f1_early_summon_encounter,幼灵巡游者,1,C2,6,600,9,569,22,0.015,0.033333,0.007911,0.02826,0.2,B01_SHIELD,B04_DEATH,1.193333,2,0,0,0,0,0.015,1.921667,0,1.72,1.72,0,0,0,0
Map:map_wilderness:f1_safe_normal:f1_safe_normal_encounter:C2,Map,map_wilderness,荒野,1,f1_safe_normal,Normal,2,,,,f1_safe_normal_encounter,苔痕幼群,1,C2,6,600,75,398,127,0.125,0.230833,0.1009,0.153872,0.73,B03_SUMMON,B04_DEATH,1.415,2,0,0,0,0,0.125,0.851667,0,0.94,0.94,0,0,0,0
Map:map_wilderness:f1_mid_mechanic:f1_mid_mechanic_encounter:C4,Map,map_wilderness,荒野,1,f1_mid_mechanic,Normal,3,,,,f1_mid_mechanic_encounter,盘根育巢,2,C4,6,600,326,168,106,0.543333,0.631667,0.503327,0.582789,1,B01_SHIELD,B04_DEATH,1.715,2,0,0,0,0,0.783333,0.328333,0,2,2,0,0,0,0
Map:map_wilderness:f1_route_normal:f1_route_normal_encounter:C4,Map,map_wilderness,荒野,1,f1_route_normal,Normal,4,Adventure,,,f1_route_normal_encounter,狐影繁生队,3,C4,6,600,50,462,88,0.083333,0.156667,0.063781,0.108187,0.73,B01_SHIELD,B04_DEATH,1.471667,2,0,0,0,0,0.101667,1.35,0,1.993333,1.993333,0,0,0,0
Map:map_wilderness:f1_elite_wall:f1_c4_elite_encounter:C4,Map,map_wilderness,荒野,1,f1_elite_wall,Elite,4,Aggressive,,,f1_c4_elite_encounter,百根围猎队,4,C4,6,600,4,566,30,0.006667,0.031667,0.002596,0.017015,0.19,B01_SHIELD,B04_DEATH,1.356667,2,0,0,0,0,0.008333,1.811667,0,1.516667,1.516667,0,0,0,0
Map:map_wilderness:f1_route_safe:f1_route_safe_encounter:C4,Map,map_wilderness,荒野,1,f1_route_safe,Normal,4,Conservative,,,f1_route_safe_encounter,盘根守林队,2,C4,6,600,206,286,108,0.343333,0.433333,0.306445,0.382215,0.935,B01_SHIELD,B04_DEATH,1.775,2,0,0,0,0,0.473333,0.788333,0,0.94,0.94,0,0,0,0
Event:map_wilderness:roadside_ambush_f1:f1_c4_event_ambush_encounter:C4,Event,map_wilderness,荒野,1,roadside_ambush_f1,EventCombat,4,Event,roadside_ambush_f1,荒径伏击,f1_c4_event_ambush_encounter,盘根伏猎群,3,C4,6,600,101,342,157,0.168333,0.299167,0.140526,0.200361,0.86,B01_SHIELD,B04_DEATH,1.648333,2,0,0,0,0,0.203333,0.85,0,0.913333,0.913333,0,0,0,0
Map:map_wilderness:f1_late_shield:f1_c5_shield_encounter:C5,Map,map_wilderness,荒野,1,f1_late_shield,Normal,5,,,,f1_c5_shield_encounter,迅羽踏潮,3,C5,6,600,361,165,74,0.601667,0.663333,0.561968,0.640072,0.885,B03_SUMMON,B04_DEATH,1.18,2,0,0,0,0,1.225,0.441667,0,3.946667,3.946667,0,0,0,0.998333
Map:map_wilderness:f1_late_summon:f1_c5_summon_encounter:C5,Map,map_wilderness,荒野,1,f1_late_summon,Normal,5,,,,f1_c5_summon_encounter,狐巢回响,3,C5,6,600,525,43,32,0.875,0.901667,0.846128,0.8991,0.435,B03_SUMMON,B06_REFRESH,1.29,2,0,0,0,0,2.341667,0.091667,0,4.97,4.97,0,0,0,0
