scenario_id,source,map_id,map_name,floor,node_id,node_type,combat_index,route_tag,event_id,event_name,encounter_id,encounter_name,threat_rating,build_id,development_level,battles,player_wins,enemy_wins,draws,player_win_rate,player_score_rate,win_ci95_low,win_ci95_high,average_rounds,p90_rounds,round_limit_count,effect_limit_hits,exceptions,average_player_survivors,average_enemy_survivors,enemy_cleave_hits_per_battle,enemy_summon_attempts_per_battle,enemy_summon_successes_per_battle,enemy_shields_granted_per_battle,enemy_shield_blocks_per_battle,enemy_furnace_transfers_per_battle,enemy_flourish_gained_per_battle
Map:map_wilderness:f1_opening_normal:f1_opening_encounter:B01_SHIELD_F1_C2,Map,map_wilderness,荒野,1,f1_opening_normal,Normal,1,,,,f1_opening_encounter,幼灵初啼,1,B01_SHIELD,C2,100,100,0,0,1,1,0.963007,1,1,1,0,0,0,2,0,0,1,1,0,0,0,0
Map:map_wilderness:f1_opening_normal:f1_opening_encounter:B02_BREAK_F1_C2,Map,map_wilderness,荒野,1,f1_opening_normal,Normal,1,,,,f1_opening_encounter,幼灵初啼,1,B02_BREAK,C2,100,100,0,0,1,1,0.963007,1,1,1,0,0,0,1.5,0,0,1,1,0,0,0,0
Map:map_wilderness:f1_opening_normal:f1_opening_encounter:B03_SUMMON_F1_C2,Map,map_wilderness,荒野,1,f1_opening_normal,Normal,1,,,,f1_opening_encounter,幼灵初啼,1,B03_SUMMON,C2,100,100,0,0,1,1,0.963007,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0
Map:map_wilderness:f1_opening_normal:f1_opening_encounter:B04_DEATH_F1_C2,Map,map_wilderness,荒野,1,f1_opening_normal,Normal,1,,,,f1_opening_encounter,幼灵初啼,1,B04_DEATH,C2,100,100,0,0,1,1,0.963007,1,1,1,0,0,0,2,0,0,1,1,0,0,0,0
Map:map_wilderness:f1_opening_normal:f1_opening_encounter:B05_SPELL_F1_C2,Map,map_wilderness,荒野,1,f1_opening_normal,Normal,1,,,,f1_opening_encounter,幼灵初啼,1,B05_SPELL,C2,100,100,0,0,1,1,0.963007,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0
Map:map_wilderness:f1_opening_normal:f1_opening_encounter:B06_REFRESH_F1_C2,Map,map_wilderness,荒野,1,f1_opening_normal,Normal,1,,,,f1_opening_encounter,幼灵初啼,1,B06_REFRESH,C2,100,100,0,0,1,1,0.963007,1,1,1,0,0,0,2,0,0,1,1,0,0,0,0
Map:map_wilderness:f1_early_summon:f1_early_summon_encounter:B01_SHIELD_F1_C2,Map,map_wilderness,荒野,1,f1_early_summon,Normal,2,,,,f1_early_summon_encounter,幼灵巡游者,1,B01_SHIELD,C2,100,0,100,0,0,0,0,0.036993,1.26,2,0,0,0,0,1.92,0,1.72,1.72,0,0,0,0
Map:map_wilderness:f1_early_summon:f1_early_summon_encounter:B02_BREAK_F1_C2,Map,map_wilderness,荒野,1,f1_early_summon,Normal,2,,,,f1_early_summon_encounter,幼灵巡游者,1,B02_BREAK,C2,100,0,100,0,0,0,0,0.036993,1,1,0,0,0,0,1.27,0,2,2,0,0,0,0
Map:map_wilderness:f1_early_summon:f1_early_summon_encounter:B03_SUMMON_F1_C2,Map,map_wilderness,荒野,1,f1_early_summon,Normal,2,,,,f1_early_summon_encounter,幼灵巡游者,1,B03_SUMMON,C2,100,0,100,0,0,0,0,0.036993,1,1,0,0,0,0,2.94,0,1.66,1.66,0,0,0,0
Map:map_wilderness:f1_early_summon:f1_early_summon_encounter:B04_DEATH_F1_C2,Map,map_wilderness,荒野,1,f1_early_summon,Normal,2,,,,f1_early_summon_encounter,幼灵巡游者,1,B04_DEATH,C2,100,9,69,22,0.09,0.2,0.048073,0.162262,1.53,2,0,0,0,0.09,0.95,0,2,2,0,0,0,0
Map:map_wilderness:f1_early_summon:f1_early_summon_encounter:B05_SPELL_F1_C2,Map,map_wilderness,荒野,1,f1_early_summon,Normal,2,,,,f1_early_summon_encounter,幼灵巡游者,1,B05_SPELL,C2,100,0,100,0,0,0,0,0.036993,1.37,2,0,0,0,0,1.95,0,1.94,1.94,0,0,0,0
Map:map_wilderness:f1_early_summon:f1_early_summon_encounter:B06_REFRESH_F1_C2,Map,map_wilderness,荒野,1,f1_early_summon,Normal,2,,,,f1_early_summon_encounter,幼灵巡游者,1,B06_REFRESH,C2,100,0,100,0,0,0,0,0.036993,1,1,0,0,0,0,2.5,0,1,1,0,0,0,0
Map:map_wilderness:f1_safe_normal:f1_safe_normal_encounter:B01_SHIELD_F1_C2,Map,map_wilderness,荒野,1,f1_safe_normal,Normal,2,,,,f1_safe_normal_encounter,苔痕幼群,1,B01_SHIELD,C2,100,10,90,0,0.1,0.1,0.055229,0.174366,1.9,2,0,0,0,0.1,0.9,0,1,1,0,0,0,0
Map:map_wilderness:f1_safe_normal:f1_safe_normal_encounter:B02_BREAK_F1_C2,Map,map_wilderness,荒野,1,f1_safe_normal,Normal,2,,,,f1_safe_normal_encounter,苔痕幼群,1,B02_BREAK,C2,100,0,23,77,0,0.385,0,0.036993,1.25,2,0,0,0,0,0.23,0,1,1,0,0,0,0
Map:map_wilderness:f1_safe_normal:f1_safe_normal_encounter:B03_SUMMON_F1_C2,Map,map_wilderness,荒野,1,f1_safe_normal,Normal,2,,,,f1_safe_normal_encounter,苔痕幼群,1,B03_SUMMON,C2,100,0,100,0,0,0,0,0.036993,1,1,0,0,0,0,1.81,0,0.64,0.64,0,0,0,0
Map:map_wilderness:f1_safe_normal:f1_safe_normal_encounter:B04_DEATH_F1_C2,Map,map_wilderness,荒野,1,f1_safe_normal,Normal,2,,,,f1_safe_normal_encounter,苔痕幼群,1,B04_DEATH,C2,100,65,19,16,0.65,0.73,0.552544,0.736358,1.85,3,0,0,0,0.65,0.19,0,1,1,0,0,0,0
Map:map_wilderness:f1_safe_normal:f1_safe_normal_encounter:B05_SPELL_F1_C2,Map,map_wilderness,荒野,1,f1_safe_normal,Normal,2,,,,f1_safe_normal_encounter,苔痕幼群,1,B05_SPELL,C2,100,0,66,34,0,0.17,0,0.036993,1.35,2,0,0,0,0,0.77,0,1,1,0,0,0,0
Map:map_wilderness:f1_safe_normal:f1_safe_normal_encounter:B06_REFRESH_F1_C2,Map,map_wilderness,荒野,1,f1_safe_normal,Normal,2,,,,f1_safe_normal_encounter,苔痕幼群,1,B06_REFRESH,C2,100,0,100,0,0,0,0,0.036993,1.14,2,0,0,0,0,1.21,0,1,1,0,0,0,0
Map:map_wilderness:f1_mid_mechanic:f1_mid_mechanic_encounter:B01_SHIELD_F1_C4,Map,map_wilderness,荒野,1,f1_mid_mechanic,Normal,3,,,,f1_mid_mechanic_encounter,盘根育巢,2,B01_SHIELD,C4,100,0,100,0,0,0,0,0.036993,2,2,0,0,0,0,1,0,2,2,0,0,0,0
Map:map_wilderness:f1_mid_mechanic:f1_mid_mechanic_encounter:B02_BREAK_F1_C4,Map,map_wilderness,荒野,1,f1_mid_mechanic,Normal,3,,,,f1_mid_mechanic_encounter,盘根育巢,2,B02_BREAK,C4,100,76,24,0,0.76,0.76,0.667677,0.833087,2,2,0,0,0,1.09,0.48,0,2,2,0,0,0,0
Map:map_wilderness:f1_mid_mechanic:f1_mid_mechanic_encounter:B03_SUMMON_F1_C4,Map,map_wilderness,荒野,1,f1_mid_mechanic,Normal,3,,,,f1_mid_mechanic_encounter,盘根育巢,2,B03_SUMMON,C4,100,28,23,49,0.28,0.525,0.201397,0.37488,1.36,2,0,0,0,0.46,0.28,0,2,2,0,0,0,0
