scope_type,scope_id,floor,development_level,encounter_count,battles,player_wins,enemy_wins,draws,player_win_rate,player_score_rate,win_ci95_low,win_ci95_high,average_rounds,round_limit_count,effect_limit_hits,exceptions
ChapterMap,F1,1,C2,3,1800,684,967,149,0.38,0.421389,0.357855,0.402656,1.202778,0,0,0
ChapterOfficial,F1,1,C2,3,1800,684,967,149,0.38,0.421389,0.357855,0.402656,1.202778,0,0,0
C4Route,Adventure,1,C4,1,600,50,462,88,0.083333,0.156667,0.063781,0.108187,1.471667,0,0,0
C4Route,Aggressive,1,C4,1,600,4,566,30,0.006667,0.031667,0.002596,0.017015,1.356667,0,0,0
C4Route,Conservative,1,C4,1,600,206,286,108,0.343333,0.433333,0.306445,0.382215,1.775,0,0,0
ChapterMap,F1,1,C4,4,2400,586,1482,332,0.244167,0.313333,0.227397,0.261754,1.579583,0,0,0
ChapterOfficial,F1,1,C4,5,3000,687,1824,489,0.229,0.3105,0.214316,0.244377,1.593333,0,0,0
Event,f1_c4_event_ambush_encounter,1,C4,1,600,101,342,157,0.168333,0.299167,0.140526,0.200361,1.648333,0,0,0
Boss,f1_c6_boss_encounter,1,C5,1,600,15,564,21,0.025,0.0425,0.015208,0.040836,1.488333,0,0,0
ChapterMap,F1,1,C5,3,1800,901,772,127,0.500556,0.535833,0.477481,0.523628,1.319444,0,0,0
ChapterOfficial,F1,1,C5,3,1800,901,772,127,0.500556,0.535833,0.477481,0.523628,1.319444,0,0,0
ChapterMap,F2,2,C2,3,1800,1564,145,91,0.868889,0.894167,0.852508,0.883699,1.215556,0,0,0
ChapterOfficial,F2,2,C2,3,1800,1564,145,91,0.868889,0.894167,0.852508,0.883699,1.215556,0,0,0
C4Route,Adventure,2,C4,1,600,589,0,11,0.981667,0.990833,0.967472,0.989733,1.185,0,0,0
C4Route,Aggressive,2,C4,1,600,471,63,66,0.785,0.84,0.750369,0.816004,1.303333,0,0,0
C4Route,Conservative,2,C4,1,600,598,0,2,0.996667,0.998333,0.987929,0.999085,1.241667,0,0,0
ChapterMap,F2,2,C4,4,2400,2253,64,83,0.93875,0.956042,0.928438,0.94766,1.247083,0,0,0
ChapterOfficial,F2,2,C4,5,3000,2848,64,88,0.949333,0.964,0.940895,0.956623,1.235,0,0,0
Event,f2_c4_event_ambush_encounter,2,C4,1,600,595,0,5,0.991667,0.995833,0.980642,0.996435,1.186667,0,0,0
Boss,f2_c6_boss_encounter,2,C5,1,600,162,311,127,0.27,0.375833,0.236023,0.306904,1.405,0,0,0
ChapterMap,F2,2,C5,3,1800,1334,314,152,0.741111,0.783333,0.720377,0.760818,1.332778,0,0,0
ChapterOfficial,F2,2,C5,3,1800,1334,314,152,0.741111,0.783333,0.720377,0.760818,1.332778,0,0,0
ChapterMap,F3,3,C2,3,1800,3,1774,23,0.001667,0.008056,0.000567,0.004889,1.79,0,0,0
ChapterOfficial,F3,3,C2,3,1800,3,1774,23,0.001667,0.008056,0.000567,0.004889,1.79,0,0,0
C4Route,Adventure,3,C4,1,600,0,596,4,0,0.003333,0,0.006362,1.785,0,0,0
C4Route,Aggressive,3,C4,1,600,0,600,0,0,0,0,0.006362,1.608333,0,0,0
C4Route,Conservative,3,C4,1,600,19,518,63,0.031667,0.084167,0.020365,0.048927,1.855,0,0,0
ChapterMap,F3,3,C4,4,2400,25,2293,82,0.010417,0.0275,0.007066,0.015332,1.777917,0,0,0
ChapterOfficial,F3,3,C4,5,3000,25,2893,82,0.008333,0.022,0.005651,0.012273,1.767,0,0,0
Event,f3_c4_event_ambush_encounter,3,C4,1,600,0,600,0,0,0,0,0.006362,1.723333,0,0,0
Boss,f3_c6_boss_encounter,3,C5,1,600,0,600,0,0,0,0,0.006362,1.288333,0,0,0
ChapterMap,F3,3,C5,3,1800,48,1708,44,0.026667,0.038889,0.020172,0.035177,1.545556,0,0,0
ChapterOfficial,F3,3,C5,3,1800,48,1708,44,0.026667,0.038889,0.020172,0.035177,1.545556,0,0,0
