fixture_id,checkpoint_id,floor,combat_index,run_turn,max_tavern_tier,build_id,active_slots,golden_slots,attack,health,flourish_stacks,board
B01_SHIELD_F1_C2,F1_C2,1,2,2,2,B01_SHIELD,2,,2,5,0,S0:forge_soul_shield_squire=1/3;S1:copper_ring_apprentice=1/2
B02_BREAK_F1_C2,F1_C2,1,2,2,2,B02_BREAK,2,,5,3,0,S0:hearth_core_spark=2/1;S1:shieldbreaker_blade_blank=3/2
B03_SUMMON_F1_C2,F1_C2,1,2,2,2,B03_SUMMON,2,,3,2,0,S0:young_deer_spirit=1/1;S1:rending_cub=2/1
B04_DEATH_F1_C2,F1_C2,1,2,2,2,B04_DEATH,2,,3,7,0,S0:moss_mark_seedling=1/3;S1:root_devourer=2/4
B05_SPELL_F1_C2,F1_C2,1,2,2,2,B05_SPELL,2,,3,5,0,S0:glimmer_mage=2/1;S1:rune_ward_reader=1/4
B06_REFRESH_F1_C2,F1_C2,1,2,2,2,B06_REFRESH,2,,2,5,0,S0:stardust_attendant=1/3;S1:stargazing_apprentice=1/2
B01_SHIELD_F1_C4,F1_C4,1,4,4,2,B01_SHIELD,4,,7,13,0,S0:forge_soul_shield_squire=2/3;S1:copper_ring_apprentice=1/2;S2:shieldwall_furnace_keeper=2/5;S3:tempering_mender=2/3
B02_BREAK_F1_C4,F1_C4,1,4,4,2,B02_BREAK,4,,10,10,0,S0:hearth_core_spark=2/1;S1:shieldbreaker_blade_blank=3/2;S2:ember_engraver=3/4;S3:forge_soul_shield_squire=2/3
B03_SUMMON_F1_C4,F1_C4,1,4,4,2,B03_SUMMON,4,,8,9,1,S0:young_deer_spirit=1/1;S1:rending_cub=2/1;S2:swiftwing_forest_hawk=3/5;S3:two_tailed_fox_spirit=2/2
B04_DEATH_F1_C4,F1_C4,1,4,4,2,B04_DEATH,4,,10,18,0,S0:moss_mark_seedling=2/4;S1:root_devourer=3/5;S2:rotleaf_heir=3/5;S3:moss_mark_seedling=2/4
B05_SPELL_F1_C4,F1_C4,1,4,4,2,B05_SPELL,4,,13,16,0,S0:glimmer_mage=4/3;S1:rune_ward_reader=3/5;S2:moon_phase_scribe=3/4;S3:star_etched_timekeeper=3/4
B06_REFRESH_F1_C4,F1_C4,1,4,4,2,B06_REFRESH,4,,13,15,0,S0:stardust_attendant=3/4;S1:stargazing_apprentice=3/3;S2:astrolabe_calibrator=3/3;S3:star_etched_timekeeper=4/5
B01_SHIELD_F1_C5,F1_C5,1,5,5,3,B01_SHIELD,5,,16,25,0,S0:shieldwall_furnace_keeper=3/5;S1:tempering_mender=2/4;S2:molten_core_standard=5/6;S3:resonance_bell_guard=3/6;S4:forge_soul_shield_squire=3/4
B02_BREAK_F1_C5,F1_C5,1,5,5,3,B02_BREAK,5,,22,18,0,S0:counterflow_smith=4/5;S1:oathblade_armor=5/4;S2:shieldbreaker_blade_blank=5/3;S3:hearth_core_spark=4/1;S4:ember_engraver=4/5
B03_SUMMON_F1_C5,F1_C5,1,5,5,3,B03_SUMMON,5,,16,19,1,S0:rending_cub=2/1;S1:swiftwing_forest_hawk=2/4;S2:two_tailed_fox_spirit=3/5;S3:many_branch_invoker=3/5;S4:tuskherd_pathrunner=6/4
B04_DEATH_F1_C5,F1_C5,1,5,5,3,B04_DEATH,5,,20,31,0,S0:rootbound_soul_guide=4/7;S1:ancient_moss_hatchling=4/6;S2:root_devourer=4/5;S3:rotleaf_heir=4/6;S4:moss_mark_seedling=4/7
B05_SPELL_F1_C5,F1_C5,1,5,5,3,B05_SPELL,5,,25,26,0,S0:secret_page_refractor=7/8;S1:rune_ward_reader=4/6;S2:echo_starchanter=6/4;S3:moon_phase_scribe=4/5;S4:glimmer_mage=4/3
B06_REFRESH_F1_C5,F1_C5,1,5,5,3,B06_REFRESH,5,,25,30,0,S0:astrolabe_calibrator=5/5;S1:fate_track_recorder=5/8;S2:star_etched_timekeeper=5/5;S3:stardust_attendant=4/6;S4:star_map_broker=6/6
B01_SHIELD_F2_C2,F2_C2,2,2,8,3,B01_SHIELD,5,,22,28,0,S0:molten_core_standard=7/5;S1:resonance_bell_guard=2/6;S2:shieldwall_furnace_keeper=5/8;S3:tempering_mender=3/4;S4:forge_soul_shield_squire=5/5
B02_BREAK_F2_C2,F2_C2,2,2,8,3,B02_BREAK,5,,26,21,0,S0:counterflow_smith=4/5;S1:oathblade_armor=5/4;S2:shieldbreaker_blade_blank=6/4;S3:hearth_core_spark=5/1;S4:ember_engraver=6/7
B03_SUMMON_F2_C2,F2_C2,2,2,8,3,B03_SUMMON,5,,19,21,2,S0:rending_cub=2/1;S1:swiftwing_forest_hawk=2/4;S2:two_tailed_fox_spirit=4/7;S3:many_branch_invoker=3/5;S4:tuskherd_pathrunner=8/4
B04_DEATH_F2_C2,F2_C2,2,2,8,3,B04_DEATH,5,,28,39,0,S0:rootbound_soul_guide=5/9;S1:ancient_moss_hatchling=5/7;S2:root_devourer=5/6;S3:rotleaf_heir=6/8;S4:moss_mark_seedling=7/9
B05_SPELL_F2_C2,F2_C2,2,2,8,3,B05_SPELL,5,,34,36,0,S0:secret_page_refractor=9/11;S1:rune_ward_reader=6/8;S2:echo_starchanter=8/5;S3:moon_phase_scribe=6/7;S4:glimmer_mage=5/5
B06_REFRESH_F2_C2,F2_C2,2,2,8,3,B06_REFRESH,5,,36,40,0,S0:astrolabe_calibrator=8/7;S1:fate_track_recorder=7/10;S2:star_etched_timekeeper=7/7;S3:stardust_attendant=6/8;S4:star_map_broker=8/8
B01_SHIELD_F2_C4,F2_C4,2,4,10,4,B01_SHIELD,5,,36,43,0,S0:molten_core_standard=9/6;S1:resonance_bell_guard=3/7;S2:hearth_core_aegis_officer=11/12;S3:ringing_iron_bastion=5/10;S4:shieldwall_furnace_keeper=8/8
B02_BREAK_F2_C4,F2_C4,2,4,10,4,B02_BREAK,5,,41,31,0,S0:cinder_armor_arbiter=8/7;S1:cracked_armor_avenger=7/6;S2:counterflow_smith=8/7;S3:oathblade_armor=9/3;S4:shieldbreaker_blade_blank=9/8
B03_SUMMON_F2_C4,F2_C4,2,4,10,4,B03_SUMMON,5,,32,36,4,S0:hundred_song_herd=5/5;S1:fox_den_matriarch=5/6;S2:many_branch_invoker=6/12;S3:vinecrown_priest=5/8;S4:tuskherd_pathrunner=11/5
B04_DEATH_F2_C4,F2_C4,2,4,10,4,B04_DEATH,5,,41,55,0,S0:rootbound_soul_guide=6/11;S1:ancient_moss_hatchling=7/9;S2:mountain_belly_soul_eater=9/10;S3:rotleaf_heir=8/11;S4:root_devourer=11/14
B05_SPELL_F2_C4,F2_C4,2,4,10,4,B05_SPELL,5,,52,53,0,S0:secret_page_refractor=13/14;S1:rune_ward_reader=9/11;S2:echo_starchanter=10/6;S3:falling_light_arbiter=11/10;S4:stargate_lecturer=9/12
B06_REFRESH_F2_C4,F2_C4,2,4,10,4,B06_REFRESH,5,,53,60,0,S0:astrolabe_calibrator=11/10;S1:fate_track_recorder=10/13;S2:moonwheel_dispatcher=10/13;S3:star_ring_treasurer=12/14;S4:star_map_broker=10/10
B01_SHIELD_F2_C5,F2_C5,2,5,11,4,B01_SHIELD,5,,48,47,0,S0:molten_core_standard=11/6;S1:resonance_bell_guard=3/7;S2:hearth_core_aegis_officer=13/14;S3:ringing_iron_bastion=6/10;S4:cinder_armor_arbiter=15/10
B02_BREAK_F2_C5,F2_C5,2,5,11,4,B02_BREAK,5,,48,35,0,S0:cinder_armor_arbiter=8/7;S1:cracked_armor_avenger=8/6;S2:counterflow_smith=10/9;S3:oathblade_armor=11/3;S4:shieldbreaker_blade_blank=11/10
B03_SUMMON_F2_C5,F2_C5,2,5,11,4,B03_SUMMON,5,,35,40,5,S0:hundred_song_herd=5/5;S1:fox_den_matriarch=5/6;S2:many_branch_invoker=7/15;S3:vinecrown_priest=5/9;S4:tuskherd_pathrunner=13/5
B04_DEATH_F2_C5,F2_C5,2,5,11,4,B04_DEATH,5,,52,65,0,S0:rootbound_soul_guide=8/13;S1:ancient_moss_hatchling=8/10;S2:mountain_belly_soul_eater=11/11;S3:rotleaf_heir=10/13;S4:root_devourer=15/18
B05_SPELL_F2_C5,F2_C5,2,5,11,4,B05_SPELL,5,,66,65,0,S0:secret_page_refractor=17/18;S1:rune_ward_reader=12/13;S2:echo_starchanter=13/8;S3:falling_light_arbiter=13/12;S4:stargate_lecturer=11/14
B06_REFRESH_F2_C5,F2_C5,2,5,11,4,B06_REFRESH,5,,69,74,0,S0:astrolabe_calibrator=15/13;S1:fate_track_recorder=13/16;S2:moonwheel_dispatcher=13/15;S3:star_ring_treasurer=15/17;S4:star_map_broker=13/13
B01_SHIELD_F3_C2,F3_C2,3,2,14,5,B01_SHIELD,5,,60,59,0,S0:molten_core_standard=14/7;S1:resonance_bell_guard=3/8;S2:hearth_core_aegis_officer=16/16;S3:thousand_ring_tomb_guardian=9/13;S4:undying_furnace_king=18/15
B02_BREAK_F3_C2,F3_C2,3,2,14,5,B02_BREAK,5,,61,49,0,S0:oathbroken_blade_soul=11/8;S1:molten_core_standard=7/7;S2:undying_furnace_king=15/14;S3:counterflow_smith=12/4;S4:cinder_armor_arbiter=16/16
B03_SUMMON_F3_C2,F3_C2,3,2,14,5,B03_SUMMON,5,,44,50,7,S0:hundred_song_herd=5/5;S1:fox_den_matriarch=5/6;S2:many_branch_invoker=9/18;S3:vinecrown_priest=6/10;S4:ten_thousand_hoof_surge=19/11
B04_DEATH_F3_C2,F3_C2,3,2,14,5,B04_DEATH,5,,70,92,0,S0:rootbound_soul_guide=9/16;S1:ancient_moss_hatchling=10/12;S2:mountain_belly_soul_eater=13/13;S3:ancient_mountain_spirit=17/21;S4:world_eating_final_bloom=21/30
B05_SPELL_F3_C2,F3_C2,3,2,14,5,B05_SPELL,5,,83,81,0,S0:secret_page_refractor=21/23;S1:rune_ward_reader=16/16;S2:echo_starchanter=16/9;S3:falling_light_arbiter=15/15;S4:falling_star_prophet=15/18
B06_REFRESH_F3_C2,F3_C2,3,2,14,5,B06_REFRESH,5,,88,95,0,S0:astrolabe_calibrator=19/16;S1:fate_track_recorder=17/19;S2:moonwheel_dispatcher=16/18;S3:star_ring_treasurer=19/21;S4:sky_covenant_bearer=17/21
B01_SHIELD_F3_C4,F3_C4,3,4,16,5,B01_SHIELD,5,0,81,67,0,S0:molten_core_standard=24/14(G);S1:resonance_bell_guard=7/11;S2:hearth_core_aegis_officer=14/12;S3:thousand_ring_tomb_guardian=10/15;S4:undying_furnace_king=26/15
B02_BREAK_F3_C4,F3_C4,3,4,16,5,B02_BREAK,5,0,83,57,0,S0:oathbroken_blade_soul=22/17(G);S1:molten_core_standard=10/6;S2:undying_furnace_king=18/12;S3:counterflow_smith=15/5;S4:cinder_armor_arbiter=18/17
B03_SUMMON_F3_C4,F3_C4,3,4,16,5,B03_SUMMON,5,0,54,57,9,S0:hundred_song_herd=12/11(G);S1:fox_den_matriarch=5/9;S2:many_branch_invoker=11/16;S3:vinecrown_priest=5/9;S4:ten_thousand_hoof_surge=21/12
B04_DEATH_F3_C4,F3_C4,3,4,16,5,B04_DEATH,5,0,90,116,0,S0:rootbound_soul_guide=10/17(G);S1:ancient_moss_hatchling=14/17;S2:mountain_belly_soul_eater=17/21;S3:ancient_mountain_spirit=20/23;S4:world_eating_final_bloom=29/38
B05_SPELL_F3_C4,F3_C4,3,4,16,5,B05_SPELL,5,0,113,106,0,S0:secret_page_refractor=29/33(G);S1:rune_ward_reader=24/17;S2:echo_starchanter=21/17;S3:falling_light_arbiter=19/18;S4:falling_star_prophet=20/21
B06_REFRESH_F3_C4,F3_C4,3,4,16,5,B06_REFRESH,5,0,122,127,0,S0:astrolabe_calibrator=26/23(G);S1:fate_track_recorder=24/26;S2:moonwheel_dispatcher=24/24;S3:star_ring_treasurer=24/26;S4:sky_covenant_bearer=24/28
B01_SHIELD_F3_C5,F3_C5,3,5,17,5,B01_SHIELD,5,0/1,98,74,0,S0:molten_core_standard=30/17(G);S1:resonance_bell_guard=12/18(G);S2:hearth_core_aegis_officer=12/8;S3:thousand_ring_tomb_guardian=11/16;S4:undying_furnace_king=33/15
B02_BREAK_F3_C5,F3_C5,3,5,17,5,B02_BREAK,5,0/1,98,61,0,S0:oathbroken_blade_soul=25/20(G);S1:molten_core_standard=16/8(G);S2:undying_furnace_king=20/10;S3:counterflow_smith=18/5;S4:cinder_armor_arbiter=19/18
B03_SUMMON_F3_C5,F3_C5,3,5,17,5,B03_SUMMON,5,0/1,61,62,10,S0:hundred_song_herd=14/13(G);S1:fox_den_matriarch=8/16(G);S2:many_branch_invoker=13/14;S3:vinecrown_priest=4/7;S4:ten_thousand_hoof_surge=22/12
B04_DEATH_F3_C5,F3_C5,3,5,17,5,B04_DEATH,5,0/1,109,136,0,S0:rootbound_soul_guide=8/13(G);S1:ancient_moss_hatchling=21/26(G);S2:mountain_belly_soul_eater=21/28;S3:ancient_mountain_spirit=23/24;S4:world_eating_final_bloom=36/45
B05_SPELL_F3_C5,F3_C5,3,5,17,5,B05_SPELL,5,0/1,137,129,0,S0:secret_page_refractor=33/38(G);S1:rune_ward_reader=32/22(G);S2:echo_starchanter=25/24;S3:falling_light_arbiter=23/21;S4:falling_star_prophet=24/24
