scenario_id,source,map_id,map_name,floor,node_id,node_type,combat_index,route_tag,event_id,event_name,encounter_id,encounter_name,threat_rating,build_id,development_level,battles,player_wins,enemy_wins,draws,player_win_rate,player_score_rate,win_ci95_low,win_ci95_high,average_rounds,p90_rounds,round_limit_count,effect_limit_hits,exceptions,average_player_survivors,average_enemy_survivors,enemy_cleave_hits_per_battle,enemy_summon_attempts_per_battle,enemy_summon_successes_per_battle,enemy_shields_granted_per_battle,enemy_shield_blocks_per_battle,enemy_furnace_transfers_per_battle,enemy_flourish_gained_per_battle
Map:map_wilderness:f1_opening_normal:f1_opening_encounter:B01_SHIELD_F1_C2,Map,map_wilderness,荒野,1,f1_opening_normal,Normal,1,,,,f1_opening_encounter,幼灵初啼,1,B01_SHIELD,C2,100,100,0,0,1,1,0.963007,1,1,1,0,0,0,2,0,0,1,1,0,0,0,0
Map:map_wilderness:f1_opening_normal:f1_opening_encounter:B02_BREAK_F1_C2,Map,map_wilderness,荒野,1,f1_opening_normal,Normal,1,,,,f1_opening_encounter,幼灵初啼,1,B02_BREAK,C2,100,100,0,0,1,1,0.963007,1,1,1,0,0,0,2,0,0,1,1,0,0,0,0
Map:map_wilderness:f1_opening_normal:f1_opening_encounter:B03_SUMMON_F1_C2,Map,map_wilderness,荒野,1,f1_opening_normal,Normal,1,,,,f1_opening_encounter,幼灵初啼,1,B03_SUMMON,C2,100,100,0,0,1,1,0.963007,1,1,1,0,0,0,2,0,0,1,1,0,0,0,0
Map:map_wilderness:f1_opening_normal:f1_opening_encounter:B04_DEATH_F1_C2,Map,map_wilderness,荒野,1,f1_opening_normal,Normal,1,,,,f1_opening_encounter,幼灵初啼,1,B04_DEATH,C2,100,100,0,0,1,1,0.963007,1,1,1,0,0,0,1.5,0,0,1,1,0,0,0,0
Map:map_wilderness:f1_opening_normal:f1_opening_encounter:B05_SPELL_F1_C2,Map,map_wilderness,荒野,1,f1_opening_normal,Normal,1,,,,f1_opening_encounter,幼灵初啼,1,B05_SPELL,C2,100,100,0,0,1,1,0.963007,1,1,1,0,0,0,2,0,0,1,1,0,0,0,0
Map:map_wilderness:f1_opening_normal:f1_opening_encounter:B06_REFRESH_F1_C2,Map,map_wilderness,荒野,1,f1_opening_normal,Normal,1,,,,f1_opening_encounter,幼灵初啼,1,B06_REFRESH,C2,100,100,0,0,1,1,0.963007,1,1,1,0,0,0,2,0,0,1,1,0,0,0,0
Map:map_wilderness:f1_early_summon:f1_early_summon_encounter:B01_SHIELD_F1_C2,Map,map_wilderness,荒野,1,f1_early_summon,Normal,2,,,,f1_early_summon_encounter,幼灵巡游者,1,B01_SHIELD,C2,100,59,41,0,0.59,0.59,0.492014,0.681327,2,2,0,0,0,0.59,0.41,0,1,1,0,0,0,0
Map:map_wilderness:f1_early_summon:f1_early_summon_encounter:B02_BREAK_F1_C2,Map,map_wilderness,荒野,1,f1_early_summon,Normal,2,,,,f1_early_summon_encounter,幼灵巡游者,1,B02_BREAK,C2,100,73,0,27,0.73,0.865,0.635679,0.807304,1.43,2,0,0,0,0.81,0,0,1,1,0,0,0,0
Map:map_wilderness:f1_early_summon:f1_early_summon_encounter:B03_SUMMON_F1_C2,Map,map_wilderness,荒野,1,f1_early_summon,Normal,2,,,,f1_early_summon_encounter,幼灵巡游者,1,B03_SUMMON,C2,100,64,33,3,0.64,0.655,0.542354,0.727288,1.11,2,0,0,0,0.94,0.33,0,1,1,0,0,0,0
Map:map_wilderness:f1_early_summon:f1_early_summon_encounter:B04_DEATH_F1_C2,Map,map_wilderness,荒野,1,f1_early_summon,Normal,2,,,,f1_early_summon_encounter,幼灵巡游者,1,B04_DEATH,C2,100,44,30,26,0.44,0.57,0.34672,0.537719,1.18,2,0,0,0,0.44,0.3,0,1,1,0,0,0,0
