severity,code,scope,floor,development_level,encounter_id,message,evidence,recommendation
P1,BUILD_HARD_COUNTER,Normal,1,C2,f1_safe_normal_encounter,同档固定构筑之间存在显著胜率断层。,计分胜率跨度 73.0 %；最低 B03_SUMMON，最高 B04_DEATH,检查站位针对、关键词硬克制和单一机制门槛。
P1,BUILD_HARD_COUNTER,Event,1,C4,f1_c4_event_ambush_encounter,同档固定构筑之间存在显著胜率断层。,计分胜率跨度 86.0 %；最低 B01_SHIELD，最高 B04_DEATH,检查站位针对、关键词硬克制和单一机制门槛。
P1,BUILD_HARD_COUNTER,Normal,1,C4,f1_mid_mechanic_encounter,同档固定构筑之间存在显著胜率断层。,计分胜率跨度 100.0 %；最低 B01_SHIELD，最高 B04_DEATH,检查站位针对、关键词硬克制和单一机制门槛。
P1,BUILD_HARD_COUNTER,Normal,1,C4,f1_route_normal_encounter,同档固定构筑之间存在显著胜率断层。,计分胜率跨度 73.0 %；最低 B01_SHIELD，最高 B04_DEATH,检查站位针对、关键词硬克制和单一机制门槛。
P1,BUILD_HARD_COUNTER,Normal,1,C4,f1_route_safe_encounter,同档固定构筑之间存在显著胜率断层。,计分胜率跨度 93.5 %；最低 B01_SHIELD，最高 B04_DEATH,检查站位针对、关键词硬克制和单一机制门槛。
P1,BOSS_CLIFF,Boss,1,C5,f1_c6_boss_encounter,Boss 相对 C5 出现过大的难度悬崖。,计分胜率：Boss 4.3 %，C5 均值 82.9 %,平滑 C5 到 Boss 的数值跃迁，并复核 Boss 机制叠加。
P1,BUILD_HARD_COUNTER,Normal,1,C5,f1_c5_shield_encounter,同档固定构筑之间存在显著胜率断层。,计分胜率跨度 73.5 %；最低 B01_SHIELD，最高 B04_DEATH,检查站位针对、关键词硬克制和单一机制门槛。
P1,BUILD_HARD_COUNTER,Normal,2,C2,f2_early_spell_encounter,同档固定构筑之间存在显著胜率断层。,计分胜率跨度 37.0 %；最低 B03_SUMMON，最高 B06_REFRESH,检查站位针对、关键词硬克制和单一机制门槛。
P1,CHAPTER_REGRESSION,Normal,2,C2,f2_early_spell_encounter,第 2 章 C2 比第 1 章同阶段更容易。,计分胜率：F1 13.2 %，F2 93.2 %,复核跨章节基础数值倍率与该阶段的机制密度。
P1,BUILD_HARD_COUNTER,Elite,2,C4,f2_c4_elite_encounter,同档固定构筑之间存在显著胜率断层。,计分胜率跨度 54.0 %；最低 B01_SHIELD，最高 B06_REFRESH,检查站位针对、关键词硬克制和单一机制门槛。
P1,CHAPTER_REGRESSION,Normal,2,C4,f2_mid_mechanic_encounter,第 2 章 C3 比第 1 章同阶段更容易。,计分胜率：F1 68.3 %，F2 99.5 %,复核跨章节基础数值倍率与该阶段的机制密度。
P1,CHAPTER_REGRESSION,Normal,2,C4,f2_route_normal_encounter,第 2 章 C4 比第 1 章同阶段更容易。,计分胜率：F1 24.2 %，F2 94.6 %,复核跨章节基础数值倍率与该阶段的机制密度。
P1,BOSS_CLIFF,Boss,2,C5,f2_c6_boss_encounter,Boss 相对 C5 出现过大的难度悬崖。,计分胜率：Boss 43.3 %，C5 均值 98.8 %,平滑 C5 到 Boss 的数值跃迁，并复核 Boss 机制叠加。
P1,BUILD_HARD_COUNTER,Boss,2,C5,f2_c6_boss_encounter,同档固定构筑之间存在显著胜率断层。,计分胜率跨度 60.5 %；最低 B01_SHIELD，最高 B05_SPELL,检查站位针对、关键词硬克制和单一机制门槛。
P1,CHAPTER_REGRESSION,Normal,2,C5,f2_c5_break_encounter,第 2 章 C5 比第 1 章同阶段更容易。,计分胜率：F1 82.9 %，F2 98.8 %,复核跨章节基础数值倍率与该阶段的机制密度。
P1,CHAPTER_REGRESSION,Boss,2,C5,f2_c6_boss_encounter,第 2 章 C6 比第 1 章同阶段更容易。,计分胜率：F1 4.3 %，F2 43.3 %,复核跨章节基础数值倍率与该阶段的机制密度。
P2,SATURATED_RESULT,Normal,1,C2,f1_early_summon_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 1.5 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,1,C2,f1_opening_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,ROUTE_CLIFF,Normal,1,C4,f1_route_normal_encounter,三条 C4 路线的压力跨度过大。,最大计分胜率差 47.6 %,检查是否存在单一路线的数值断层或构筑硬克制。
P2,SATURATED_RESULT,Elite,1,C4,f1_c4_elite_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 0.8 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,2,C2,f2_opening_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Event,2,C4,f2_c4_event_ambush_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 99.2 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,2,C4,f2_mid_mechanic_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 99.2 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,2,C4,f2_route_normal_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 98.2 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,2,C4,f2_route_safe_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 99.7 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,2,C5,f2_c5_break_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 99.7 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
