scope_type,scope_id,floor,development_level,encounter_count,battles,player_wins,enemy_wins,draws,player_win_rate,player_score_rate,win_ci95_low,win_ci95_high,average_rounds,round_limit_count,effect_limit_hits,exceptions
ChapterMap,F1,1,C2,3,1800,1335,222,243,0.741667,0.809167,0.720946,0.761358,1.29,0,0,0
ChapterOfficial,F1,1,C2,3,1800,1335,222,243,0.741667,0.809167,0.720946,0.761358,1.29,0,0,0
C4Route,Adventure,1,C4,1,600,53,303,244,0.088333,0.291667,0.068167,0.113738,1.611667,0,0,0
C4Route,Aggressive,1,C4,1,600,45,331,224,0.075,0.261667,0.056522,0.098885,1.47,0,0,0
C4Route,Conservative,1,C4,1,600,336,126,138,0.56,0.675,0.520025,0.599212,1.791667,0,0,0
ChapterMap,F1,1,C4,4,2400,898,797,705,0.374167,0.521042,0.355022,0.393713,1.606667,0,0,0
ChapterOfficial,F1,1,C4,5,3000,1189,884,927,0.396333,0.550833,0.378973,0.413958,1.599,0,0,0
Event,f1_c4_event_ambush_encounter,1,C4,1,600,291,87,222,0.485,0.67,0.445233,0.524958,1.568333,0,0,0
Boss,f1_c6_boss_encounter,1,C5,1,600,15,564,21,0.025,0.0425,0.015208,0.040836,1.545,0,0,0
ChapterMap,F1,1,C5,3,1800,1085,619,96,0.602778,0.629444,0.579977,0.625141,1.363889,0,0,0
ChapterOfficial,F1,1,C5,3,1800,1085,619,96,0.602778,0.629444,0.579977,0.625141,1.363889,0,0,0
ChapterMap,F2,2,C2,3,1800,1035,305,460,0.575,0.702778,0.552027,0.597654,1.889444,0,0,0
ChapterOfficial,F2,2,C2,3,1800,1035,305,460,0.575,0.702778,0.552027,0.597654,1.889444,0,0,0
C4Route,Adventure,2,C4,1,600,206,229,165,0.343333,0.480833,0.306445,0.382215,1.918333,0,0,0
C4Route,Aggressive,2,C4,1,600,89,387,124,0.148333,0.251667,0.122133,0.179008,1.771667,0,0,0
C4Route,Conservative,2,C4,1,600,317,78,205,0.528333,0.699167,0.488337,0.56797,1.938333,0,0,0
ChapterMap,F2,2,C4,4,2400,1079,742,579,0.449583,0.570208,0.429778,0.46955,1.875417,0,0,0
ChapterOfficial,F2,2,C4,5,3000,1378,830,792,0.459333,0.591333,0.441564,0.477207,1.876333,0,0,0
Event,f2_c4_event_ambush_encounter,2,C4,1,600,299,88,213,0.498333,0.675833,0.458464,0.538224,1.88,0,0,0
Boss,f2_c6_boss_encounter,2,C5,1,600,406,56,138,0.676667,0.791667,0.638218,0.712867,1.63,0,0,0
ChapterMap,F2,2,C5,3,1800,1340,143,317,0.744444,0.8325,0.723789,0.764059,1.801111,0,0,0
ChapterOfficial,F2,2,C5,3,1800,1340,143,317,0.744444,0.8325,0.723789,0.764059,1.801111,0,0,0
ChapterMap,F3,3,C2,3,1800,1410,158,232,0.783333,0.847778,0.763709,0.801751,1.595,0,0,0
ChapterOfficial,F3,3,C2,3,1800,1410,158,232,0.783333,0.847778,0.763709,0.801751,1.595,0,0,0
C4Route,Adventure,3,C4,1,600,71,395,134,0.118333,0.23,0.094884,0.146638,1.946667,0,0,0
C4Route,Aggressive,3,C4,1,600,26,546,28,0.043333,0.066667,0.029741,0.062736,1.876667,0,0,0
C4Route,Conservative,3,C4,1,600,153,256,191,0.255,0.414167,0.221759,0.291358,1.98,0,0,0
ChapterMap,F3,3,C4,4,2400,370,1535,495,0.154167,0.257292,0.140273,0.169165,1.93875,0,0,0
ChapterOfficial,F3,3,C4,5,3000,415,1983,602,0.138333,0.238667,0.126441,0.151151,1.936667,0,0,0
Event,f3_c4_event_ambush_encounter,3,C4,1,600,45,448,107,0.075,0.164167,0.056522,0.098885,1.928333,0,0,0
Boss,f3_c6_boss_encounter,3,C5,1,600,80,402,118,0.133333,0.231667,0.108453,0.162879,2.005,0,0,0
ChapterMap,F3,3,C5,3,1800,225,1221,354,0.125,0.223333,0.110516,0.141081,1.978333,0,0,0
ChapterOfficial,F3,3,C5,3,1800,225,1221,354,0.125,0.223333,0.110516,0.141081,1.978333,0,0,0
