aggregate_id,source,map_id,map_name,floor,node_id,node_type,combat_index,route_tag,event_id,event_name,encounter_id,encounter_name,threat_rating,development_level,scenario_count,battles,player_wins,enemy_wins,draws,player_win_rate,player_score_rate,win_ci95_low,win_ci95_high,build_score_spread,weakest_build_id,strongest_build_id,average_rounds,p90_rounds,round_limit_count,round_limit_rate,effect_limit_hits,exceptions,average_player_survivors,average_enemy_survivors,enemy_cleave_hits_per_battle,enemy_summon_attempts_per_battle,enemy_summon_successes_per_battle,enemy_shields_granted_per_battle,enemy_shield_blocks_per_battle,enemy_furnace_transfers_per_battle,enemy_flourish_gained_per_battle
Map:map_wilderness:f1_opening_normal:f1_opening_encounter:C2,Map,map_wilderness,荒野,1,f1_opening_normal,Normal,1,,,,f1_opening_encounter,幼灵初啼,1,C2,6,600,600,0,0,1,1,0.993638,1,0,B01_SHIELD,B06_REFRESH,1,1,0,0,0,0,1.583333,0,0,1,1,0,0,0,0
Map:map_wilderness:f1_early_summon:f1_early_summon_encounter:C2,Map,map_wilderness,荒野,1,f1_early_summon,Normal,2,,,,f1_early_summon_encounter,幼灵巡游者,1,C2,6,600,9,569,22,0.015,0.033333,0.007911,0.02826,0.2,B01_SHIELD,B04_DEATH,1.193333,2,0,0,0,0,0.015,1.921667,0,1.72,1.72,0,0,0,0
Map:map_wilderness:f1_safe_normal:f1_safe_normal_encounter:C2,Map,map_wilderness,荒野,1,f1_safe_normal,Normal,2,,,,f1_safe_normal_encounter,苔痕幼群,1,C2,6,600,75,398,127,0.125,0.230833,0.1009,0.153872,0.73,B03_SUMMON,B04_DEATH,1.415,2,0,0,0,0,0.125,0.851667,0,0.94,0.94,0,0,0,0
Map:map_wilderness:f1_mid_mechanic:f1_mid_mechanic_encounter:C4,Map,map_wilderness,荒野,1,f1_mid_mechanic,Normal,3,,,,f1_mid_mechanic_encounter,盘根育巢,2,C4,6,600,369,149,82,0.615,0.683333,0.575451,0.653086,1,B01_SHIELD,B04_DEATH,1.675,2,0,0,0,0,0.861667,0.288333,0,2,2,0,0,0,0
Map:map_wilderness:f1_route_normal:f1_route_normal_encounter:C4,Map,map_wilderness,荒野,1,f1_route_normal,Normal,4,Adventure,,,f1_route_normal_encounter,狐影繁生队,3,C4,6,600,52,445,103,0.086667,0.1725,0.066702,0.11189,0.73,B01_SHIELD,B04_DEATH,1.475,2,0,0,0,0,0.105,1.231667,0,1.993333,1.993333,0,0,0,0
Map:map_wilderness:f1_elite_wall:f1_c4_elite_encounter:C4,Map,map_wilderness,荒野,1,f1_elite_wall,Elite,4,Aggressive,,,f1_c4_elite_encounter,百根围猎队,4,C4,6,600,5,559,36,0.008333,0.038333,0.003565,0.019358,0.19,B01_SHIELD,B04_DEATH,1.343333,2,0,0,0,0,0.01,1.705,0,1.586667,1.586667,0,0,0,0
Map:map_wilderness:f1_route_safe:f1_route_safe_encounter:C4,Map,map_wilderness,荒野,1,f1_route_safe,Normal,4,Conservative,,,f1_route_safe_encounter,盘根守林队,2,C4,6,600,251,234,115,0.418333,0.514167,0.379505,0.458201,0.935,B01_SHIELD,B04_DEATH,1.776667,2,0,0,0,0,0.596667,0.661667,0,0.945,0.945,0,0,0,0
Event:map_wilderness:roadside_ambush_f1:f1_c4_event_ambush_encounter:C4,Event,map_wilderness,荒野,1,roadside_ambush_f1,EventCombat,4,Event,roadside_ambush_f1,荒径伏击,f1_c4_event_ambush_encounter,盘根伏猎群,3,C4,6,600,134,311,155,0.223333,0.3525,0.191828,0.258359,0.86,B01_SHIELD,B04_DEATH,1.625,2,0,0,0,0,0.286667,0.781667,0,0.923333,0.923333,0,0,0,0
Map:map_wilderness:f1_late_shield:f1_c5_shield_encounter:C5,Map,map_wilderness,荒野,1,f1_late_shield,Normal,5,,,,f1_c5_shield_encounter,迅羽踏潮,3,C5,6,600,387,120,93,0.645,0.7225,0.6059,0.682255,0.735,B01_SHIELD,B04_DEATH,1.176667,2,0,0,0,0,1.288333,0.285,0,3.983333,3.983333,0,0,0,1
Map:map_wilderness:f1_late_summon:f1_c5_summon_encounter:C5,Map,map_wilderness,荒野,1,f1_late_summon,Normal,5,,,,f1_c5_summon_encounter,狐巢回响,3,C5,6,600,547,24,29,0.911667,0.935833,0.886262,0.931833,0.23,B03_SUMMON,B06_REFRESH,1.266667,2,0,0,0,0,2.431667,0.048333,0,4.983333,4.983333,0,0,0,0
