scope_type,scope_id,floor,development_level,encounter_count,battles,player_wins,enemy_wins,draws,player_win_rate,player_score_rate,win_ci95_low,win_ci95_high,average_rounds,round_limit_count,effect_limit_hits,exceptions
ChapterMap,F1,1,C2,3,1800,1335,222,243,0.741667,0.809167,0.720946,0.761358,1.29,0,0,0
ChapterOfficial,F1,1,C2,3,1800,1335,222,243,0.741667,0.809167,0.720946,0.761358,1.29,0,0,0
C4Route,Adventure,1,C4,1,600,53,303,244,0.088333,0.291667,0.068167,0.113738,1.611667,0,0,0
C4Route,Aggressive,1,C4,1,600,45,331,224,0.075,0.261667,0.056522,0.098885,1.47,0,0,0
C4Route,Conservative,1,C4,1,600,336,126,138,0.56,0.675,0.520025,0.599212,1.791667,0,0,0
ChapterMap,F1,1,C4,4,2400,898,797,705,0.374167,0.521042,0.355022,0.393713,1.606667,0,0,0
ChapterOfficial,F1,1,C4,5,3000,1189,884,927,0.396333,0.550833,0.378973,0.413958,1.599,0,0,0
Event,f1_c4_event_ambush_encounter,1,C4,1,600,291,87,222,0.485,0.67,0.445233,0.524958,1.568333,0,0,0
Boss,f1_c6_boss_encounter,1,C5,1,600,499,51,50,0.831667,0.873333,0.799639,0.859474,1.538333,0,0,0
ChapterMap,F1,1,C5,3,1800,1558,107,135,0.865556,0.903056,0.849016,0.880539,1.367222,0,0,0
ChapterOfficial,F1,1,C5,3,1800,1558,107,135,0.865556,0.903056,0.849016,0.880539,1.367222,0,0,0
ChapterMap,F2,2,C2,3,1800,1006,290,504,0.558889,0.698889,0.53585,0.581677,1.908889,0,0,0
ChapterOfficial,F2,2,C2,3,1800,1006,290,504,0.558889,0.698889,0.53585,0.581677,1.908889,0,0,0
C4Route,Adventure,2,C4,1,600,195,213,192,0.325,0.485,0.288739,0.363488,1.92,0,0,0
C4Route,Aggressive,2,C4,1,600,95,382,123,0.158333,0.260833,0.131309,0.189705,1.77,0,0,0
C4Route,Conservative,2,C4,1,600,322,78,200,0.536667,0.703333,0.49666,0.576207,1.938333,0,0,0
ChapterMap,F2,2,C4,4,2400,1090,703,607,0.454167,0.580625,0.434336,0.474144,1.875417,0,0,0
ChapterOfficial,F2,2,C4,5,3000,1404,785,811,0.468,0.603167,0.450197,0.485885,1.877,0,0,0
Event,f2_c4_event_ambush_encounter,2,C4,1,600,314,82,204,0.523333,0.693333,0.483348,0.563022,1.883333,0,0,0
Boss,f2_c6_boss_encounter,2,C5,1,600,419,54,127,0.698333,0.804167,0.660441,0.733702,1.605,0,0,0
ChapterMap,F2,2,C5,3,1800,1395,118,287,0.775,0.854722,0.755135,0.793694,1.779444,0,0,0
ChapterOfficial,F2,2,C5,3,1800,1395,118,287,0.775,0.854722,0.755135,0.793694,1.779444,0,0,0
ChapterMap,F3,3,C2,3,1800,1181,264,355,0.656111,0.754722,0.633856,0.677701,1.693333,0,0,0
ChapterOfficial,F3,3,C2,3,1800,1181,264,355,0.656111,0.754722,0.633856,0.677701,1.693333,0,0,0
C4Route,Adventure,3,C4,1,600,71,395,134,0.118333,0.23,0.094884,0.146638,1.946667,0,0,0
C4Route,Aggressive,3,C4,1,600,26,546,28,0.043333,0.066667,0.029741,0.062736,1.876667,0,0,0
C4Route,Conservative,3,C4,1,600,153,256,191,0.255,0.414167,0.221759,0.291358,1.98,0,0,0
ChapterMap,F3,3,C4,4,2400,370,1535,495,0.154167,0.257292,0.140273,0.169165,1.93875,0,0,0
ChapterOfficial,F3,3,C4,5,3000,415,1983,602,0.138333,0.238667,0.126441,0.151151,1.936667,0,0,0
Event,f3_c4_event_ambush_encounter,3,C4,1,600,45,448,107,0.075,0.164167,0.056522,0.098885,1.928333,0,0,0
Boss,f3_c6_boss_encounter,3,C5,1,600,80,402,118,0.133333,0.231667,0.108453,0.162879,2.005,0,0,0
ChapterMap,F3,3,C5,3,1800,225,1221,354,0.125,0.223333,0.110516,0.141081,1.978333,0,0,0
ChapterOfficial,F3,3,C5,3,1800,225,1221,354,0.125,0.223333,0.110516,0.141081,1.978333,0,0,0
